Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;3.10;3.16;3.02;3.11;4599140;303546000
21/11/2017;3.14;3.16;2.93;3.09;4817970;307452000
20/11/2017;3.14;3.22;3.09;3.13;4333500;307463000
19/11/2017;3.22;3.38;3.05;3.18;5664570;315223000
18/11/2017;2.92;3.50;2.87;3.22;7024050;286411000
17/11/2017;3.14;3.22;2.81;3.03;5244370;308108000
16/11/2017;3.20;3.38;3.04;3.12;6284450;313749000
15/11/2017;3.22;3.34;3.05;3.18;6393910;315227000
14/11/2017;2.92;3.27;2.92;3.20;5482700;286335000
13/11/2017;2.55;3.02;2.55;2.92;4343960;250323000
12/11/2017;2.89;2.89;2.35;2.56;4588840;283281000
11/11/2017;2.89;3.15;2.80;2.89;4706850;282786000
10/11/2017;3.24;3.54;2.68;2.88;6912780;317243000
09/11/2017;2.92;3.70;2.84;3.28;10849400;286368000
08/11/2017;2.56;3.36;2.47;2.93;7670070;250582000
07/11/2017;2.57;2.71;2.43;2.57;3867380;252297000
06/11/2017;2.38;2.62;2.32;2.56;5170100;232885000
05/11/2017;2.34;2.53;2.24;2.36;2731690;229169000
04/11/2017;2.48;2.60;2.33;2.33;3785590;243361000
03/11/2017;2.06;2.62;2.03;2.50;4311070;202038000
02/11/2017;2.10;2.44;1.86;2.12;4508180;205802000
01/11/2017;2.44;2.74;2.10;2.11;4846850;239177000
31/10/2017;2.44;2.62;2.39;2.45;2396030;238722000
30/10/2017;2.44;2.52;2.36;2.43;1091420;239287000
29/10/2017;2.43;2.54;2.35;2.46;1971910;238334000
28/10/2017;2.52;2.56;2.42;2.44;884997;247095000
27/10/2017;2.53;2.62;2.45;2.51;1555670;247450000
26/10/2017;2.59;2.68;2.48;2.52;1397000;253433000
25/10/2017;2.86;2.86;2.42;2.55;1943620;280614000
24/10/2017;2.48;2.97;2.38;2.86;3729760;243104000
23/10/2017;2.64;2.66;2.39;2.49;1257450;258841000
22/10/2017;2.57;2.75;2.51;2.64;1550000;251521000
21/10/2017;2.78;2.79;2.41;2.57;2184140;272226000
20/10/2017;2.85;3.00;2.76;2.79;2512890;279466000
19/10/2017;2.83;2.95;2.70;2.84;1640660;276951000
18/10/2017;2.79;2.96;2.57;2.83;1743560;273833000
17/10/2017;2.75;2.88;2.64;2.81;1798310;269901000
16/10/2017;2.86;2.91;2.62;2.78;1688650;280615000
15/10/2017;2.84;3.01;2.70;2.86;1642730;278360000
14/10/2017;2.64;3.15;2.59;2.85;2979080;258565000
13/10/2017;2.65;2.88;2.55;2.64;2875550;259790000
12/10/2017;2.83;2.94;2.49;2.67;2966810;277730000
11/10/2017;2.59;3.00;2.59;2.81;3257040;253874000
10/10/2017;2.39;2.72;2.22;2.57;3457060;233759000
09/10/2017;2.20;2.50;2.10;2.37;2929330;215519000
08/10/2017;2.53;2.57;2.16;2.23;3053070;247979000
07/10/2017;2.59;2.63;2.48;2.56;1069940;254126000
06/10/2017;2.74;2.75;2.53;2.58;1589490;268501000
05/10/2017;2.47;2.77;2.38;2.74;2616290;241938000
04/10/2017;2.77;2.77;2.44;2.47;2097010;271565000
03/10/2017;2.79;2.79;2.56;2.79;2010710;273586000
02/10/2017;2.89;2.94;2.72;2.79;2233400;282910000
01/10/2017;2.98;3.06;2.84;2.90;2113520;291895000
30/09/2017;2.75;3.19;2.72;2.98;3649480;269579000
29/09/2017;2.96;2.97;2.63;2.76;2004570;290145000
28/09/2017;3.25;3.25;2.80;2.96;3979250;317658000
27/09/2017;2.92;3.37;2.87;3.20;6734210;285733000
26/09/2017;3.13;3.18;2.93;2.93;2302960;306336000
25/09/2017;3.01;3.18;2.94;3.18;2507850;294241000
24/09/2017;3.16;3.17;2.96;3.03;1384150;308487000
23/09/2017;2.81;3.30;2.72;3.16;3176420;274618000
22/09/2017;2.72;3.04;2.61;2.82;3362870;265756000
21/09/2017;3.12;3.41;2.71;2.76;4539530;304477000
20/09/2017;3.25;3.50;3.04;3.12;3563660;317822000
19/09/2017;3.69;3.69;3.15;3.25;5472230;360621000
18/09/2017;3.33;3.87;3.33;3.69;4924670;324668000
17/09/2017;3.57;3.64;3.25;3.30;4469220;348108000
16/09/2017;3.91;4.12;3.51;3.61;5267280;381266000
15/09/2017;3.54;4.19;2.33;3.92;20170900;345368000
14/09/2017;3.56;4.60;3.41;3.49;22013700;346794000
13/09/2017;3.68;3.76;2.93;3.56;9608180;358740000
12/09/2017;3.71;4.19;3.36;3.71;20188100;362191000
11/09/2017;2.98;3.76;2.93;3.70;12146100;290064000
10/09/2017;2.83;3.01;2.65;2.97;4196090;275644000
09/09/2017;2.57;3.54;2.45;2.80;9962400;250099000
08/09/2017;2.66;2.90;2.38;2.56;4326790;259524000
07/09/2017;2.62;2.78;2.49;2.64;2700250;254693000
06/09/2017;2.51;2.84;2.45;2.62;3244380;244010000
05/09/2017;2.26;2.57;2.08;2.52;1776050;220314000
04/09/2017;2.59;2.70;2.06;2.25;5453960;251850000
03/09/2017;2.38;2.63;2.35;2.56;2255030;231789000
02/09/2017;2.54;2.67;2.28;2.37;2303840;246884000
01/09/2017;2.41;2.82;2.32;2.54;4122500;234085000
31/08/2017;2.35;2.51;2.27;2.40;4318150;228274000
30/08/2017;2.57;2.68;2.19;2.35;5004070;250075000
29/08/2017;2.63;2.92;2.39;2.58;13205400;255482000
28/08/2017;1.94;2.59;1.86;2.58;7556820;188150000
