Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;0.021583;0.025383;0.021547;0.025123;155009;71554200
21/11/2017;0.021829;0.024183;0.020138;0.021546;49035;72368700
20/11/2017;0.025387;0.028763;0.021061;0.021857;140254;84163300
19/11/2017;0.041776;0.043581;0.024193;0.025625;115607;138498000
18/11/2017;0.023581;0.044999;0.020154;0.041858;147380;68703100
17/11/2017;0.022995;0.026421;0.020412;0.023619;938499;66995400
16/11/2017;0.026622;0.031066;0.022060;0.023025;335533;77564000
15/11/2017;0.029107;0.029657;0.025373;0.027630;183774;84803100
14/11/2017;0.025421;0.032230;0.025421;0.029100;411470;74065200
13/11/2017;0.022805;0.025355;0.021786;0.022995;375378;66443900
12/11/2017;0.023636;0.025393;0.021898;0.022775;43536;68864100
11/11/2017;0.023094;0.029444;0.022474;0.024164;52212;67285400
10/11/2017;0.023629;0.048208;0.017923;0.023164;65044;68843300
09/11/2017;0.025547;0.026767;0.019840;0.023580;36325;74431600
08/11/2017;0.028584;0.030868;0.022761;0.025659;66577;83280800
07/11/2017;0.026147;0.033571;0.022395;0.028570;56951;76179900
06/11/2017;0.023285;0.029469;0.022829;0.026114;240405;67842100
05/11/2017;0.023585;0.024376;0.021639;0.023261;177256;68715100
04/11/2017;0.023984;0.024146;0.013784;0.023565;146032;69879100
03/11/2017;0.020875;0.024266;0.020875;0.023982;322292;60818900
02/11/2017;0.023849;0.026555;0.019542;0.020775;316084;69486100
01/11/2017;0.025202;0.025278;0.023785;0.023785;215765;73426100
31/10/2017;0.027217;0.027554;0.025238;0.025238;318807;79298100
30/10/2017;0.027977;0.028052;0.024378;0.027205;583766;81510600
29/10/2017;0.026859;0.028639;0.026773;0.027999;447887;78254300
28/10/2017;0.027454;0.027527;0.025147;0.026871;1095030;79989500
27/10/2017;0.028669;0.029546;0.027117;0.027427;2031180;83526800
26/10/2017;0.054250;0.086482;0.028104;0.028682;1035190;158058000
25/10/2017;0.045533;0.112940;0.029094;0.054362;1669920;132663000
24/10/2017;0.032815;0.107138;0.029807;0.054500;2012790;95606700
23/10/2017;0.026671;0.034599;0.025102;0.028493;3901700;77706200
22/10/2017;0.028266;0.029315;0.023811;0.026696;19119600;82354300
21/10/2017;0.030797;0.032835;0.026441;0.028262;14460800;86649600
20/10/2017;0.033435;0.044244;0.027763;0.030235;3326540;94069800
19/10/2017;0.045037;0.045037;0.029679;0.033461;331934;126712000
18/10/2017;0.037955;0.045142;0.028865;0.045142;273838;91146200
17/10/2017;0.035459;0.038227;0.031840;0.038000;74970;85152100
16/10/2017;0.035489;0.075757;0.030394;0.035369;187591;85224700
15/10/2017;0.029584;0.042269;0.029584;0.035396;232100;64240600
14/10/2017;0.028978;0.114037;0.027086;0.029498;53791;62924200
13/10/2017;0.025828;0.169312;0.024797;0.028950;49420;56084100
12/10/2017;0.026896;0.027413;0.025199;0.025878;56588;58402700
11/10/2017;0.025969;0.027143;0.022070;0.026896;28458;56389800
10/10/2017;0.025834;0.027325;0.021821;0.025970;127260;56097200
09/10/2017;0.024765;0.027663;0.020380;0.025770;28251;53775400
08/10/2017;0.028031;0.028109;0.023397;0.024763;18126;60868000
07/10/2017;0.027727;0.029119;0.024876;0.028071;17426;0
06/10/2017;0.025417;0.027775;0.025371;0.027775;26386;0
05/10/2017;0.026252;0.026253;0.024575;0.025410;576;0
04/10/2017;0.026304;0.026727;0.025058;0.026253;28018;0
