Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;21.14;27.16;21.04;25.12;7935880;232584000
21/11/2017;20.94;21.38;20.17;21.13;1387670;230382000
20/11/2017;20.23;21.10;19.85;20.99;1176890;222498000
19/11/2017;19.73;20.49;19.72;20.20;1138730;217027000
18/11/2017;19.22;19.86;18.88;19.74;815249;211375000
17/11/2017;19.79;20.00;19.10;19.26;1267730;217734000
16/11/2017;19.37;20.18;19.05;19.78;1432180;213095000
15/11/2017;18.93;19.37;18.66;19.22;1250130;208279000
14/11/2017;18.29;19.02;18.07;18.86;1003900;201179000
13/11/2017;17.39;18.44;17.32;18.23;870775;191345000
12/11/2017;18.22;18.41;16.88;17.45;1919200;200461000
11/11/2017;17.61;18.68;17.56;18.21;1330620;193728000
10/11/2017;19.08;19.86;17.39;17.69;1754170;209835000
09/11/2017;18.40;19.35;18.06;19.12;1837380;202416000
08/11/2017;17.06;19.54;16.93;18.38;2138860;187683000
07/11/2017;16.89;18.76;16.85;17.04;1457810;185779000
06/11/2017;16.71;17.14;16.33;16.89;907617;183862000
05/11/2017;17.40;19.17;16.18;16.61;2101850;191376000
04/11/2017;17.79;17.79;17.10;17.42;748167;195663000
03/11/2017;16.22;17.84;15.95;17.83;1476930;178443000
02/11/2017;16.89;17.23;15.45;16.18;1498460;185770000
01/11/2017;17.50;20.76;16.91;16.95;3938990;192526000
31/10/2017;17.13;17.80;17.08;17.59;949978;188467000
30/10/2017;17.71;17.71;16.92;17.17;739091;194793000
29/10/2017;17.26;18.28;17.23;17.70;634587;189897000
28/10/2017;17.57;17.72;17.23;17.27;391903;193241000
27/10/2017;17.93;18.02;17.22;17.54;482746;197200000
26/10/2017;17.97;18.29;17.59;17.90;540067;197694000
25/10/2017;17.74;18.10;17.13;17.94;730846;195181000
24/10/2017;16.12;18.48;15.98;17.66;1311980;177268000
23/10/2017;16.84;16.92;16.06;16.29;893583;185242000
22/10/2017;16.86;17.17;16.38;16.85;526437;185419000
21/10/2017;17.45;17.57;16.26;16.84;667841;191982000
20/10/2017;18.12;18.39;17.36;17.56;950119;199335000
19/10/2017;18.36;18.64;17.92;18.15;578350;202015000
18/10/2017;18.72;18.73;17.70;18.34;779130;205969000
17/10/2017;19.08;19.12;18.63;18.70;576251;209918000
16/10/2017;18.72;19.23;18.48;19.09;930751;205872000
15/10/2017;19.07;19.14;17.98;18.66;480545;209729000
14/10/2017;18.39;18.95;18.26;18.95;653761;202279000
13/10/2017;18.25;18.93;17.95;18.38;1179910;200748000
12/10/2017;18.62;19.10;18.17;18.23;1701010;204799000
11/10/2017;18.82;18.92;18.55;18.61;493703;206975000
10/10/2017;17.80;19.21;17.50;18.77;692292;195823000
09/10/2017;19.11;19.22;17.72;17.81;924576;210206000
08/10/2017;20.10;20.11;19.11;19.12;723733;221123000
07/10/2017;19.66;20.59;19.66;20.13;1104820;216245000
06/10/2017;19.01;19.61;18.52;19.61;722235;209122000
05/10/2017;19.01;19.27;18.61;19.02;657037;209079000
04/10/2017;19.47;19.56;18.88;18.99;571388;214161000
03/10/2017;19.37;19.49;18.99;19.44;786055;213088000
02/10/2017;20.66;20.69;19.18;19.37;789547;227255000
01/10/2017;21.22;21.34;20.16;20.66;496431;233421000
30/09/2017;20.72;21.64;20.51;21.19;706371;227924000
29/09/2017;22.20;22.46;20.14;20.64;1184250;244249000
28/09/2017;20.96;22.76;20.73;22.23;2030560;230602000
27/09/2017;18.79;21.21;18.68;20.98;1632240;206643000
26/09/2017;18.80;18.96;18.49;18.82;397769;206788000
25/09/2017;17.81;18.95;17.76;18.81;623948;195868000
24/09/2017;18.00;18.48;17.83;17.84;545368;198006000
23/09/2017;16.98;18.09;16.72;18.00;401046;186760000
22/09/2017;17.12;17.60;16.39;17.01;340706;188348000
