Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;0.154814;0.167832;0.154544;0.167282;3086240;154814000
21/11/2017;0.157763;0.166981;0.152876;0.154690;2777640;157763000
20/11/2017;0.159930;0.163229;0.156410;0.157709;2961210;159930000
19/11/2017;0.163459;0.164833;0.158315;0.161358;2455030;163459000
18/11/2017;0.161460;0.165633;0.155645;0.162501;3096680;161460000
17/11/2017;0.166421;0.180135;0.155159;0.160654;5317800;166421000
16/11/2017;0.144264;0.172310;0.139390;0.167167;6494270;144264000
15/11/2017;0.145754;0.149775;0.138325;0.143508;2425150;145754000
14/11/2017;0.144157;0.150544;0.135131;0.147691;2805450;144157000
13/11/2017;0.124678;0.151925;0.123785;0.143450;2146280;124678000
12/11/2017;0.138002;0.138002;0.115952;0.124914;1549930;138002000
11/11/2017;0.139728;0.145600;0.130550;0.137147;1274050;139728000
10/11/2017;0.160076;0.161125;0.134577;0.139639;1616760;160076000
09/11/2017;0.149664;0.166868;0.149175;0.160317;2266610;149664000
08/11/2017;0.141745;0.155962;0.140031;0.149248;2300740;141745000
07/11/2017;0.138018;0.145746;0.138010;0.141934;1175570;138018000
06/11/2017;0.141019;0.142481;0.135678;0.137831;1565290;141019000
05/11/2017;0.141324;0.144884;0.138791;0.140744;1166850;141324000
04/11/2017;0.146493;0.146493;0.137842;0.141719;1581930;146493000
03/11/2017;0.163697;0.166195;0.127327;0.146845;3418640;163697000
02/11/2017;0.139612;0.173177;0.127822;0.166955;5297190;139612000
01/11/2017;0.153747;0.160958;0.137936;0.138513;2628910;153747000
31/10/2017;0.146643;0.167168;0.145623;0.154904;3375320;146643000
30/10/2017;0.146109;0.150053;0.142668;0.146813;1245900;146109000
29/10/2017;0.155104;0.157035;0.143382;0.145832;2217180;155104000
28/10/2017;0.143486;0.157107;0.141414;0.155709;2032030;143486000
27/10/2017;0.147531;0.148359;0.140947;0.142509;1306500;147531000
26/10/2017;0.153503;0.157988;0.146016;0.147397;1663850;153503000
25/10/2017;0.157797;0.159296;0.145851;0.154372;2026480;157797000
24/10/2017;0.139592;0.182936;0.135826;0.157755;3260800;139592000
23/10/2017;0.141987;0.143211;0.130652;0.141128;1366100;141987000
22/10/2017;0.143761;0.153527;0.138013;0.142390;1310690;143761000
21/10/2017;0.151794;0.153950;0.133686;0.143037;2251220;151794000
20/10/2017;0.153746;0.165749;0.152009;0.152958;1962980;153746000
19/10/2017;0.162817;0.167622;0.150540;0.153714;1773680;162817000
18/10/2017;0.165556;0.165556;0.152059;0.162438;1744130;165556000
17/10/2017;0.176080;0.196566;0.161113;0.165404;4007820;176080000
16/10/2017;0.158907;0.186772;0.142035;0.176811;4422080;158907000
15/10/2017;0.176428;0.176428;0.152709;0.158654;2073580;176428000
14/10/2017;0.174831;0.183101;0.169372;0.175499;1426580;174831000
13/10/2017;0.191549;0.195089;0.162208;0.174872;4281620;191549000
12/10/2017;0.193030;0.216736;0.176242;0.190453;4844030;193030000
11/10/2017;0.194973;0.202871;0.190568;0.192717;2858980;194973000
10/10/2017;0.191329;0.204759;0.180508;0.194932;2688870;191329000
09/10/2017;0.193164;0.198343;0.169204;0.189483;3172310;193164000
08/10/2017;0.213865;0.219123;0.186132;0.192375;3751940;213865000
07/10/2017;0.232407;0.233209;0.206347;0.214372;3773630;232407000
06/10/2017;0.231080;0.240281;0.227620;0.232911;2645430;231080000
05/10/2017;0.245436;0.249845;0.224653;0.232473;4610980;245436000
04/10/2017;0.263824;0.278332;0.243234;0.243567;5576470;263824000
03/10/2017;0.254962;0.272279;0.248986;0.265634;6341430;254962000
02/10/2017;0.253671;0.258993;0.250480;0.255674;2516540;253671000
01/10/2017;0.246144;0.258949;0.244727;0.255647;2773310;246144000
30/09/2017;0.235972;0.253563;0.235277;0.246012;2536680;235972000
29/09/2017;0.249416;0.249416;0.221576;0.236986;3098820;249416000
28/09/2017;0.234497;0.258492;0.233666;0.249281;5497280;234497000
27/09/2017;0.212823;0.234976;0.207746;0.232354;2667880;212823000
26/09/2017;0.215136;0.220188;0.210506;0.213436;1977590;215136000
25/09/2017;0.198387;0.217293;0.197845;0.215173;1913430;198387000
24/09/2017;0.211823;0.214732;0.198249;0.198249;2508610;211823000
23/09/2017;0.196012;0.213278;0.192172;0.211534;2074220;196012000
22/09/2017;0.201946;0.206507;0.185872;0.196522;2476800;201946000
21/09/2017;0.222461;0.226108;0.189529;0.202765;4504750;222461000
20/09/2017;0.211856;0.230746;0.205807;0.223386;3315670;211856000
19/09/2017;0.243668;0.243668;0.211504;0.211504;4074760;243668000
18/09/2017;0.235858;0.263096;0.228814;0.245810;10913600;235858000
17/09/2017;0.220687;0.241252;0.209776;0.235859;7105110;220687000
16/09/2017;0.187841;0.234219;0.178560;0.220771;5529540;187841000
15/09/2017;0.154636;0.194920;0.137394;0.189134;3170150;154636000
14/09/2017;0.193715;0.196861;0.149747;0.153102;2649260;193715000
13/09/2017;0.211731;0.211941;0.179449;0.192960;2182480;211731000
12/09/2017;0.213367;0.229853;0.201577;0.211839;3209470;213367000
11/09/2017;0.201248;0.213383;0.194833;0.212974;1987890;201248000
10/09/2017;0.219309;0.219368;0.192669;0.200025;2209730;219309000
09/09/2017;0.216223;0.225340;0.207196;0.219077;1684720;216223000
08/09/2017;0.249008;0.249752;0.196790;0.215725;4370790;249008000
07/09/2017;0.224084;0.249728;0.215910;0.247884;3218150;224084000
06/09/2017;0.217845;0.234281;0.211744;0.225347;3245920;217845000
05/09/2017;0.202195;0.225642;0.169230;0.218497;3374360;202195000
04/09/2017;0.241998;0.241998;0.168628;0.201452;5599610;241998000
03/09/2017;0.242396;0.271964;0.225316;0.241242;3681780;242396000
02/09/2017;0.291993;0.292109;0.234706;0.244449;4577840;291993000
01/09/2017;0.272326;0.308977;0.264262;0.292161;9031140;272326000
31/08/2017;0.237641;0.285709;0.235414;0.271803;6706840;237641000
30/08/2017;0.246734;0.253316;0.222700;0.237483;3429980;246734000
29/08/2017;0.228124;0.247443;0.223189;0.246818;5055580;228124000
28/08/2017;0.210025;0.236254;0.204585;0.227662;3780050;210025000
