Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;1.59;1.62;1.56;1.61;7177000;157481000
21/11/2017;1.66;1.66;1.55;1.57;5440790;164182000
20/11/2017;1.63;1.66;1.56;1.62;12994500;160956000
19/11/2017;1.67;1.70;1.57;1.61;38081700;165686000
18/11/2017;1.51;1.68;1.50;1.67;32167300;149646000
17/11/2017;1.58;1.58;1.50;1.51;8508840;156447000
16/11/2017;1.56;1.68;1.54;1.58;8928640;154085000
15/11/2017;1.59;1.62;1.50;1.53;7615500;157212000
14/11/2017;1.69;1.74;1.57;1.59;7829600;167262000
13/11/2017;1.53;1.74;1.52;1.69;12238800;151096000
12/11/2017;1.67;1.67;1.46;1.52;15298700;165243000
11/11/2017;1.79;1.92;1.61;1.67;8178150;176866000
10/11/2017;2.01;2.07;1.64;1.80;11155000;198793000
09/11/2017;2.05;2.17;1.89;1.99;19192200;203289000
08/11/2017;1.80;2.06;1.78;2.03;18796200;178133000
07/11/2017;1.57;1.82;1.55;1.81;9469500;155362000
06/11/2017;1.53;1.67;1.48;1.57;5042750;151372000
05/11/2017;1.64;1.64;1.46;1.52;2681150;162105000
04/11/2017;1.46;1.70;1.40;1.64;4685320;144162000
03/11/2017;1.29;1.48;1.29;1.46;3201070;128180000
02/11/2017;1.26;1.37;1.20;1.30;3550520;124783000
01/11/2017;1.34;1.34;1.22;1.26;2118920;132200000
31/10/2017;1.34;1.41;1.27;1.31;3397150;132278000
30/10/2017;1.23;1.36;1.20;1.31;2437230;122120000
29/10/2017;1.18;1.26;1.16;1.24;1969690;116675000
28/10/2017;1.18;1.20;1.14;1.15;1495260;116928000
27/10/2017;1.21;1.22;1.11;1.17;2067650;119683000
26/10/2017;1.26;1.26;1.10;1.21;2400010;124854000
25/10/2017;1.24;1.27;1.17;1.25;2288360;123115000
24/10/2017;1.18;1.38;1.14;1.25;4833390;116532000
23/10/2017;1.23;1.28;1.10;1.18;2355560;121922000
22/10/2017;1.26;1.30;1.18;1.21;1631220;124292000
21/10/2017;1.24;1.27;1.17;1.25;1331640;122515000
20/10/2017;1.28;1.37;1.22;1.24;1703230;128326000
19/10/2017;1.33;1.35;1.25;1.28;1791220;132868000
18/10/2017;1.39;1.42;1.21;1.33;2311140;139351000
17/10/2017;1.44;1.47;1.36;1.39;1744390;143768000
16/10/2017;1.56;1.60;1.39;1.44;2960330;155599000
15/10/2017;1.50;1.68;1.41;1.56;5987930;149513000
14/10/2017;1.47;1.54;1.41;1.54;3355060;146932000
13/10/2017;1.34;1.51;1.18;1.44;5705760;133651000
12/10/2017;1.43;1.44;1.28;1.34;5275850;142996000
11/10/2017;1.40;1.46;1.38;1.43;6123140;139944000
10/10/2017;1.43;1.47;1.34;1.39;6912770;143107000
09/10/2017;1.21;1.58;1.21;1.40;9667100;120771000
08/10/2017;1.58;1.60;1.22;1.22;4515300;157618000
07/10/2017;1.61;1.61;1.50;1.58;5578780;160526000
06/10/2017;1.68;1.71;1.53;1.58;6076260;167731000
05/10/2017;1.63;1.74;1.42;1.68;7503500;163499000
04/10/2017;1.85;1.86;1.52;1.60;7227750;185150000
03/10/2017;1.97;2.03;1.67;1.82;14411500;196783000
02/10/2017;1.53;1.98;1.51;1.96;19367700;152662000
01/10/2017;1.28;1.53;1.26;1.53;9043600;128418000
30/09/2017;1.27;1.31;1.23;1.28;6194570;127000000
29/09/2017;1.37;1.37;1.14;1.27;8474270;136698000
28/09/2017;1.15;1.43;1.15;1.38;13944300;114843000
27/09/2017;0.855698;1.20;0.855698;1.14;8394020;85569800
26/09/2017;0.918922;0.940082;0.859212;0.860747;3460160;91892200
25/09/2017;0.784244;0.936568;0.773316;0.917059;3695220;78424400
24/09/2017;0.775804;0.788347;0.736221;0.783268;2402720;77580400
23/09/2017;0.717196;0.777400;0.707845;0.770965;2276080;71719600
22/09/2017;0.698871;0.740154;0.683260;0.715893;2099500;69887100
21/09/2017;0.764013;0.781775;0.684281;0.702140;2238040;76401300
20/09/2017;0.815032;0.816384;0.743676;0.747890;2536950;81503200
19/09/2017;0.907398;0.909132;0.787653;0.802425;2888420;90739800
18/09/2017;0.789565;0.937029;0.787604;0.909202;3717860;78956500
17/09/2017;0.803423;0.814797;0.733745;0.789589;1273640;80342300
16/09/2017;0.808056;0.927197;0.746113;0.804198;2829570;80805600
15/09/2017;0.683305;0.849217;0.526755;0.799709;4625680;68330500
14/09/2017;0.937870;0.950177;0.673482;0.678784;3134360;93787000
13/09/2017;1.04;1.04;0.880241;0.937204;2780700;104290000
12/09/2017;1.03;1.21;0.987632;1.04;7213490;103348000
11/09/2017;0.949186;1.10;0.902000;1.03;5167180;94918600
10/09/2017;0.982078;1.00;0.852385;0.942159;3257430;98207800
09/09/2017;1.01;1.03;0.863061;0.989301;4011510;100920000
08/09/2017;1.40;1.40;0.946601;1.01;9872850;139804000
07/09/2017;1.03;1.51;0.956745;1.37;15442300;103434000
06/09/2017;0.990521;1.17;0.735500;1.09;14279400;99052100
05/09/2017;1.03;1.12;0.740622;0.973716;9453770;103251000
04/09/2017;1.58;1.58;0.613010;1.05;20075100;157665000
03/09/2017;1.93;2.02;1.42;1.58;11662000;192548000
02/09/2017;2.50;2.85;1.72;1.99;22995400;250000000
01/09/2017;2.20;2.39;2.12;2.38;20990700;220169000
31/08/2017;2.33;2.41;2.20;2.20;20214800;232823000
30/08/2017;2.28;2.37;2.09;2.35;24830000;228194000
29/08/2017;2.11;2.33;1.99;2.33;20372000;210625000
28/08/2017;2.02;2.17;1.96;2.04;15413900;202149000
27/08/2017;2.18;2.31;1.86;2.01;17214900;217997000
26/08/2017;2.53;2.54;1.96;2.17;26690700;253038000
25/08/2017;2.39;2.73;2.39;2.50;49977600;239057000
24/08/2017;2.63;2.66;2.28;2.38;45080400;262736000
23/08/2017;2.47;2.96;2.47;2.58;64925100;247397000
22/08/2017;2.72;2.72;2.22;2.49;52091300;272445000
21/08/2017;2.43;2.91;2.43;2.70;72000600;243075000
20/08/2017;2.11;2.69;2.08;2.50;65350400;210821000
19/08/2017;2.33;2.33;1.82;2.09;43391300;233440000
18v08/2017;1.93;2.75;1.89;2.38;69048000;192519000
17/08/2017;1.44;2.11;1.32;1.97;61296500;143697000
16/08/2017;1.12;1.45;1.08;1.44;31363100;111969000
15/08/2017;1.33;1.38;0.923372;1.06;19824400;132709000
14/08/2017;0.872918;1.46;0.735764;1.30;51698100;87291800
13/08/2017;0.445990;1.02;0.445990;0.876828;13852100;44599000
12/08/2017;0.392193;0.475992;0.337589;0.446365;5080760;39219300
11/08/2017;0.348785;0.409654;0.311067;0.392572;4413920;34878500
10/08/2017;0.251827;0.349976;0.245052;0.349079;4118070;25182700
09/08/2017;0.224748;0.260625;0.222158;0.242912;3075320;22474800
08/08/2017;0.148998;0.226925;0.147766;0.224421;2617340;14899800
07/08/2017;0.133958;0.149765;0.133300;0.148848;748177;13395800
06/08/2017;0.129293;0.132988;0.127380;0.130999;393681;12929200
05/08/2017;0.107418;0.144653;0.107070;0.128871;542878;10741800
04/08/2017;0.106685;0.107756;0.102699;0.107494;287621;10668500
03/08/2017;0.100328;0.106978;0.099120;0.106642;293008;10032800
02/08/2017;0.099721;0.101211;0.097361;0.100452;256793;9972120
01/08/2017;0.104595;0.106266;0.096109;0.099867;300413;10459500
31/07/2017;0.106828;0.108349;0.101600;0.104250;240309;10682800
30/07/2017;0.107935;0.108138;0.103162;0.106414;224261;10793500
29/07/2017;0.104782;0.111264;0.101108;0.107811;340218;10478200
28/07/2017;0.107632;0.109019;0.101473;0.104067;342568;10763200
27/07/2017;0.105108;0.108479;0.100888;0.107737;344499;10510800
26/07/2017;0.105893;0.109013;0.099266;0.105138;200395;10589300
25/07/2017;0.115203;0.115841;0.101531;0.105870;145269;11520300
