Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;1175.06;1335.25;1171.60;1303.31;1517620000;19758600000
21/11/2017;1220.78;1224.15;1140.88;1176.97;772859000;20525100000
20/11/2017;1172.43;1236.01;1167.28;1236.01;800053000;19710200000
19/11/2017;1260.95;1262.34;1144.08;1172.05;1285910000;21196200000
18/11/2017;1197.43;1388.11;1197.43;1254.53;3053770000;20125900000
17/11/2017;909.16;1217.42;863.98;1185.48;3203430000;15279000000
16/11/2017;1202.17;1210.36;876.57;900.78;2034690000;20202000000
15/11/2017;1269.79;1326.39;1191.98;1212.40;1321780000;21335600000
14/11/2017;1346.73;1390.21;1211.39;1273.53;1697910000;22626200000
13/11/2017;1381.82;1501.16;1043.00;1353.99;4850570000;23214700000
12/11/2017;1346.97;2477.65;1215.58;1388.86;8371320000;22614400000
11/11/2017;1001.64;1403.66;910.72;1340.45;5139770000;16807400000
10/11/2017;651.77;1034.77;651.77;1007.42;5195420000;10933000000
09/11/2017;622.31;670.14;619.26;654.30;710387000;10437700000
08/11/2017;615.24;646.38;565.60;622.46;837646000;10317500000
07/11/2017;602.68;626.21;602.45;616.30;375367000;10105200000
06/11/2017;630.31;657.34;602.65;602.65;794105000;10566600000
05/11/2017;619.91;635.72;579.13;630.70;816028000;10390900000
04/11/2017;635.35;642.05;571.12;620.45;1161370000;10647200000
03/11/2017;587.32;684.53;577.86;625.32;1682210000;9839760000
02/11/2017;527.68;610.39;514.52;587.22;1632060000;8840010000
01/11/2017;438.30;538.26;437.91;531.83;1152230000;7342250000
31/10/2017;449.37;454.07;431.76;439.05;343799000;7527260000
30/10/2017;458.45;478.42;417.62;448.23;796409000;7679000000
29/10/2017;420.47;526.12;408.40;451.92;2002440000;7042260000
28/10/2017;369.54;425.44;369.06;423.35;781037000;6183520000
27/10/2017;338.30;372.81;338.24;367.57;501989000;5655870000
26/10/2017;332.11;350.94;331.21;338.20;234967000;5550700000
25/10/2017;326.59;334.38;320.38;332.13;151935000;5457720000
24/10/2017;315.90;340.45;311.48;326.89;267442000;5278410000
23/10/2017;330.67;332.28;309.87;315.60;191558000;5524790000
22/10/2017;323.50;355.52;323.50;331.66;355546000;5405020000
21/10/2017;326.75;328.45;317.46;323.36;129938000;5458980000
20/10/2017;330.90;332.98;323.08;327.44;160204000;5527860000
19/10/2017;339.27;339.27;326.27;330.81;195578000;5667070000
18/10/2017;373.65;376.18;313.77;339.17;477184000;6240990000
17/10/2017;313.70;394.96;309.64;371.73;1008160000;5239520000
16/10/2017;315.26;318.02;310.52;313.64;117797000;5265400000
15/10/2017;322.42;323.59;307.68;314.95;133385000;5384760000
14/10/2017;321.54;327.42;317.35;321.96;164137000;5369720000
13/10/2017;314.15;323.08;304.38;321.46;288210000;5242630000
12/10/2017;315.47;330.13;310.71;313.21;262066000;5262390000
11/10/2017;320.20;321.26;312.13;314.90;131577000;5341000000
10/10/2017;313.22;352.02;311.70;321.59;367809000;5224170000
09/10/2017;342.76;342.76;289.04;314.16;288075000;5716320000
08/10/2017;360.09;362.46;337.00;342.21;203754000;6004940000
07/10/2017;363.60;364.88;356.06;360.78;91004000;6062860000
06/10/2017;355.44;371.28;354.96;363.01;182031000;5926540000
05/10/2017;358.42;371.19;348.45;355.75;268341000;5971260000
04/10/2017;404.20;404.45;354.55;358.45;251584000;6729640000
03/10/2017;421.79;421.79;395.74;404.18;130247000;7022370000
02/10/2017;415.87;430.86;411.84;421.19;219590000;6921580000
01/10/2017;433.38;436.94;415.15;415.15;164290000;7207770000
30/09/2017;436.64;445.62;432.53;432.63;150565000;7258880000
29/09/2017;447.66;447.92;426.99;436.77;148725000;7441960000
28/09/2017;456.71;465.20;433.50;447.81;300421000;7592000000
27/09/2017;441.86;460.00;439.41;457.31;197885000;7343490000
26/09/2017;445.36;458.25;441.83;441.83;165303000;7400020000
25/09/2017;419.65;450.13;419.65;445.80;302272000;6971280000
24/09/2017;428.80;433.04;419.25;421.03;114527000;7121950000
23/09/2017;415.31;432.96;407.45;428.50;189127000;6895970000
22/09/2017;417.92;435.44;402.77;415.09;241905000;6937170000
21/09/2017;475.83;480.00;413.75;416.26;316731000;7898300000
20/09/2017;526.74;527.72;471.09;476.05;669264000;8741670000
19/09/2017;480.64;550.41;450.05;527.88;802321000;7975010000
18/09/2017;422.09;479.69;422.09;479.32;458550000;7001640000
17/09/2017;438.90;438.90;384.06;419.86;221828000;7279520000
16/09/2017;424.49;450.98;388.20;440.22;313583000;7039590000
15/09/2017;369.49;448.39;301.69;424.02;707231000;6126800000
14/09/2017;504.22;510.47;367.04;367.04;257431000;8359650000
13/09/2017;509.47;519.20;471.22;503.61;340344000;8445540000
12/09/2017;539.03;559.22;505.01;510.41;273825000;8934220000
11/09/2017;537.19;556.25;515.67;537.81;274712000;8902570000
10/09/2017;546.48;546.75;484.09;537.07;289508000;9055430000
09/09/2017;584.73;586.18;539.15;547.47;234578000;9688150000
08/09/2017;654.37;687.30;557.50;583.10;809763000;10840500000
07/09/2017;636.85;707.98;603.50;652.86;1082380000;10548500000
06/09/2017;541.28;642.69;539.96;638.18;693240000;8964700000
05/09/2017;514.90;550.95;458.78;541.71;338978000;8527100000
04/09/2017;608.26;608.26;500.75;517.24;328957000;10072200000
03/09/2017;578.27;617.41;563.59;607.43;344862000;9574520000
02/09/2017;621.96;642.05;560.58;575.90;350478000;10297000000
01/09/2017;588.40;645.52;586.73;622.17;393839000;9740460000
31/08/2017;576.25;603.69;572.14;588.17;298144000;9538750000
30/08/2017;549.32;604.69;535.92;575.21;443856000;9092300000
29/08/2017;596.13;599.30;528.32;552.93;370017000;9866110000
28/08/2017;619.70;626.88;595.52;596.18;216273000;10254800000
27/08/2017;625.89;654.87;589.63;620.90;402718000;10357000000
26/08/2017;641.88;646.93;622.36;625.32;193414000;10616100000
25/08/2017;627.06;665.41;624.30;641.05;348632000;10365600000
24/08/2017;670.03;697.32;617.31;628.11;407177000;11071100000
23/08/2017;690.96;715.67;651.32;669.40;501983000;11416800000
22/08/2017;596.19;734.88;570.27;690.88;1393260000;9844620000
21/08/2017;723.70;756.59;573.47;599.63;1123400000;11943100000
20/08/2017;772.42;858.96;683.94;712.87;1494020000;12742600000
19/08/2017;697.04;1091.97;625.16;754.56;3196230000;11498100000
18v08/2017;458.67;764.07;458.67;690.24;3087490000;7565590000
17/08/2017;301.02;460.53;293.10;460.53;744605000;4964980000
16/08/2017;297.97;307.62;290.21;300.21;106436000;4914350000
15/08/2017;298.19;306.52;292.88;297.86;133924000;4917480000
14/08/2017;296.10;327.39;293.50;297.68;174968000;4882720000
13/08/2017;316.29;317.47;298.05;298.05;120722000;5215330000
12/08/2017;327.82;341.85;313.70;317.09;126007000;5405200000
11/08/2017;275.88;351.16;275.02;328.24;233971000;4548600000
10/08/2017;305.21;311.68;274.68;275.95;136637000;5031790000
09/08/2017;345.28;349.32;298.61;303.89;165032000;5691960000
08/08/2017;321.35;386.29;309.61;345.49;274880000;5297390000
07/08/2017;223.76;373.87;223.76;319.69;346546000;3688360000
06/08/2017;212.18;223.70;203.44;220.66;107606000;3497290000
05/08/2017;231.11;273.04;200.98;213.15;144043000;3809330000
04/08/2017;362.18;386.93;233.05;233.05;185038000;5969720000
03/08/2017;448.49;519.28;364.05;364.05;161518000;7392030000
02/08/2017;382.38;756.93;309.33;452.66;416207000;6302360000
01/08/2017;294.60;426.11;210.38;380.01;65988800;0
31/07/2017;346.36;347.82;266.19;294.46;1075960;0
30/07/2017;385.14;385.14;316.25;345.66;606695;0
29/07/2017;410.56;423.73;323.73;384.77;737815;0
28/07/2017;386.65;465.18;217.06;406.05;1230160;0
27/07/2017;417.10;460.97;367.78;385.48;533207;0
26/07/2017;407.08;486.16;321.79;365.82;1784640;0
25/07/2017;441.35;541.66;338.09;406.90;524908;0
24/07/2017;412.58;578.89;409.21;440.70;190952;0
23/07/2017;555.89;578.97;411.78;413.06;85013;0
