Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;112.08;114.36;109.37;112.05;96648;144457000
21/11/2017;112.84;116.25;103.97;111.81;57835;145434000
20/11/2017;108.76;116.62;106.28;112.81;101612;140175000
19/11/2017;114.01;120.33;105.64;108.81;226569;146943000
18/11/2017;105.93;130.09;101.38;113.60;448677;136526000
17/11/2017;106.70;110.72;102.50;106.34;60285;137524000
16/11/2017;107.33;121.93;102.69;106.86;318931;138327000
15/11/2017;111.06;115.69;102.49;106.00;127238;143145000
14/11/2017;109.25;112.85;108.00;110.64;41560;140803000
13/11/2017;101.30;116.67;99.44;109.01;189394;130566000
12/11/2017;112.42;114.20;94.64;101.25;159577;144890000
11/11/2017;108.81;120.61;106.92;112.50;223755;140242000
10/11/2017;134.77;140.18;103.05;110.18;278010;173696000
09/11/2017;132.22;139.76;124.42;129.23;179166;170414000
08/11/2017;130.30;144.63;115.41;131.82;352872;167942000
07/11/2017;117.73;131.51;117.73;130.46;138078;151733000
06/11/2017;113.29;132.26;106.40;118.15;216527;146013000
05/11/2017;106.95;113.04;104.59;113.04;78108;137841000
04/11/2017;108.92;113.44;105.84;107.14;38145;140376000
03/11/2017;105.54;110.44;100.45;109.18;114452;136022000
02/11/2017;94.34;110.81;89.09;106.20;189843;121587000
01/11/2017;103.81;103.81;92.69;94.23;60098;133790000
31/10/2017;102.59;112.69;101.53;102.99;204122;132227000
30/10/2017;96.28;102.75;93.43;102.66;53259;124087000
29/10/2017;87.30;101.94;86.53;95.84;100048;112515000
28/10/2017;86.21;92.69;85.86;87.42;125362;111111000
27/10/2017;83.22;86.52;81.91;85.98;25573;107262000
26/10/2017;84.58;89.73;81.57;83.21;30567;109018000
25/10/2017;86.29;88.10;82.12;84.60;49788;111222000
24/10/2017;74.96;89.72;70.99;86.25;68714;96618400
23/10/2017;86.00;87.00;72.98;75.12;97471;110847000
22/10/2017;78.07;86.41;75.94;85.56;47482;100617000
21/10/2017;84.31;84.74;74.41;78.04;77610;108670000
20/10/2017;87.10;90.34;81.56;84.50;126334;112260000
19/10/2017;87.64;91.31;82.32;87.07;96586;112950000
