Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;294.75;301.19;291.73;299.33;19632100;630210000
21/11/2017;296.57;301.53;274.78;294.10;23952700;634092000
20/11/2017;292.50;302.04;256.51;296.51;28203100;625403000
19/11/2017;294.46;295.88;281.27;292.65;16763600;629582000
18/11/2017;295.91;299.17;284.36;294.92;17783600;632692000
17/11/2017;302.48;308.66;291.00;297.02;23569000;646736000
16/11/2017;274.63;308.34;261.24;303.01;31028800;587185000
15/11/2017;255.66;280.37;255.66;273.13;26940000;546634000
14/11/2017;252.45;259.37;248.25;255.38;22764400;539765000
13/11/2017;218.02;259.44;216.57;251.90;19908200;466138000
12/11/2017;241.44;241.44;201.66;218.00;13218700;516226000
11/11/2017;252.63;262.24;237.99;241.58;15969100;540148000
10/11/2017;274.44;286.70;248.33;253.59;20860300;586777000
09/11/2017;285.18;285.42;270.68;273.57;22690900;609733000
08/11/2017;270.43;298.81;268.81;285.47;22643000;578193000
07/11/2017;260.04;273.18;260.04;271.27;22712300;555997000
06/11/2017;276.58;279.72;259.64;259.85;19432300;591355000
05/11/2017;278.10;285.64;273.37;276.28;14591800;594608000
04/11/2017;270.45;284.62;259.07;278.66;66891000;578248000
03/11/2017;262.93;284.64;260.10;271.12;25755600;1934570000
02/11/2017;251.29;273.73;251.29;263.27;23900000;1846340000
01/11/2017;239.45;251.29;234.88;250.93;24030900;1757760000
31/10/2017;227.38;239.52;226.79;239.52;18364400;1667460000
30/10/2017;225.77;230.18;223.09;228.12;22568300;1653970000
29/10/2017;211.72;233.22;211.18;227.10;11138200;1549720000
28/10/2017;213.13;217.36;209.66;211.84;10550800;1558580000
27/10/2017;216.65;220.70;210.38;212.55;14048500;1582930000
26/10/2017;206.38;220.18;205.15;216.59;15882500;1506580000
25/10/2017;193.74;206.68;188.80;206.32;17013600;1405090000
24/10/2017;196.65;201.47;186.31;193.70;12298000;1424770000
23/10/2017;204.72;208.28;193.84;198.57;13730900;1481770000
22/10/2017;208.50;210.75;198.85;205.04;9944220;1507780000
21/10/2017;213.01;218.42;204.56;210.40;10211700;1538750000
20/10/2017;199.81;216.68;198.23;213.46;15662400;1442010000
19/10/2017;195.58;202.03;194.07;199.79;14086400;1410190000
18/10/2017;193.93;196.44;178.70;195.38;13234800;1395380000
17/10/2017;199.63;200.25;191.38;193.95;14142600;1434990000
16/10/2017;193.05;200.68;190.66;199.63;14092700;1385880000
15/10/2017;200.83;201.44;186.43;193.03;9190960;1440370000
14/10/2017;196.68;201.51;193.34;199.74;12375600;1409300000
13/10/2017;188.67;204.19;187.51;196.72;18181900;1350390000
12/10/2017;166.71;188.09;166.23;188.09;15616200;1182750000
11/10/2017;161.34;168.28;158.95;166.59;13011800;1143640000
10/10/2017;158.71;166.74;158.71;161.25;13035600;1116440000
09/10/2017;148.29;161.37;146.63;158.66;12646700;1034940000
08/10/2017;142.71;148.93;142.33;148.31;6956630;995090000
07/10/2017;141.85;144.33;139.16;144.15;6342670;984296000
06/10/2017;138.96;143.83;138.68;141.86;10787200;958272000
05/10/2017;135.21;140.32;132.93;138.96;8245120;931554000
04/10/2017;136.92;138.58;134.12;135.09;7468280;941932000
03/10/2017;139.07;139.75;134.20;136.58;8298420;955766000
02/10/2017;139.19;140.60;134.72;139.08;11113800;953552000
01/10/2017;136.23;139.33;134.03;139.33;5808050;932178000
30/09/2017;130.13;136.54;128.68;136.16;7830160;889567000
29/09/2017;131.15;132.31;123.58;130.11;10871800;895647000
28/09/2017;126.30;131.58;125.18;131.26;12807500;861593000
27/09/2017;117.41;127.13;117.36;126.31;10526200;800032000
26/09/2017;117.50;120.41;116.41;117.76;10629600;796741000
25/09/2017;109.68;119.57;109.51;117.50;10414100;742949000
24/09/2017;113.12;113.27;108.57;110.11;4950760;765508000
23/09/2017;109.38;113.91;108.24;113.17;5640310;739413000
22/09/2017;108.61;113.21;107.07;109.69;6933750;733372000
21/09/2017;116.67;117.45;107.42;108.73;6427510;787024000
20/09/2017;117.55;121.48;114.45;117.25;8498270;792175000
