Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;0.143670;0.146424;0.128626;0.137132;9361370;373886000
21/11/2017;0.126044;0.150972;0.117517;0.143889;27800500;328009000
20/11/2017;0.102900;0.127827;0.102009;0.126175;12133200;267774000
19/11/2017;0.100716;0.103897;0.098919;0.102424;5358270;262084000
18/11/2017;0.092262;0.103915;0.092239;0.100355;7497610;240080000
17/11/2017;0.083911;0.096564;0.079235;0.092466;6980480;218345000
16/11/2017;0.089733;0.091939;0.083372;0.083372;4489410;233490000
15/11/2017;0.084215;0.090707;0.084215;0.089525;4363190;219126000
14/11/2017;0.081412;0.085834;0.080386;0.083756;2484090;211829000
13/11/2017;0.079650;0.086169;0.076766;0.081149;4985650;207241000
12/11/2017;0.082207;0.083264;0.072729;0.079113;5209650;213887000
11/11/2017;0.074467;0.087880;0.074467;0.082099;7338960;193747000
10/11/2017;0.081859;0.082040;0.070996;0.074902;4315850;212973000
09/11/2017;0.067857;0.083363;0.067699;0.082825;6045660;176540000
08/11/2017;0.064952;0.070106;0.062525;0.067927;5731830;168980000
07/11/2017;0.059660;0.066134;0.059233;0.065026;2537470;155208000
06/11/2017;0.059221;0.060554;0.057095;0.059709;2471030;154063000
05/11/2017;0.059183;0.061036;0.057901;0.059444;2412940;153962000
04/11/2017;0.056680;0.060358;0.053824;0.059235;3531950;147448000
03/11/2017;0.057525;0.059322;0.052161;0.056713;4045720;149642000
02/11/2017;0.063584;0.064167;0.054328;0.057189;8547670;165401000
01/11/2017;0.074201;0.074857;0.063465;0.063820;7607650;193013000
31/10/2017;0.056716;0.079228;0.056026;0.073222;7501160;147529000
30/10/2017;0.054848;0.057696;0.054714;0.056903;1637550;142668000
29/10/2017;0.052020;0.055904;0.051666;0.054771;2438550;135309000
28/10/2017;0.053070;0.053700;0.051422;0.051667;1419660;138039000
27/10/2017;0.052322;0.054169;0.051481;0.052926;1925930;136089000
26/10/2017;0.052486;0.053698;0.051257;0.052257;1518030;136515000
25/10/2017;0.053255;0.053940;0.050027;0.052290;2169220;138510000
24/10/2017;0.049490;0.055471;0.049339;0.053069;3605990;128719000
23/10/2017;0.052418;0.052679;0.049198;0.049859;2640720;136333000
22/10/2017;0.054282;0.054756;0.050423;0.052607;2043700;141178000
21/10/2017;0.049909;0.055224;0.048904;0.054017;3276450;129802000
20/10/2017;0.052326;0.052938;0.048214;0.049977;3600350;136087000
19/10/2017;0.056345;0.056345;0.051545;0.052308;2530390;146537000
18/10/2017;0.055196;0.057647;0.049644;0.056197;4866460;143546000
17/10/2017;0.055940;0.063722;0.054212;0.055195;5001530;145480000
16/10/2017;0.050543;0.069259;0.049460;0.056209;14228700;131441000
15/10/2017;0.050936;0.052812;0.049676;0.050607;2590960;132459000
14/10/2017;0.053837;0.054447;0.050075;0.051105;3126770;140000000
13/10/2017;0.049521;0.054990;0.046058;0.053578;6688750;128776000
12/10/2017;0.049085;0.051315;0.048029;0.049118;5559870;127639000
11/10/2017;0.048050;0.051951;0.047272;0.049041;3530610;124944000
10/10/2017;0.043839;0.048696;0.043335;0.048051;4656710;113992000
09/10/2017;0.053704;0.054605;0.043133;0.043890;10708300;139642000
08/10/2017;0.057513;0.058681;0.052464;0.053516;4696640;149546000
07/10/2017;0.060209;0.061023;0.055189;0.057954;5734920;156553000
06/10/2017;0.058670;0.061745;0.057728;0.060176;6227090;152546000
05/10/2017;0.053377;0.060076;0.050107;0.059119;10133600;138784000
04/10/2017;0.062151;0.063449;0.052798;0.053455;13263100;161596000
03/10/2017;0.078030;0.078030;0.059682;0.061949;28772800;202877000
02/10/2017;0.081802;0.085434;0.077330;0.078187;8370540;212681000
01/10/2017;0.085443;0.086477;0.080831;0.081689;5604440;222142000
30/09/2017;0.082414;0.086796;0.081820;0.085699;6746380;214268000
