Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;227.72;308.46;222.36;252.55;1362340;146931000
21/11/2017;235.88;241.63;218.75;227.17;251215;152193000
20/11/2017;249.38;254.33;236.10;236.10;335089;160904000
19/11/2017;234.37;255.12;230.88;249.50;847824;151222000
18/11/2017;233.88;237.68;223.73;234.81;603873;150901000
17/11/2017;218.85;265.67;212.04;234.75;834799;141208000
16/11/2017;239.03;239.38;211.52;216.69;381259;154230000
15/11/2017;239.64;259.02;225.97;237.26;443432;154619000
14/11/2017;215.74;259.79;214.15;239.22;1410960;139202000
13/11/2017;166.13;229.09;163.12;206.90;1410950;107193000
12/11/2017;159.16;166.77;141.20;164.51;312333;102690000
11/11/2017;174.91;183.31;154.74;159.30;200274;112856000
10/11/2017;196.14;201.78;166.55;175.53;383198;126551000
09/11/2017;176.95;201.02;175.73;192.04;472505;114173000
08/11/2017;177.81;192.25;172.04;177.13;563353;114727000
07/11/2017;155.40;178.37;153.09;178.37;506042;100267000
06/11/2017;159.38;177.53;149.65;155.32;605629;102836000
05/11/2017;191.03;191.43;152.10;158.98;1218760;123259000
04/11/2017;225.63;230.90;188.54;188.83;959767;131747000
03/11/2017;216.65;238.94;210.91;226.22;701026;126501000
02/11/2017;224.04;229.62;205.48;216.93;982322;130817000
01/11/2017;218.02;224.70;207.75;223.79;578657;127299000
31/10/2017;220.60;226.62;204.47;218.18;1042310;128810000
30/10/2017;215.42;234.86;212.26;214.21;260345;125783000
29/10/2017;191.53;232.23;191.49;213.73;581938;111835000
28/10/2017;203.83;214.69;191.79;191.79;204235;119017000
27/10/2017;194.94;219.15;190.95;203.28;716757;113822000
26/10/2017;203.57;218.20;186.35;191.43;231143;118865000
25/10/2017;181.32;210.74;175.05;203.60;225217;105873000
24/10/2017;175.29;189.94;164.01;181.24;385141;102353000
23/10/2017;189.32;196.81;169.20;173.85;197795;110545000
22/10/2017;189.37;208.71;179.59;189.63;190326;110570000
21/10/2017;200.65;200.94;182.15;189.31;134509;117160000
20/10/2017;212.56;216.35;191.27;201.07;435968;124111000
19/10/2017;186.53;214.21;182.50;212.35;416364;108911000
18/10/2017;178.10;202.00;163.83;190.18;332471;103992000
17/10/2017;175.34;183.49;164.45;178.09;192430;102381000
16/10/2017;177.06;185.65;165.10;175.31;190579;103382000
15/10/2017;185.50;193.09;167.08;173.65;322496;108313000
14/10/2017;174.41;191.52;169.34;186.77;104766;101839000
13/10/2017;168.25;197.37;157.03;175.30;404119;98239300
12/10/2017;172.11;198.10;162.67;167.73;597753;100494000
11/10/2017;163.87;190.58;159.24;170.23;237196;95681200
10/10/2017;149.29;174.00;144.49;163.89;622830;87171000
09/10/2017;156.41;162.10;144.38;149.30;614164;91327100
08/10/2017;179.86;183.81;148.55;154.28;1275700;105019000
