Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;0.001307;0.001566;0.001290;0.001558;3162120;239538000
21/11/2017;0.001284;0.001352;0.001215;0.001302;3175750;235267000
20/11/2017;0.001292;0.001320;0.001263;0.001281;2335090;236706000
19/11/2017;0.001269;0.001360;0.001209;0.001293;3369440;232560000
18/11/2017;0.001200;0.001304;0.001161;0.001261;2415260;219900000
17/11/2017;0.001254;0.001254;0.001173;0.001202;1168260;229829000
16/11/2017;0.001230;0.001281;0.001184;0.001249;2644400;225422000
15/11/2017;0.001125;0.001239;0.001125;0.001230;2598540;206157000
14/11/2017;0.001141;0.001173;0.001083;0.001128;2745920;209046000
13/11/2017;0.001041;0.001200;0.001035;0.001152;2409110;190750000
12/11/2017;0.001201;0.001207;0.000996;0.001036;2558020;220069000
11/11/2017;0.001233;0.001296;0.001155;0.001201;2913560;225888000
10/11/2017;0.001357;0.001437;0.001219;0.001237;2219310;248656000
09/11/2017;0.001267;0.001460;0.001214;0.001358;4402130;232161000
08/11/2017;0.001288;0.001320;0.001221;0.001268;1894370;235952000
07/11/2017;0.001197;0.001292;0.001193;0.001292;2303500;219362000
06/11/2017;0.001258;0.001309;0.001192;0.001192;2363100;230547000
05/11/2017;0.001250;0.001301;0.001231;0.001247;2079500;229106000
04/11/2017;0.001233;0.001299;0.001170;0.001254;3050140;226017000
03/11/2017;0.001228;0.001333;0.001147;0.001225;3012930;225068000
02/11/2017;0.001413;0.001482;0.001210;0.001225;4204140;259018000
01/11/2017;0.001409;0.001519;0.001387;0.001411;2406700;258212000
31/10/2017;0.001368;0.001417;0.001349;0.001410;1148530;250673000
30/10/2017;0.001431;0.001464;0.001352;0.001372;2209860;262221000
29/10/2017;0.001317;0.001478;0.001296;0.001432;7363370;241430000
28/10/2017;0.001340;0.001379;0.001297;0.001322;1952020;245613000
27/10/2017;0.001339;0.001414;0.001319;0.001334;2847630;245409000
26/10/2017;0.001401;0.001448;0.001324;0.001342;2137650;256820000
25/10/2017;0.001384;0.001412;0.001311;0.001396;2688860;253574000
