Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;34.11;40.74;33.49;40.42;2837990;211720000
21/11/2017;33.67;35.06;32.06;34.14;1105250;208798000
20/11/2017;35.04;35.30;33.37;34.04;1003650;217053000
19/11/2017;35.54;36.20;33.60;35.06;1314670;219909000
18/11/2017;32.05;35.59;31.45;34.82;889428;198149000
17/11/2017;32.56;34.85;31.98;32.04;774417;201045000
16/11/2017;34.37;34.57;32.33;32.64;930075;211980000
15/11/2017;34.24;35.73;33.05;34.35;1392810;210956000
14/11/2017;31.89;34.32;31.51;34.32;598313;196289000
13/11/2017;29.52;33.66;29.26;31.79;1190620;181499000
12/11/2017;30.48;31.43;26.59;29.42;1481680;187209000
11/11/2017;30.17;31.38;28.49;30.71;1123000;185105000
10/11/2017;33.21;34.49;29.52;30.27;1915030;203552000
09/11/2017;31.54;33.67;29.76;33.06;1319970;193102000
08/11/2017;29.26;32.46;28.22;31.58;1376420;178933000
07/11/2017;28.77;29.81;27.71;29.33;719772;175780000
06/11/2017;28.70;30.13;27.42;28.80;765875;175152000
05/11/2017;29.17;30.57;27.34;29.04;663890;177812000
04/11/2017;27.65;31.12;27.28;28.93;1261680;168366000
03/11/2017;24.77;28.22;24.40;27.61;868381;150680000
02/11/2017;26.97;27.21;24.04;24.81;1047120;163871000
01/11/2017;28.53;28.53;26.35;26.89;674856;173173000
31/10/2017;30.16;30.22;27.06;28.40;827355;182804000
30/10/2017;29.23;30.46;28.13;30.25;725660;177022000
29/10/2017;30.60;33.72;29.31;29.35;1562360;185115000
28/10/2017;29.70;32.16;29.41;30.96;874341;179462000
27/10/2017;30.17;32.18;29.04;29.72;731325;182148000
26/10/2017;34.68;35.19;28.97;30.22;1918150;209077000
25/10/2017;27.50;36.86;26.80;35.00;2207130;165660000
24/10/2017;23.48;28.54;22.84;27.59;1110740;141305000
23/10/2017;26.26;26.33;23.18;23.48;599996;157850000
22/10/2017;24.84;26.28;23.60;26.10;399806;149159000
21/10/2017;24.67;26.95;23.04;24.79;813369;147917000
20/10/2017;27.37;29.11;24.73;24.82;717252;163937000
19/10/2017;27.41;27.62;26.55;26.97;296157;164046000
18/10/2017;28.74;28.81;25.52;27.40;515494;171811000
17/10/2017;27.23;29.58;26.31;28.85;582969;162532000
16/10/2017;27.73;28.23;26.30;27.23;509012;165330000
15/10/2017;28.27;29.19;26.10;27.75;430738;168369000
14/10/2017;27.60;29.45;27.26;28.15;530962;164193000
13/10/2017;28.74;29.10;25.99;27.59;820954;170806000
12/10/2017;27.71;28.91;27.00;28.86;814095;164484000
11/10/2017;27.83;28.90;27.03;27.84;530678;164998000
10/10/2017;26.46;29.49;25.16;27.84;855310;156740000
09/10/2017;27.40;28.99;24.69;26.59;1145220;162116000
08/10/2017;29.81;30.09;26.80;27.22;890223;176166000
07/10/2017;30.68;31.41;29.09;29.88;450194;181077000
06/10/2017;30.34;30.73;29.37;30.51;579396;178854000
05/10/2017;30.84;32.26;29.50;30.34;535107;181640000
04/10/2017;31.58;33.53;30.33;30.78;583156;185787000
03/10/2017;34.11;34.11;30.36;31.66;756207;200443000
02/10/2017;33.10;36.41;32.20;34.21;1346750;194309000
01/10/2017;34.49;34.69;32.45;33.10;769357;202154000
30/09/2017;34.20;35.48;33.35;34.58;577705;200263000
29/09/2017;34.65;34.88;32.87;34.14;636638;202656000
28/09/2017;36.20;36.38;33.54;34.66;1082720;211480000
27/09/2017;33.74;37.38;33.37;36.10;1591530;196921000
26/09/2017;34.96;35.27;33.46;33.46;955503;203777000
25/09/2017;33.76;35.72;33.22;34.96;1251560;196539000
24/09/2017;37.23;37.69;33.36;33.72;1230700;216445000
23/09/2017;30.79;38.15;30.79;37.54;1658140;178795000
22/09/2017;31.93;35.60;31.13;31.13;1478070;185250000
21/09/2017;36.00;38.34;31.60;31.98;3104750;208604000
20/09/2017;32.41;40.08;32.16;36.07;5887380;187570000
19/09/2017;31.01;33.95;29.34;32.40;1782770;179257000
18/09/2017;29.49;32.47;29.49;30.94;1157730;170259000
17/09/2017;30.89;31.39;28.63;29.79;706172;178125000
16/09/2017;29.58;33.39;28.77;30.89;1029260;170410000
15/09/2017;24.10;31.19;21.85;29.70;2353720;138667000
14/09/2017;26.22;27.27;22.12;23.83;1921540;150699000
13/09/2017;27.51;29.23;24.53;26.73;1649640;157889000
12/09/2017;28.93;30.61;26.50;27.73;847669;165834000
11/09/2017;28.66;30.03;27.28;29.01;998634;164109000
10/09/2017;30.72;31.27;27.29;28.69;906475;175700000
09/09/2017;31.54;31.89;29.39;30.40;788176;180165000
08/09/2017;33.90;36.59;29.84;31.53;1296220;193444000
07/09/2017;34.51;34.91;32.86;33.93;726765;196639000
06/09/2017;33.79;35.44;32.56;34.74;918098;192361000
05/09/2017;32.24;34.56;28.93;34.08;1176300;183293000
04/09/2017;36.44;36.86;29.60;32.27;1541850;206928000
03/09/2017;36.29;39.31;34.83;36.64;646132;205793000
02/09/2017;41.05;42.35;34.65;36.33;1128560;232566000
01/09/2017;38.10;41.74;36.86;41.35;1876320;215536000
31/08/2017;38.32;38.94;36.14;38.09;1380050;216516000
30/08/2017;35.37;39.68;35.01;38.40;1773310;199655000
29/08/2017;39.59;39.93;35.23;35.39;2636660;223165000
28/08/2017;40.70;42.18;37.66;39.82;2252980;229128000
27/08/2017;38.39;43.28;35.97;41.21;3136050;215803000
26/08/2017;34.64;42.07;33.12;38.53;4209060;194536000
25/08/2017;31.09;34.54;29.91;34.53;1982100;174411000
24/08/2017;26.41;31.88;26.32;31.16;2852650;147963000
23/08/2017;25.97;27.99;25.07;26.32;876055;145282000
22/08/2017;27.40;27.73;24.41;25.96;1131900;153117000
21/08/2017;26.27;28.06;25.12;27.41;934142;146632000
20/08/2017;27.14;27.29;24.76;26.28;976831;151313000
19/08/2017;23.74;27.92;22.27;27.92;1297340;132181000
18v08/2017;24.39;26.72;23.31;23.88;794764;135614000
17/08/2017;26.20;27.56;23.81;24.47;975883;145531000
16/08/2017;30.05;30.21;24.51;26.27;1203980;166699000
15/08/2017;23.33;31.02;22.66;30.02;1976850;129238000
14/08/2017;25.37;26.56;21.48;23.32;1706170;140380000
13/08/2017;26.37;27.72;22.95;25.59;1232020;145710000
12/08/2017;26.74;29.15;25.05;26.59;1688200;147601000
11/08/2017;28.20;29.00;26.18;26.74;1910380;155440000
10/08/2017;29.47;30.50;28.20;28.20;862145;162243000
09/08/2017;31.73;32.33;28.26;29.47;1420520;174444000
08/08/2017;30.67;32.43;29.31;31.68;978874;168415000
07/08/2017;30.51;31.24;28.72;30.51;958877;167328000
06/08/2017;30.37;31.35;30.10;30.58;659951;166393000
05/08/2017;28.31;31.49;28.29;30.49;959859;154871000
04/08/2017;28.69;29.68;28.32;28.32;545456;156776000
03/08/2017;29.18;29.57;28.15;28.58;626260;159211000
02/08/2017;29.26;31.12;28.70;29.29;692111;159476000
01/08/2017;28.98;31.45;26.67;29.35;1189560;157743000
31/07/2017;26.29;29.84;25.26;28.73;1306050;142923000
30/07/2017;30.33;31.49;26.27;26.30;1908450;164663000
29/07/2017;23.18;30.65;22.59;30.02;2558920;125663000
28/07/2017;25.25;25.89;21.72;23.20;1466680;136730000
27/07/2017;25.89;25.97;24.49;25.17;444541;140044000
26/07/2017;25.76;26.57;23.45;25.82;519526;139150000
25/07/2017;28.27;29.64;23.59;25.90;1679880;152478000
24/07/2017;28.14;29.23;27.11;28.41;853258;151585000
23/07/2017;30.11;30.69;25.74;28.48;828897;161983000
22/07/2017;26.78;30.28;26.60;30.02;1070060;143869000
21/07/2017;26.78;28.92;25.86;26.87;720384;143707000
20/07/2017;23.06;27.91;23.06;26.85;1274350;123563000
19/07/2017;24.91;25.92;22.96;23.30;813883;133317000
18/07/2017;24.62;26.30;22.77;24.72;1384330;131571000
17/07/2017;18.80;24.66;18.80;24.42;1098540;100370000
16/07/2017;19.92;21.05;17.51;19.13;884628;106193000
15/07/2017;22.37;22.84;19.04;20.21;788266;119067000
14/07/2017;25.61;25.67;21.18;22.55;1280400;136178000
13/07/2017;28.26;28.71;25.13;25.67;806704;150033000
12/07/2017;25.44;28.49;23.02;28.19;1542700;134895000
11/07/2017;24.57;31.31;24.57;25.44;2338340;130152000
10/07/2017;33.22;33.95;24.00;24.58;2196480;175724000
09/07/2017;36.57;36.96;32.73;33.11;2005270;193186000
08/07/2017;29.81;37.63;29.48;36.88;2927310;157260000
07/07/2017;35.19;36.99;29.62;29.89;1441280;185385000
06/07/2017;37.27;37.27;34.90;35.16;905811;196079000
05/07/2017;36.32;39.35;34.00;37.33;3216940;190855000
04/07/2017;31.81;36.89;31.81;36.26;1909980;166912000
03/07/2017;29.73;32.63;28.73;31.86;1183960;155746000
02/07/2017;29.34;30.70;27.48;29.80;1261070;153510000
01/07/2017;32.35;34.87;27.63;29.21;2355220;169093000
30/06/2017;34.27;34.52;31.69;32.26;1922690;178839000
29/06/2017;36.02;37.10;33.06;34.20;1066580;187711000
28/06/2017;36.62;37.37;34.23;36.09;1453690;190554000
27/06/2017;35.26;36.26;29.13;36.26;2134180;183242000
26/06/2017;38.66;40.86;29.57;35.26;3233030;200625000
25/06/2017;43.14;43.44;35.90;38.81;2068440;223596000
24/06/2017;46.17;48.53;41.35;43.29;2074380;238976000
23/06/2017;42.82;47.34;42.44;45.55;3936480;221303000
22/06/2017;36.87;44.80;36.74;43.12;5629680;190323000
21/06/2017;35.68;38.74;34.61;37.04;2080240;183928000
20/06/2017;40.18;40.61;34.39;35.71;3106890;206818000
19/06/2017;42.08;42.08;38.76;40.05;5853420;216323000
18/06/2017;32.03;45.72;31.79;41.95;11185200;164444000
17/06/2017;32.51;32.51;30.88;31.83;1336480;166673000
16/06/2017;30.16;32.95;28.52;32.57;1267190;154382000
15/06/2017;31.06;31.71;25.57;30.18;1402140;158782000
14/06/2017;36.74;37.57;30.21;31.22;1413710;187546000
13/06/2017;33.42;37.54;33.04;36.87;2086310;170407000
12/06/2017;40.86;43.04;32.07;33.73;3761090;208041000
11/06/2017;41.05;43.99;36.87;41.05;5497050;208689000
10/06/2017;42.44;45.04;37.41;41.08;5631520;215444000
09/06/2017;34.61;42.12;34.15;42.12;4390150;175431000
08/06/2017;32.77;35.74;31.86;34.66;2388670;165901000
07/06/2017;34.61;38.93;32.22;32.62;3270310;174967000
06/06/2017;35.03;36.29;30.97;34.58;2657680;176868000
05/06/2017;32.14;35.39;30.22;35.05;2868100;162002000
04/06/2017;35.26;35.30;28.87;32.10;3468980;177458000
03/06/2017;30.69;37.90;29.44;35.21;6865010;154295000
02/06/2017;25.00;31.29;24.79;30.70;3739400;125482000
01/06/2017;21.98;26.38;21.71;24.95;2886770;110146000
31/05/2017;20.38;22.45;19.98;21.80;995100;101976000
30/05/2017;20.86;22.95;19.97;20.30;1323570;104238000
29/05/2017;20.01;21.31;19.38;20.83;781367;99860900
28/05/2017;19.02;21.95;18.90;20.04;963530;94770500
27/05/2017;21.47;21.83;16.61;18.90;1063380;106838000
26/05/2017;21.90;26.09;19.44;21.40;1221450;108815000
25/05/2017;24.04;27.19;21.35;21.92;1814930;119296000
24/05/2017;22.58;27.92;22.58;24.37;3857870;111877000
23/05/2017;19.90;22.85;19.90;22.31;1827550;98437000
22/05/2017;20.40;21.45;18.24;20.05;2165250;100785000
21/05/2017;20.22;21.37;20.12;20.33;1269580;99768100
20/05/2017;19.80;21.55;19.62;20.25;1158210;97566500
19/05/2017;20.95;21.10;18.73;20.01;1416190;103110000
18/05/2017;21.42;23.21;17.74;21.10;3308570;105225000
17/05/2017;15.34;27.49;14.54;21.14;7469700;75257100
16/05/2017;15.58;15.76;14.27;15.27;1115020;76315800
15/05/2017;17.13;17.42;15.09;15.55;1317300;83805300
14/05/2017;18.86;18.86;17.10;17.16;1453890;92138000
13/05/2017;15.22;20.19;14.94;18.79;2811300;74203300
12/05/2017;15.25;16.32;14.87;15.25;709425;74261500
11/05/2017;16.54;16.54;15.13;15.34;831284;80420700
10/05/2017;15.65;16.60;15.10;16.53;988746;75973900
09/05/2017;17.23;17.81;14.56;15.47;1562010;83549800
08/05/2017;17.24;19.20;16.23;17.23;2088860;83456300
07/05/2017;17.03;19.29;16.47;17.05;2927270;82327700
06/05/2017;15.95;17.02;15.76;17.02;1476430;76993500
05/05/2017;15.33;17.25;15.08;15.95;1630340;73881300
04/05/2017;14.39;15.67;14.36;15.25;1313140;69259600
03/05/2017;13.77;15.29;13.69;14.37;1610890;66135900
02/05/2017;14.94;15.98;13.16;13.80;1660500;71644400
01/05/2017;15.78;16.04;13.89;15.16;1895940;75566600
30/04/2017;15.66;16.64;14.95;15.85;1326060;74906700
29/04/2017;15.33;15.93;14.47;15.65;960592;73202100
28/04/2017;14.55;16.04;13.53;15.28;1756280;69382900
27/04/2017;16.29;16.54;14.30;14.55;1658670;77547500
26/04/2017;14.91;17.40;14.91;16.47;1997200;70895400
25/04/2017;16.44;17.94;15.03;15.21;2007810;77983700
24/04/2017;16.59;18.34;16.42;16.57;2835990;78587300
23/04/2017;14.77;16.93;14.23;16.52;2618160;69918500
22/04/2017;14.89;15.07;13.66;14.77;1183560;70369300
21/04/2017;14.21;14.85;13.18;14.85;803308;67042300
20/04/2017;13.43;15.15;12.45;14.22;1689860;63237700
19/04/2017;12.12;15.76;12.00;13.43;3399220;57014000
18/04/2017;12.08;12.33;11.86;12.13;684640;56726800
17/04/2017;12.17;12.50;11.66;12.03;851312;57037200
16/04/2017;12.16;12.72;11.53;12.18;635036;56916900
15/04/2017;11.04;12.84;10.97;12.16;705586;51613100
14/04/2017;11.11;11.46;10.82;11.05;449000;51830200
13/04/2017;11.53;11.80;10.75;10.99;698967;53712000
12/04/2017;11.40;11.58;10.70;11.51;664216;53028900
11/04/2017;11.56;12.28;11.10;11.40;832124;53672100
10/04/2017;11.98;13.48;11.38;11.52;1106340;55567300
09/04/2017;11.28;13.61;10.50;11.99;2464150;52201500
08/04/2017;8.87;12.30;8.70;11.18;2052440;40994700
07/04/2017;9.74;9.74;8.68;8.86;664892;44938800
06/04/2017;10.30;10.54;9.34;9.69;801588;47454900
05/04/2017;10.00;10.66;8.70;10.31;1240980;46009800
