Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;72.22;76.49;72.22;76.37;304163;144432000
21/11/2017;72.10;73.17;68.45;72.05;249355;144196000
20/11/2017;70.81;72.68;70.12;71.98;224860;141611000
19/11/2017;70.26;71.65;68.55;70.88;282085;140519000
18/11/2017;76.86;76.86;64.89;70.48;663901;153722000
17/11/2017;78.39;79.56;76.52;77.06;184757;156782000
16/11/2017;76.39;79.39;75.26;78.48;201207;152776000
15/11/2017;75.47;79.81;75.47;76.34;206867;150942000
14/11/2017;70.31;76.03;70.31;75.24;295291;140612000
13/11/2017;59.78;70.80;59.78;70.20;225064;119557000
12/11/2017;61.47;63.74;57.49;59.70;173134;122949000
11/11/2017;60.39;62.28;57.61;61.53;272556;120782000
10/11/2017;65.89;67.80;56.84;60.56;205724;131786000
09/11/2017;66.50;68.83;60.21;65.79;367306;132992000
08/11/2017;64.44;67.20;64.19;66.56;171540;128886000
07/11/2017;62.74;65.35;62.49;64.57;84076;125488000
06/11/2017;64.74;64.74;61.71;62.78;145552;129476000
05/11/2017;68.90;69.33;64.30;64.71;125726;137808000
04/11/2017;69.01;70.61;67.16;68.94;132340;138029000
03/11/2017;61.19;75.53;60.96;69.14;496137;122383000
02/11/2017;58.17;70.33;53.78;61.16;300558;116333000
01/11/2017;63.63;63.63;57.37;58.11;145565;127267000
31/10/2017;61.22;64.10;61.11;63.69;135088;122442000
30/10/2017;62.18;63.39;59.22;61.32;246921;124351000
29/10/2017;59.38;63.46;59.15;62.39;143368;118768000
28/10/2017;59.53;59.96;58.54;59.35;94438;119069000
27/10/2017;60.00;60.48;58.52;59.45;104293;120003000
26/10/2017;63.68;63.82;58.82;60.00;153400;127356000
25/10/2017;59.87;64.07;58.63;63.72;124232;119746000
24/10/2017;58.82;62.61;57.37;59.85;156284;117644000
23/10/2017;62.20;62.39;57.79;58.84;150503;124409000
22/10/2017;62.93;64.12;61.94;62.25;121451;125853000
21/10/2017;64.52;65.47;62.99;62.99;162315;129045000
20/10/2017;64.56;67.23;62.74;64.55;138370;129112000
19/10/2017;70.42;72.54;62.63;64.58;176507;140835000
18/10/2017;70.42;70.88;65.43;70.52;129172;140850000
17/10/2017;71.13;72.29;68.70;70.45;136250;142260000
16/10/2017;66.00;74.22;63.53;71.09;391412;132005000
15/10/2017;71.37;71.39;65.31;65.56;183355;142732000
14/10/2017;73.83;75.80;70.32;71.42;144168;147653000
13/10/2017;67.79;74.40;60.11;74.40;294264;135572000
12/10/2017;73.47;75.29;66.45;67.55;261324;146938000
11/10/2017;66.80;76.44;66.80;73.42;237086;133607000
10/10/2017;70.73;71.52;65.98;66.80;222425;141464000
09/10/2017;73.55;75.34;70.10;70.71;243862;147103000
08/10/2017;77.48;79.30;72.65;73.68;179966;154953000
07/10/2017;71.27;78.46;71.16;77.61;187754;142543000
06/10/2017;68.85;71.16;68.48;71.16;142300;137703000
05/10/2017;69.25;70.01;66.50;68.82;205904;138502000
04/10/2017;72.10;72.27;67.85;69.23;196332;144206000
03/10/2017;76.94;77.31;70.97;71.95;335321;153870000
02/10/2017;79.04;80.29;76.45;76.92;114692;158082000
01/10/2017;79.91;80.16;76.74;79.98;225355;159817000
30/09/2017;78.73;80.22;78.15;79.88;117382;157469000
29/09/2017;78.12;78.93;75.00;78.71;245868;156233000
28/09/2017;75.28;78.68;73.37;78.19;260764;150561000
