Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;0.001401;0.002053;0.001373;0.001823;18841700;156960000
21/11/2017;0.001410;0.001446;0.001302;0.001389;3047660;157975000
20/11/2017;0.001374;0.001428;0.001348;0.001394;2141360;153925000
19/11/2017;0.001355;0.001421;0.001340;0.001376;1431720;151759000
18/11/2017;0.001308;0.001385;0.001254;0.001373;1648260;146452000
17/11/2017;0.001381;0.001394;0.001274;0.001313;2787480;154631000
16/11/2017;0.001348;0.001424;0.001286;0.001390;3423010;150880000
15/11/2017;0.001189;0.001351;0.001179;0.001339;2840180;133091000
14/11/2017;0.001201;0.001239;0.001131;0.001184;2660340;134375000
13/11/2017;0.001046;0.001212;0.001019;0.001211;2481270;117085000
12/11/2017;0.001189;0.001210;0.001002;0.001038;3288960;132978000
11/11/2017;0.001146;0.001257;0.001141;0.001201;2231080;128149000
10/11/2017;0.001421;0.001431;0.001125;0.001163;4246520;158964000
09/11/2017;0.001207;0.001415;0.001181;0.001415;6259550;134938000
08/11/2017;0.001175;0.001260;0.001148;0.001222;3528340;131403000
07/11/2017;0.001157;0.001214;0.001150;0.001177;2251920;129316000
06/11/2017;0.001171;0.001243;0.001145;0.001154;1997300;130955000
05/11/2017;0.001168;0.001236;0.001142;0.001182;1668270;130567000
04/11/2017;0.001143;0.001242;0.001098;0.001189;1986450;127722000
03/11/2017;0.001157;0.001215;0.001107;0.001121;2813240;129294000
02/11/2017;0.001109;0.001185;0.001050;0.001151;5326660;123876000
01/11/2017;0.001143;0.001175;0.001090;0.001138;2821950;127682000
31/10/2017;0.001143;0.001196;0.001106;0.001124;3075460;127721000
30/10/2017;0.001224;0.001228;0.001103;0.001151;2979150;136755000
29/10/2017;0.001037;0.001237;0.000993;0.001173;19651600;115860000
28/10/2017;0.001040;0.001160;0.000992;0.001037;1072410;116187000
27/10/2017;0.001052;0.001087;0.001024;0.001052;1414540;117456000
26/10/2017;0.001055;0.001090;0.001017;0.001051;1559670;117793000
25/10/2017;0.001100;0.001100;0.001009;0.001056;2198320;122793000
24/10/2017;0.001013;0.001139;0.000965;0.001092;5253740;113083000
23/10/2017;0.001022;0.001053;0.000959;0.001016;3524540;114107000
22/10/2017;0.001008;0.001077;0.000976;0.001023;2583310;112508000
21/10/2017;0.001048;0.001068;0.000959;0.001007;3157240;116880000
20/10/2017;0.001071;0.001098;0.001035;0.001050;3244930;119506000
19/10/2017;0.001056;0.001095;0.001045;0.001064;2189610;117821000
18/10/2017;0.001066;0.001079;0.000975;0.001047;2446530;118859000
17/10/2017;0.001161;0.001190;0.001063;0.001067;7260740;129452000
16/10/2017;0.001107;0.001254;0.001056;0.001164;6552920;123410000
15/10/2017;0.001097;0.001165;0.001045;0.001106;2164040;122254000
14/10/2017;0.001047;0.001115;0.001026;0.001110;2216010;116708000
13/10/2017;0.001064;0.001085;0.000976;0.001066;6885520;118637000
12/10/2017;0.001057;0.001096;0.001031;0.001062;3146680;117800000
11/10/2017;0.001035;0.001080;0.000996;0.001046;2390280;115379000
10/10/2017;0.000980;0.001047;0.000952;0.001036;1909730;109239000
09/10/2017;0.001056;0.001066;0.000963;0.000991;3065770;117637000
08/10/2017;0.001072;0.001136;0.001029;0.001056;2242630;119397000
07/10/2017;0.001079;0.001129;0.001021;0.001066;1488520;120176000
06/10/2017;0.001003;0.001085;0.000995;0.001056;1505160;111689000
05/10/2017;0.001016;0.001075;0.000979;0.001001;2656730;113130000
04/10/2017;0.001121;0.001121;0.000938;0.001024;2119210;124803000
03/10/2017;0.001085;0.001115;0.001004;0.001108;2044110;120738000
02/10/2017;0.001075;0.001133;0.001055;0.001085;3145110;119708000
01/10/2017;0.001142;0.001152;0.001050;0.001084;4295630;127055000
30/09/2017;0.001091;0.001169;0.001076;0.001145;4092970;121395000
29/09/2017;0.001105;0.001129;0.001001;0.001082;5674620;123000000
28/09/2017;0.001142;0.001172;0.001077;0.001080;4485170;127078000
27/09/2017;0.001132;0.001190;0.001113;0.001173;5371580;125975000
26/09/2017;0.001141;0.001194;0.001067;0.001151;9374910;126878000
25/09/2017;0.000890;0.001182;0.000889;0.001141;9597030;99009800
24/09/2017;0.000940;0.000983;0.000878;0.000892;4928520;104499000
23/09/2017;0.000771;0.000974;0.000760;0.000954;7670640;85765900
22/09/2017;0.000762;0.000783;0.000712;0.000772;3758470;84749600
21/09/2017;0.000850;0.000864;0.000736;0.000755;3157030;94429700
20/09/2017;0.000881;0.000888;0.000828;0.000862;4641920;97923500
19/09/2017;0.000940;0.000964;0.000852;0.000890;5206600;104410000
18/09/2017;0.000853;0.000960;0.000837;0.000947;7127750;94836200
17/09/2017;0.000867;0.000868;0.000767;0.000853;6776550;96331000
16/09/2017;0.000848;0.000921;0.000774;0.000867;13242000;94157100
15/09/2017;0.000852;0.000950;0.000626;0.000865;21413000;94627800
14/09/2017;0.001384;0.001397;0.000854;0.000854;13435300;153663000
13/09/2017;0.001442;0.001442;0.001333;0.001398;4788820;160088000
12/09/2017;0.001465;0.001578;0.001435;0.001440;8575960;162702000
11/09/2017;0.001397;0.001505;0.001387;0.001463;6644960;155068000
10/09/2017;0.001573;0.001581;0.001254;0.001395;10036300;174632000
09/09/2017;0.001586;0.001645;0.001534;0.001568;6441030;176045000
08/09/2017;0.001930;0.001956;0.001533;0.001596;10583000;214193000
07/09/2017;0.002016;0.002016;0.001920;0.001927;7589980;223683000
06/09/2017;0.001912;0.002042;0.001865;0.002019;11077100;212082000
05/09/2017;0.001800;0.001943;0.001540;0.001908;11565200;199722000
04/09/2017;0.002169;0.002169;0.001721;0.001786;11195900;240619000
03/09/2017;0.002263;0.002326;0.002090;0.002153;8700780;250960000
02/09/2017;0.002557;0.002701;0.002133;0.002226;23789600;283530000
01/09/2017;0.002064;0.002543;0.002049;0.002543;16681400;228828000
31/08/2017;0.002103;0.002150;0.002017;0.002064;12968400;233165000
30/08/2017;0.001862;0.002151;0.001817;0.002105;17500900;206446000
29/08/2017;0.001822;0.001924;0.001795;0.001867;6879110;201934000
28/08/2017;0.001764;0.001825;0.001751;0.001825;3210440;195535000
27/08/2017;0.001779;0.001784;0.001745;0.001759;2241620;197144000
