Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;1.91;1.98;1.79;1.89;44297600;937115000
21/11/2017;2.00;2.11;1.85;1.90;56022900;976585000
20/11/2017;1.89;2.04;1.83;1.99;55477200;917196000
19/11/2017;1.92;2.03;1.77;1.88;55081600;928877000
18/11/2017;1.74;1.98;1.66;1.93;52951400;840206000
17/11/2017;1.66;1.82;1.60;1.75;50782500;797405000
16/11/2017;1.67;1.84;1.57;1.65;64675200;800620000
15/11/2017;1.68;1.74;1.54;1.67;64150700;794660000
14/11/2017;1.18;1.67;1.18;1.67;107326000;555067000
13/11/2017;1.09;1.19;1.08;1.18;20848600;513122000
12/11/2017;1.16;1.18;1.04;1.09;29229800;541171000
11/11/2017;1.03;1.18;1.01;1.16;27539300;478130000
10/11/2017;1.18;1.18;0.994880;1.03;23024200;546866000
09/11/2017;1.13;1.21;1.13;1.18;24725800;521918000
08/11/2017;0.951020;1.18;0.947023;1.13;37971000;436217000
07/11/2017;0.921145;0.987035;0.921145;0.951407;16941200;417944000
06/11/2017;1.07;1.07;0.914666;0.916950;26059800;481154000
05/11/2017;1.11;1.16;0.985319;1.09;32996400;498621000
04/11/2017;1.20;1.29;1.06;1.12;37546000;536628000
03/11/2017;1.12;1.39;1.06;1.21;59247900;496753000
02/11/2017;1.05;1.27;0.924324;1.12;68358600;462451000
01/11/2017;0.785862;1.27;0.758617;1.05;74917400;345787000
31/10/2017;0.712702;0.781782;0.672324;0.781782;16200000;312268000
30/10/2017;0.667644;0.742194;0.646114;0.711433;20481800;291212000
29/10/2017;0.536399;0.680899;0.536399;0.665881;19902600;232441000
28/10/2017;0.522242;0.539194;0.521951;0.536368;5960600;225217000
27/10/2017;0.518989;0.523540;0.502715;0.522118;4730120;223174000
26/10/2017;0.504340;0.529740;0.502833;0.518944;5314240;215751000
25/10/2017;0.514902;0.520106;0.497452;0.504073;5046620;219135000
24/10/2017;0.492790;0.531023;0.482726;0.514935;7089410;208860000
23/10/2017;0.517658;0.518657;0.480196;0.493225;6162350;218357000
22/10/2017;0.526479;0.538859;0.504792;0.517970;5538990;221105000
21/10/2017;0.540259;0.541115;0.512558;0.526792;7066060;226053000
20/10/2017;0.566626;0.579606;0.540684;0.540684;6150650;235831000
19/10/2017;0.545624;0.590050;0.544242;0.566708;8084770;225606000
18/10/2017;0.554269;0.560554;0.514188;0.546006;7320330;228420000
17/10/2017;0.562389;0.564163;0.544123;0.552144;6374050;230284000
16/10/2017;0.571853;0.581349;0.561856;0.561856;6005900;232974000
15/10/2017;0.583440;0.586516;0.563429;0.571914;6573060;236824000
14/10/2017;0.584829;0.618572;0.578119;0.582836;6436220;235451000
13/10/2017;0.591619;0.614803;0.567720;0.583970;8587370;237037000
12/10/2017;0.610294;0.632223;0.584208;0.591723;8681880;243333000
11/10/2017;0.556461;0.626727;0.552679;0.610223;8705650;220811000
10/10/2017;0.557554;0.575712;0.548996;0.555214;7701180;220246000
09/10/2017;0.603543;0.603980;0.547139;0.557142;6657950;237202000
08/10/2017;0.587396;0.605634;0.577351;0.604501;5854700;229724000
07/10/2017;0.599816;0.604416;0.572312;0.588553;6250760;233480000
06/10/2017;0.606706;0.608968;0.591342;0.599844;6785670;234980000
05/10/2017;0.599336;0.620752;0.575530;0.606157;8038660;230827000
04/10/2017;0.631988;0.634008;0.585308;0.601539;5449300;242210000
03/10/2017;0.652812;0.668738;0.616319;0.631230;7114830;248943000
02/10/2017;0.707986;0.714239;0.636093;0.654973;8299880;268425000
01/10/2017;0.721765;0.725224;0.674128;0.707760;8938190;272363000
30/09/2017;0.718682;0.752134;0.714021;0.721609;10179600;269796000
29/09/2017;0.816964;0.835309;0.704876;0.717272;15499400;305136000
28/09/2017;0.632940;0.816737;0.630716;0.815693;22672400;234912000
27/09/2017;0.560208;0.636917;0.557500;0.633043;11395600;207167000
26/09/2017;0.570981;0.584476;0.552298;0.561128;5789570;209783000
25/09/2017;0.546514;0.574288;0.543055;0.570774;5592430;199970000
24/09/2017;0.580243;0.582995;0.546018;0.546274;7534280;210746000
23/09/2017;0.570790;0.594251;0.560010;0.576697;4809880;206350000
22/09/2017;0.547718;0.579056;0.534403;0.569846;4556540;197242000
21/09/2017;0.615818;0.615818;0.544907;0.546153;6972060;219928000
20/09/2017;0.651858;0.654721;0.612827;0.612827;6087520;231481000
19/09/2017;0.708194;0.708576;0.647600;0.653363;5520750;250257000
18/09/2017;0.650438;0.706701;0.650438;0.704878;9065170;228544000
17/09/2017;0.624291;0.667683;0.577502;0.648592;8685770;218104000
16/09/2017;0.666501;0.685285;0.606857;0.627565;5602950;231741000
15/09/2017;0.603370;0.683713;0.524670;0.664289;13121900;208567000
14/09/2017;0.727394;0.754454;0.573316;0.603217;13131300;249825000
13/09/2017;0.841224;0.841224;0.671642;0.728994;12370500;287468000
12/09/2017;0.730094;0.853169;0.728287;0.836077;15475800;248239000
11/09/2017;0.739553;0.752968;0.715178;0.730869;7763470;250148000
10/09/2017;0.793394;0.811077;0.707969;0.739763;9494440;266891000
09/09/2017;0.833780;0.834185;0.752267;0.791608;10281100;278741000
08/09/2017;0.977746;0.977746;0.771229;0.832764;18650200;325195000
07/09/2017;0.921946;1.00;0.853389;0.977272;22912100;304901000
06/09/2017;0.891735;1.07;0.853005;0.914359;26208300;293040000
05/09/2017;0.848252;0.918675;0.712454;0.883708;30273900;277362000
04/09/2017;1.25;1.25;0.792624;0.850526;43045400;406952000
03/09/2017;1.24;1.29;1.18;1.25;22618600;399540000
02/09/2017;1.30;1.43;1.19;1.23;38741300;417177000
01/09/2017;1.30;1.33;1.26;1.30;25853000;415441000
31/08/2017;1.23;1.33;1.22;1.30;22926100;388849000
30/08/2017;1.31;1.33;1.19;1.23;24068700;411683000
29/08/2017;1.34;1.35;1.31;1.31;18993200;417121000
28/08/2017;1.35;1.36;1.32;1.34;18414400;417816000
27/08/2017;1.36;1.37;1.34;1.35;18124100;418196000
26/08/2017;1.38;1.39;1.35;1.36;16466000;421157000
25/08/2017;1.38;1.43;1.35;1.38;20444500;419363000
24/08/2017;1.41;1.42;1.35;1.38;18034600;426382000
23/08/2017;1.29;1.53;1.28;1.41;36567800;384808000
22/08/2017;1.34;1.34;1.26;1.28;23774300;397993000
21/08/2017;1.37;1.38;1.33;1.34;20152300;404724000
20/08/2017;1.40;1.42;1.36;1.37;15673200;412029000
19/08/2017;1.42;1.44;1.32;1.40;24769900;414746000
18v08/2017;1.54;1.54;1.40;1.42;26841700;445570000
17/08/2017;1.60;1.61;1.52;1.55;25713300;459650000
16/08/2017;1.64;1.64;1.59;1.60;24022000;468739000
15/08/2017;1.66;1.81;1.59;1.65;58304700;469853000
14/08/2017;1.61;1.67;1.54;1.66;39205300;453328000
13/08/2017;1.67;1.68;1.58;1.62;40514200;465780000
12/08/2017;1.79;1.82;1.66;1.67;38131800;495957000
11/08/2017;1.83;1.87;1.77;1.79;49178400;504138000
10/08/2017;1.83;1.89;1.83;1.83;43519300;501169000
09/08/2017;1.88;1.95;1.81;1.83;36813700;510157000
08/08/2017;1.81;2.04;1.79;1.88;76270800;487777000
07/08/2017;1.73;1.83;1.71;1.81;46022400;462733000
06/08/2017;1.90;1.90;1.72;1.74;38436700;501778000
05/08/2017;1.80;1.98;1.76;1.91;52324800;471268000
04/08/2017;1.80;1.85;1.80;1.81;34183300;467884000
03/08/2017;1.78;1.81;1.75;1.80;25878000;457634000
02/08/2017;1.78;1.82;1.76;1.78;28880800;455223000
01/08/2017;1.75;1.81;1.68;1.78;39175500;442971000
31/07/2017;1.77;1.79;1.71;1.74;29657700;446574000
30/07/2017;1.83;1.84;1.71;1.78;27580200;455967000
29/07/2017;1.83;1.84;1.66;1.83;44021100;452704000
28/07/2017;1.96;2.01;1.85;1.85;64730400;481392000
27/07/2017;1.75;1.98;1.73;1.95;69371700;425312000
26/07/2017;1.64;1.74;1.47;1.74;48693200;396121000
25/07/2017;1.88;1.89;1.55;1.65;42547000;448823000
24/07/2017;1.88;1.95;1.82;1.87;36585400;445118000
23/07/2017;1.96;2.14;1.74;1.87;60205000;459832000
22/07/2017;1.82;2.00;1.81;1.96;41809000;421938000
21/07/2017;1.76;2.02;1.73;1.82;58164900;404351000
20/07/2017;1.57;1.76;1.57;1.74;45949800;357758000
19/07/2017;1.70;1.79;1.54;1.56;55057600;384563000
