Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;360.31;381.42;360.15;380.65;800819000;34544000000
21/11/2017;367.44;372.47;350.69;360.40;949912000;35220200000
20/11/2017;354.09;372.14;353.29;366.73;807027000;33933400000
19/11/2017;347.40;371.29;344.74;354.39;1181530000;33284900000
18/11/2017;331.98;349.62;327.69;347.61;649639000;31800700000
17/11/2017;330.17;334.96;327.52;332.39;621733000;31620300000
16/11/2017;333.44;336.16;323.61;330.92;797254000;31927300000
15/11/2017;337.96;340.91;329.81;333.36;722666000;32353200000
14/11/2017;316.76;340.18;316.76;337.63;1069680000;30317300000
13/11/2017;307.02;328.42;307.02;316.72;1041890000;29379000000
12/11/2017;314.69;319.15;298.51;307.91;1613480000;30106200000
11/11/2017;298.59;319.45;298.19;314.68;842301000;28559400000
10/11/2017;320.67;324.72;294.54;299.25;885986000;30665200000
09/11/2017;308.64;329.45;307.06;320.88;893250000;29509000000
08/11/2017;294.27;318.70;293.10;309.07;967956000;28128700000
07/11/2017;298.57;304.84;290.77;294.66;540766000;28533300000
06/11/2017;296.43;305.42;293.72;298.89;579359000;28322700000
05/11/2017;300.04;301.37;295.12;296.26;337658000;28661500000
04/11/2017;305.48;305.48;295.80;300.47;416479000;29175300000
03/11/2017;288.50;308.31;287.69;305.71;646340000;27547400000
02/11/2017;290.73;293.91;281.17;287.43;904901000;27754200000
01/11/2017;305.76;306.40;290.58;291.69;553864000;29183600000
31/10/2017;307.38;310.55;305.88;305.88;369583000;29331500000
30/10/2017;304.78;310.50;304.35;307.75;331442000;29077600000
29/10/2017;296.38;313.75;296.38;305.09;551752000;28270200000
28/10/2017;297.92;300.36;293.58;296.30;264424000;28410400000
27/10/2017;296.51;299.26;294.06;297.42;257169000;28270100000
26/10/2017;298.02;301.07;295.22;296.53;270273000;28408400000
25/10/2017;298.44;301.85;290.72;297.93;325040000;28442000000
24/10/2017;287.12;311.96;282.66;298.33;684281000;27357500000
23/10/2017;295.10;295.75;277.57;286.95;482336000;28111400000
22/10/2017;300.55;305.50;292.81;295.45;327387000;28624800000
21/10/2017;303.57;303.93;291.77;300.19;408014000;28906600000
20/10/2017;308.05;311.44;303.49;304.01;396673000;29326300000
19/10/2017;314.54;316.71;305.83;308.09;349830000;29937900000
18/10/2017;316.94;317.24;290.64;314.32;606114000;30160500000
17/10/2017;333.48;333.48;311.79;317.08;509924000;31727700000
16/10/2017;336.71;349.35;332.04;333.38;692885000;32029200000
15/10/2017;339.53;342.72;320.43;336.60;635407000;32292100000
14/10/2017;338.85;347.98;334.70;339.63;516562000;32222400000
13/10/2017;304.08;348.60;299.66;338.76;1304360000;28911100000
12/10/2017;303.50;309.15;303.29;304.14;527557000;28851200000
11/10/2017;301.18;304.39;299.10;303.46;264146000;28626300000
10/10/2017;297.60;306.15;293.17;299.87;359706000;28281400000
09/10/2017;308.67;309.31;288.19;297.39;559467000;29328300000
08/10/2017;311.06;312.54;308.03;308.61;293167000;29550900000
07/10/2017;308.89;313.13;304.98;311.12;342205000;29340400000
06/10/2017;295.15;308.84;294.95;308.59;318664000;28031100000
05/10/2017;292.77;298.04;288.84;295.86;253747000;27800400000
04/10/2017;292.75;299.39;290.89;292.66;257906000;27794100000
03/10/2017;297.48;300.11;288.13;292.46;321680000;28238500000
02/10/2017;302.48;302.92;294.58;297.48;339443000;28708500000
01/10/2017;301.55;303.19;295.06;302.34;306185000;28615200000
30/09/2017;291.48;303.96;291.11;301.46;332439000;27655200000
29/09/2017;299.12;299.92;279.77;291.47;541375000;28375900000
28/09/2017;306.47;307.20;295.47;299.15;501894000;29068700000
27/09/2017;287.02;308.01;286.82;306.47;550244000;27219400000
26/09/2017;292.35;293.75;287.02;287.44;345801000;27720000000
25/09/2017;282.22;293.51;281.88;292.33;483161000;26755500000
