Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;19.93;23.15;19.75;22.92;7285730;174334000
21/11/2017;19.50;20.95;18.22;19.79;3982040;170572000
20/11/2017;18.81;19.78;18.43;19.39;3939130;164502000
19/11/2017;18.56;19.92;18.53;18.88;3214330;162287000
18/11/2017;18.47;19.37;17.91;18.55;3659840;161516000
17/11/2017;18.78;19.21;17.35;18.38;6094750;164263000
16/11/2017;19.34;21.60;18.66;19.05;10068500;169157000
15/11/2017;17.91;21.46;17.10;19.37;7185410;156634000
14/11/2017;16.88;18.20;16.86;17.86;2772270;147603000
13/11/2017;16.24;18.30;16.18;16.81;4780390;142029000
12/11/2017;20.30;21.08;15.70;16.18;6862910;177486000
11/11/2017;17.50;19.98;17.19;19.98;5825590;153055000
10/11/2017;21.45;22.56;16.53;17.54;9689210;187610000
09/11/2017;17.00;22.93;16.86;21.28;9168790;148644000
08/11/2017;16.52;17.85;15.24;16.99;5323950;144464000
07/11/2017;15.95;16.92;15.07;16.54;5096930;139441000
06/11/2017;14.42;16.30;13.93;16.09;5425720;126073000
05/11/2017;14.26;14.56;13.58;14.31;4823260;124708000
04/11/2017;14.51;14.65;13.32;14.15;5342760;126925000
03/11/2017;11.65;16.33;11.41;14.53;11658900;101848000
02/11/2017;12.54;13.19;11.47;11.63;6274120;109707000
01/11/2017;14.51;14.55;12.42;12.57;4924490;126928000
31/10/2017;15.34;15.55;14.19;14.58;3827220;134134000
30/10/2017;14.61;16.13;14.60;15.30;3978210;127756000
29/10/2017;14.88;15.84;14.61;14.67;3778790;130120000
28/10/2017;15.49;16.00;14.87;14.89;3879950;135503000
27/10/2017;15.08;15.62;14.46;15.48;3593930;131908000
26/10/2017;15.48;15.56;14.69;15.10;2521090;135342000
25/10/2017;16.06;16.17;14.95;15.47;1137840;140434000
24/10/2017;15.01;16.64;14.37;15.94;3946660;131288000
23/10/2017;15.19;15.26;14.33;15.03;1481280;132805000
22/10/2017;15.23;15.69;14.73;15.21;1348230;133157000
21/10/2017;15.31;15.64;14.20;15.22;2034400;133866000
20/10/2017;15.93;16.07;14.98;15.33;2499680;139326000
19/10/2017;16.68;16.75;15.36;15.93;1828120;145837000
18/10/2017;15.86;16.83;15.41;16.70;2206280;138712000
17/10/2017;16.55;16.71;15.74;15.81;1647080;144712000
16/10/2017;17.13;17.46;15.78;16.56;2233920;149802000
15/10/2017;16.48;17.74;15.80;17.09;2751450;144077000
14/10/2017;16.95;16.99;15.87;16.46;1554970;148268000
13/10/2017;16.42;17.07;15.37;16.91;2706360;143576000
12/10/2017;16.69;17.25;15.83;16.37;2457100;145995000
11/10/2017;15.99;17.33;15.81;16.67;1942360;139850000
10/10/2017;15.49;16.18;15.20;15.97;2628550;135435000
09/10/2017;16.59;17.56;15.39;15.44;3143110;145062000
08/10/2017;18.45;18.50;16.30;16.48;2321920;161347000
