Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;21.56;22.22;20.80;21.09;1413810;185339000
21/11/2017;21.60;23.17;20.53;21.60;1708960;185658000
20/11/2017;24.19;25.34;21.55;21.55;2913620;207942000
19/11/2017;27.52;27.98;22.39;24.18;4531360;236566000
18/11/2017;25.38;31.91;22.98;27.55;8129950;218226000
17/11/2017;19.41;26.91;18.07;25.59;3941120;166861000
16/11/2017;22.12;22.12;15.87;19.43;2586450;190150000
15/11/2017;20.21;22.11;18.91;22.07;2944170;173757000
14/11/2017;19.75;20.67;19.55;20.25;593224;169767000
13/11/2017;18.79;20.93;18.46;19.74;782363;161548000
12/11/2017;20.00;20.72;17.20;18.95;938558;171959000
11/11/2017;19.98;22.48;19.54;20.10;1089910;171804000
10/11/2017;23.12;24.14;18.64;19.68;1107640;198735000
09/11/2017;21.81;26.40;20.91;23.03;2447490;187518000
08/11/2017;17.85;25.35;17.68;21.92;1690730;153455000
07/11/2017;17.18;18.22;17.13;18.22;559894;147735000
06/11/2017;16.79;17.88;16.28;17.22;577160;144355000
05/11/2017;17.03;17.49;16.27;16.76;444008;146440000
04/11/2017;17.22;17.77;16.38;17.10;497484;148033000
03/11/2017;15.21;17.95;14.46;17.40;1076790;130789000
02/11/2017;15.36;17.52;13.06;15.23;1254240;132078000
01/11/2017;17.50;17.69;15.52;15.77;968366;150460000
31/10/2017;18.86;19.55;16.38;17.63;870552;162099000
30/10/2017;17.93;19.15;17.65;18.78;775064;154126000
29/10/2017;17.43;20.44;17.16;17.98;5979020;149875000
28/10/2017;19.37;19.66;17.33;17.60;499082;166495000
27/10/2017;18.68;19.37;17.74;19.32;660990;160629000
26/10/2017;19.12;20.24;17.85;18.69;756739;164336000
25/10/2017;20.34;21.17;19.44;19.59;447244;174836000
24/10/2017;19.08;23.19;18.25;20.77;1644220;163999000
23/10/2017;20.80;21.19;17.00;19.20;942203;178828000
22/10/2017;19.06;21.59;19.06;20.83;504257;163831000
21/10/2017;19.65;20.61;18.15;19.05;477061;168964000
20/10/2017;20.16;20.92;19.61;19.69;610262;173286000
19/10/2017;20.78;21.04;19.61;20.15;1139280;178634000
18/10/2017;21.89;22.06;19.84;20.70;763597;188227000
17/10/2017;21.93;23.25;20.60;21.93;1080370;188520000
16/10/2017;22.07;23.11;20.44;21.92;775565;189560000
15/10/2017;22.89;22.93;20.13;22.06;573523;196484000
14/10/2017;24.32;25.25;22.01;22.95;633763;208542000
13/10/2017;20.93;25.65;18.68;24.83;1497290;179379000
12/10/2017;22.93;24.16;20.51;20.78;1283980;196441000
11/10/2017;23.26;25.43;22.49;22.91;868526;199117000
10/10/2017;22.78;23.52;20.59;23.52;1146210;194891000
