Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;0.889204;0.957121;0.854097;0.899570;69568700;2471570000
21/11/2017;0.965610;0.985799;0.776513;0.888499;123514000;2683940000
20/11/2017;0.862672;0.992344;0.858567;0.966548;92042900;2397820000
19/11/2017;0.816643;0.878973;0.808990;0.864638;61681300;2269880000
18/11/2017;0.791203;0.848357;0.752962;0.823032;57802400;2199170000
17/11/2017;0.830897;0.875845;0.731393;0.792462;102001000;2309500000
16/11/2017;0.792688;0.893702;0.713337;0.823941;132320000;2203300000
15/11/2017;0.610165;0.785823;0.610165;0.785823;87041500;1695970000
14/11/2017;0.586061;0.618325;0.538290;0.610332;33932000;1628970000
13/11/2017;0.594010;0.652501;0.573934;0.591634;37718000;1651070000
12/11/2017;0.626080;0.636028;0.508265;0.593716;44517800;1740210000
11/11/2017;0.501986;0.621817;0.497991;0.621817;42375200;1395280000
10/11/2017;0.529091;0.562467;0.459485;0.504601;44756700;1470620000
09/11/2017;0.475964;0.593595;0.467588;0.535435;69996800;1322960000
08/11/2017;0.384301;0.488848;0.381925;0.475925;44738600;1068180000
07/11/2017;0.371509;0.397608;0.362284;0.383096;15415700;1032620000
06/11/2017;0.351011;0.378777;0.338867;0.373939;13258400;975647000
05/11/2017;0.367915;0.370910;0.335194;0.350084;12950500;1022630000
04/11/2017;0.391327;0.391546;0.365428;0.368643;8568260;1087700000
03/11/2017;0.362970;0.396015;0.358817;0.393126;11427900;1008890000
02/11/2017;0.370966;0.380213;0.320862;0.366056;20942000;1031110000
01/11/2017;0.390863;0.390863;0.356690;0.363920;11944600;1086410000
31/10/2017;0.407912;0.408340;0.390312;0.390915;7839910;1133800000
30/10/2017;0.403103;0.415571;0.385603;0.409046;9124580;1120440000
29/10/2017;0.395947;0.413541;0.367674;0.403720;15972200;1100550000
28/10/2017;0.424433;0.428173;0.391215;0.395483;9075000;1179720000
27/10/2017;0.416744;0.439441;0.395594;0.423355;8963410;1158350000
26/10/2017;0.443666;0.455887;0.411928;0.417107;10747100;1233180000
25/10/2017;0.455356;0.473467;0.430005;0.443448;14379600;1265680000
24/10/2017;0.389144;0.502278;0.377494;0.453682;47178400;1081640000
23/10/2017;0.391371;0.399234;0.364940;0.386487;12380800;1087830000
22/10/2017;0.390836;0.411999;0.381438;0.392542;9322400;1086340000
21/10/2017;0.403854;0.406504;0.324360;0.393045;20120500;1122530000
20/10/2017;0.432863;0.435639;0.391630;0.401913;17771900;1203160000
19/10/2017;0.457196;0.465953;0.415102;0.433388;12250600;1270790000
18/10/2017;0.474621;0.482291;0.427958;0.454575;12433700;1319220000
17/10/2017;0.452052;0.504408;0.434911;0.468463;12590200;1256490000
16/10/2017;0.439699;0.459618;0.423750;0.450655;8128940;1222160000
15/10/2017;0.458649;0.460506;0.414704;0.438429;8256490;1274830000
14/10/2017;0.441808;0.482837;0.431503;0.457837;11493700;1228020000
13/10/2017;0.412854;0.445985;0.403912;0.441595;14821100;1147540000
12/10/2017;0.481734;0.486223;0.391482;0.412417;16792100;1338990000
11/10/2017;0.477029;0.488967;0.464757;0.481464;6996130;1325920000
10/10/2017;0.466453;0.488517;0.452723;0.477576;7401800;1296520000
09/10/2017;0.500356;0.501909;0.439523;0.469438;18097100;1390760000
08/10/2017;0.534649;0.538526;0.492876;0.500032;9637830;1486070000
07/10/2017;0.504488;0.548719;0.490615;0.538529;9848850;1402240000
06/10/2017;0.543216;0.562671;0.493282;0.503448;12478500;1509890000
05/10/2017;0.547394;0.567734;0.520702;0.540915;7592760;1521500000
04/10/2017;0.560853;0.570545;0.520099;0.546982;9152780;1558910000
03/10/2017;0.577182;0.582044;0.516038;0.561712;13709400;1604290000
02/10/2017;0.618180;0.622090;0.565055;0.575398;13928300;1718250000
01/10/2017;0.621750;0.628776;0.592742;0.610183;8576220;1728170000
30/09/2017;0.584318;0.646884;0.576150;0.620822;21825700;1624130000
29/09/2017;0.595143;0.609587;0.543016;0.584418;16689800;1654220000
