Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;2.39;2.46;2.36;2.42;3719400;247594000
21/11/2017;2.44;2.48;2.25;2.38;3821790;252438000
20/11/2017;2.34;2.48;2.34;2.43;4108310;236482000
19/11/2017;2.31;2.47;2.27;2.32;2915800;233045000
18/11/2017;2.14;2.39;2.12;2.31;3508410;215781000
17/11/2017;2.31;2.40;2.14;2.14;3190670;233458000
16/11/2017;2.37;2.39;2.23;2.32;2870210;239273000
15/11/2017;2.17;2.40;2.17;2.35;3041060;218654000
14/11/2017;2.05;2.22;2.05;2.16;3198810;207027000
13/11/2017;1.88;2.16;1.87;2.05;2853940;189628000
12/11/2017;2.10;2.11;1.70;1.88;3362020;211971000
11/11/2017;2.22;2.38;2.05;2.11;3293280;223935000
10/11/2017;2.72;2.75;2.10;2.24;8379540;274135000
09/11/2017;2.80;2.86;2.66;2.71;5144550;282424000
08/11/2017;2.77;3.00;2.56;2.83;7758440;279479000
07/11/2017;2.62;2.87;2.59;2.76;5509850;264626000
06/11/2017;2.55;2.89;2.49;2.63;4740310;257400000
05/11/2017;2.36;2.61;2.33;2.52;1485210;238304000
04/11/2017;2.42;2.51;2.34;2.35;1163740;244528000
03/11/2017;2.39;2.48;2.23;2.43;2222540;241060000
02/11/2017;2.09;2.53;1.99;2.40;5039770;210716000
01/11/2017;2.25;2.36;1.98;2.10;2279000;226647000
31/10/2017;2.29;2.55;2.20;2.22;5059160;230681000
30/10/2017;2.14;2.29;2.06;2.29;2261280;215717000
29/10/2017;1.96;2.22;1.93;2.10;3798510;197998000
28/10/2017;1.82;1.97;1.78;1.95;833266;183346000
27/10/2017;1.84;1.93;1.77;1.80;667793;185426000
26/10/2017;1.89;1.96;1.76;1.84;1130570;191042000
25/10/2017;1.84;1.92;1.76;1.90;1167180;185703000
24/10/2017;1.67;1.98;1.60;1.84;3075970;168341000
23/10/2017;1.80;1.81;1.54;1.68;1195310;181469000
22/10/2017;1.67;1.87;1.63;1.79;758588;168553000
21/10/2017;1.72;1.79;1.60;1.67;514479;173479000
20/10/2017;1.95;1.95;1.64;1.72;1778390;196369000
19/10/2017;1.93;2.01;1.79;1.93;1734280;194556000
18/10/2017;1.71;2.04;1.59;1.92;1899950;173077000
17/10/2017;1.70;1.76;1.61;1.72;643584;171333000
16/10/2017;1.78;1.82;1.66;1.70;515463;179703000
15/10/2017;1.74;1.81;1.64;1.76;593901;175483000
14/10/2017;1.81;1.83;1.72;1.72;449532;182377000
13/10/2017;1.80;1.96;1.58;1.80;1615120;181271000
12/10/2017;1.86;1.89;1.77;1.81;1083290;187590000
11/10/2017;1.71;1.92;1.67;1.86;749918;173029000
10/10/2017;1.72;1.81;1.67;1.71;590288;173475000
09/10/2017;1.76;1.90;1.63;1.71;1203940;177911000
08/10/2017;2.00;2.05;1.68;1.75;1088390;201885000
07/10/2017;1.86;2.05;1.81;2.01;848174;188162000
06/10/2017;1.96;2.07;1.85;1.86;781965;197421000
05/10/2017;1.95;1.99;1.82;1.98;683867;196441000
04/10/2017;2.05;2.08;1.90;1.95;861877;207438000
03/10/2017;2.20;2.22;2.03;2.07;1137960;222269000
02/10/2017;2.37;2.47;2.19;2.20;2100340;239714000
01/10/2017;2.24;2.47;2.16;2.38;3814410;225810000
30/09/2017;2.09;2.29;2.04;2.22;1596060;210505000
29/09/2017;2.11;2.15;1.92;2.06;1684480;212613000
28/09/2017;2.07;2.14;1.93;2.11;1992140;209384000
27/09/2017;1.97;2.11;1.94;2.07;1172190;198648000
26/09/2017;2.01;2.03;1.90;1.97;972325;203271000
25/09/2017;1.79;2.01;1.76;2.01;1661140;180379000
24/09/2017;1.89;1.91;1.72;1.78;812091;190393000
23/09/2017;1.63;2.00;1.63;1.88;2614250;164217000
22/09/2017;1.56;1.74;1.53;1.65;719158;156996000
21/09/2017;1.88;1.89;1.55;1.55;933428;190117000
20/09/2017;1.90;1.96;1.79;1.89;1151060;191682000
19/09/2017;2.15;2.15;1.92;1.92;1882770;217212000
18/09/2017;1.87;2.25;1.87;2.16;4038320;188407000
17/09/2017;1.81;1.95;1.62;1.87;1751640;183043000
16/09/2017;1.69;1.85;1.53;1.80;2003530;170757000
15/09/2017;1.46;1.90;1.12;1.69;3618520;147396000
14/09/2017;1.74;2.29;1.45;1.45;7161980;175357000
13/09/2017;1.93;1.94;1.53;1.74;2935870;194644000
12/09/2017;2.05;2.19;1.88;1.94;5253850;207416000
11/09/2017;2.27;2.30;1.93;2.07;7786870;229342000
