Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;1.08;1.13;1.07;1.11;2462030;144697000
21/11/2017;1.10;1.11;1.06;1.08;2273720;146934000
20/11/2017;1.11;1.13;1.09;1.10;2329790;148571000
19/11/2017;1.12;1.16;1.10;1.11;1865000;149694000
18/11/2017;1.07;1.13;1.07;1.13;2322650;143704000
17/11/2017;1.10;1.13;1.06;1.08;2472740;146901000
16/11/2017;1.06;1.10;1.04;1.09;2711870;142054000
15/11/2017;1.10;1.11;1.05;1.05;2040950;146985000
14/11/2017;1.10;1.13;1.07;1.09;2103320;147259000
13/11/2017;1.03;1.16;1.03;1.10;2533900;138259000
12/11/2017;1.15;1.15;1.01;1.03;4044360;154734000
11/11/2017;1.18;1.26;1.14;1.16;3341260;158005000
10/11/2017;1.16;1.28;1.12;1.19;4331320;156232000
09/11/2017;1.08;1.17;1.07;1.16;3713980;145512000
08/11/2017;1.02;1.11;1.01;1.10;3162230;136394000
07/11/2017;0.977155;1.02;0.968491;1.01;1827370;131068000
06/11/2017;0.987037;1.01;0.968645;0.975155;1641020;132394000
05/11/2017;1.05;1.05;0.977584;0.992220;1471530;140524000
04/11/2017;0.991559;1.06;0.968152;1.05;2074870;133000000
03/11/2017;0.954365;1.07;0.943979;0.994894;3303530;128011000
02/11/2017;0.976271;0.976271;0.923113;0.955285;2677130;130950000
01/11/2017;0.949209;1.09;0.935429;0.969523;4692730;127320000
31/10/2017;0.985966;1.01;0.947389;0.952349;1840830;132250000
30/10/2017;0.970894;0.999891;0.963641;0.988590;1764840;130229000
29/10/2017;0.940198;1.01;0.935279;0.974032;1598860;126111000
28/10/2017;1.01;1.02;0.931122;0.938338;1458920;135186000
27/10/2017;1.05;1.06;0.999185;1.01;1480770;140364000
26/10/2017;1.09;1.09;1.03;1.05;1273230;145662000
25/10/2017;1.07;1.09;1.02;1.08;1806630;143240000
24/10/2017;0.958708;1.16;0.928185;1.06;2674010;128594000
23/10/2017;1.03;1.03;0.886744;0.959859;1818730;137817000
22/10/2017;1.04;1.07;1.01;1.03;1008560;138967000
21/10/2017;1.04;1.06;0.993162;1.03;1222700;139223000
20/10/2017;1.10;1.12;1.05;1.05;1750820;147755000
19/10/2017;1.18;1.23;1.09;1.11;1718040;157638000
18/10/2017;1.09;1.19;1.02;1.17;2117500;145975000
17/10/2017;1.12;1.14;1.06;1.09;1584850;155015000
16/10/2017;1.13;1.19;1.10;1.12;1708690;156550000
15/10/2017;1.20;1.23;1.11;1.12;1581870;165467000
14/10/2017;1.13;1.26;1.12;1.19;1665910;156511000
13/10/2017;1.21;1.25;1.11;1.14;3801870;167655000
12/10/2017;1.36;1.38;1.20;1.21;3191600;187762000
11/10/2017;1.41;1.45;1.33;1.35;2490110;194220000
10/10/2017;1.32;1.51;1.28;1.41;3865780;182709000
09/10/2017;1.49;1.60;1.25;1.34;4111030;205720000
08/10/2017;1.74;1.74;1.47;1.49;3154360;239711000
07/10/2017;1.69;1.81;1.68;1.73;3343770;232691000
06/10/2017;1.71;1.71;1.58;1.68;3614010;236075000
05/10/2017;1.69;1.73;1.65;1.71;2388130;233811000
04/10/2017;1.74;1.77;1.67;1.69;2997490;239513000
03/10/2017;1.88;1.90;1.68;1.74;4315990;260007000
02/10/2017;2.16;2.16;1.86;1.88;5359390;297983000
01/10/2017;1.78;2.23;1.76;2.15;9558870;245657000
30/09/2017;1.75;1.79;1.71;1.78;2964430;241157000
29/09/2017;1.74;1.83;1.57;1.75;5894070;239539000
28/09/2017;1.75;1.80;1.58;1.75;6194970;241833000
27/09/2017;1.88;1.95;1.37;1.75;13061200;259508000
26/09/2017;2.39;2.46;1.75;1.86;17221400;329963000
25/09/2017;1.85;2.57;1.84;2.37;20214300;255726000
24/09/2017;1.85;1.89;1.58;1.85;16343900;255074000
