Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;9.68;10.70;8.01;8.57;106176000;1114590000
21/11/2017;9.74;10.16;9.25;9.68;26816700;1121400000
20/11/2017;9.72;10.22;9.54;9.77;26170000;1118590000
19/11/2017;9.25;10.26;9.13;9.74;39171200;1063710000
18/11/2017;8.34;9.53;7.96;9.28;28695700;959358000
17/11/2017;8.37;9.58;8.02;8.28;47083900;961893000
16/11/2017;8.49;11.15;8.41;8.41;140758000;975188000
15/11/2017;7.13;8.68;7.13;8.45;61652800;818827000
14/11/2017;6.39;7.14;6.32;7.10;24092900;733401000
13/11/2017;5.50;6.50;5.50;6.34;29720300;631108000
12/11/2017;5.78;5.85;4.89;5.50;20592700;663164000
11/11/2017;5.60;6.31;5.51;5.78;15022000;642032000
10/11/2017;6.43;6.64;5.36;5.64;19419400;737826000
09/11/2017;6.06;6.81;5.94;6.45;23326800;694710000
08/11/2017;5.15;6.58;4.94;6.05;33549400;589631000
07/11/2017;4.57;5.20;4.56;5.19;12194100;523482000
06/11/2017;4.46;4.64;4.36;4.59;8039310;510696000
05/11/2017;4.58;4.63;4.42;4.44;6841900;524234000
04/11/2017;4.52;4.78;4.40;4.59;8450130;517446000
03/11/2017;4.32;4.55;4.24;4.54;8505170;494304000
02/11/2017;4.48;4.59;4.01;4.33;13966400;512403000
01/11/2017;4.74;4.74;4.48;4.51;10934000;541459000
31/10/2017;4.91;4.95;4.72;4.74;7576110;561021000
30/10/2017;4.86;4.94;4.71;4.93;8187830;555173000
29/10/2017;4.68;4.96;4.67;4.88;8168720;534088000
28/10/2017;4.98;5.08;4.67;4.68;7004750;567727000
27/10/2017;5.17;5.17;4.87;4.96;7382280;589906000
26/10/2017;5.18;5.39;4.95;5.18;9611640;590839000
25/10/2017;5.57;5.57;5.02;5.20;10980300;635269000
24/10/2017;4.69;5.94;4.61;5.53;17643400;534693000
23/10/2017;4.72;4.81;4.42;4.71;7981790;537739000
22/10/2017;4.70;4.83;4.64;4.74;7477790;535472000
21/10/2017;4.90;4.92;4.46;4.71;9333630;558166000
20/10/2017;4.98;5.14;4.84;4.93;13489300;566917000
19/10/2017;5.16;5.26;4.85;4.98;14596700;586421000
18/10/2017;5.12;5.17;4.79;5.14;13438000;581733000
17/10/2017;4.96;5.15;4.80;5.10;8296440;563972000
16/10/2017;4.91;5.14;4.66;4.96;8730360;558002000
15/10/2017;4.79;4.94;4.46;4.91;9608200;544147000
