Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;70.18;71.95;70.18;71.89;157890000;3785260000
21/11/2017;72.20;72.53;68.11;70.03;231665000;3892860000
20/11/2017;71.41;72.92;70.79;72.25;188976000;3849390000
19/11/2017;69.51;72.98;68.60;71.59;243057000;3745710000
18/11/2017;67.41;69.77;65.71;69.64;174063000;3631120000
17/11/2017;70.45;71.12;65.78;67.57;350505000;3794080000
16/11/2017;63.81;72.48;62.94;71.06;418129000;3435690000
15/11/2017;62.78;65.52;62.71;63.82;194636000;3379200000
14/11/2017;61.64;63.81;60.87;62.68;174111000;3317410000
13/11/2017;59.18;62.76;58.85;61.40;237478000;3183830000
12/11/2017;62.31;62.31;57.41;59.01;322820000;3351310000
11/11/2017;59.35;63.71;59.24;62.30;272494000;3191150000
10/11/2017;64.44;65.90;56.91;59.26;291596000;3463640000
09/11/2017;62.49;66.84;61.73;64.27;279653000;3358100000
08/11/2017;61.11;64.06;60.79;62.57;349454000;3283270000
07/11/2017;54.99;63.81;54.99;61.30;402670000;2953400000
06/11/2017;54.76;56.17;53.95;55.17;133918000;2940380000
05/11/2017;55.03;55.48;54.63;54.75;84302000;2953940000
04/11/2017;56.22;56.37;54.94;55.04;83633100;3016940000
03/11/2017;54.58;56.29;54.28;56.18;150030000;2928260000
02/11/2017;53.56;55.28;50.85;54.74;221077000;2872910000
01/11/2017;55.74;55.74;53.18;53.18;112759000;2989140000
31/10/2017;56.37;56.79;55.72;55.75;99381100;3021830000
30/10/2017;56.84;58.55;56.24;56.39;129287000;3046410000
29/10/2017;54.67;57.75;54.49;57.11;138340000;2929280000
28/10/2017;55.38;56.13;54.57;54.69;71063200;2966700000
27/10/2017;55.67;56.25;55.15;55.33;78923100;2981330000
26/10/2017;56.47;57.15;55.28;55.74;81104700;3023150000
25/10/2017;55.95;56.58;54.09;56.49;114510000;2994670000
24/10/2017;54.96;59.10;53.29;55.96;199789000;2940790000
23/10/2017;56.77;56.77;52.87;54.92;177315000;3036830000
22/10/2017;58.27;58.65;56.44;56.81;96781400;3116350000
21/10/2017;60.30;60.52;56.83;58.20;139503000;3224150000
20/10/2017;59.81;61.88;58.56;60.33;150542000;3196870000
19/10/2017;60.82;61.29;58.71;59.74;160943000;3250090000
18/10/2017;59.59;61.75;53.79;60.73;283869000;3183230000
17/10/2017;64.67;64.70;58.85;59.48;205363000;3454040000
16/10/2017;65.72;66.34;62.69;64.62;200428000;3508860000
15/10/2017;64.13;70.09;62.55;65.47;453940000;3422800000
14/10/2017;59.41;66.19;58.60;63.95;313106000;3169870000
13/10/2017;60.55;60.96;55.84;59.43;357124000;3230160000
12/10/2017;50.89;60.11;50.87;60.11;341369000;2713870000
11/10/2017;50.75;51.14;50.32;50.89;57390100;2706060000
10/10/2017;50.15;51.67;49.86;50.72;90415500;2673460000
09/10/2017;53.08;53.39;48.47;50.16;152366000;2828800000
08/10/2017;52.49;54.51;52.26;53.14;100841000;2796640000
07/10/2017;52.14;52.75;51.64;52.58;51786200;2776920000
06/10/2017;51.64;52.60;51.53;52.12;59355900;2749460000
05/10/2017;51.40;51.87;50.44;51.67;69594400;2736260000
04/10/2017;52.28;53.05;50.83;51.40;77473400;2782460000
03/10/2017;53.39;53.59;51.59;52.35;88516100;2840540000
02/10/2017;54.55;54.78;53.26;53.38;95474600;2901270000
01/10/2017;55.14;55.16;53.63;54.54;100183000;2931740000
30/09/2017;52.63;55.23;52.62;55.14;131446000;2797460000
29/09/2017;54.11;54.16;50.42;52.62;186560000;2875460000
28/09/2017;56.21;56.67;53.41;54.09;202009000;2986370000
27/09/2017;51.58;56.54;51.58;56.28;220363000;2739380000
26/09/2017;51.69;53.70;51.08;51.55;173663000;2744540000
25/09/2017;47.62;52.44;47.57;51.58;208641000;2527830000
24/09/2017;49.25;49.27;47.52;47.62;82147100;2613620000
23/09/2017;48.16;49.79;46.69;49.27;142073000;2554900000
22/09/2017;46.65;49.09;45.19;48.09;218134000;2474380000
21/09/2017;51.66;52.31;45.67;46.61;229363000;2739370000
20/09/2017;52.74;53.83;51.25;51.73;160252000;2795880000
19/09/2017;55.68;55.88;51.05;52.84;286583000;2950880000
18/09/2017;48.53;55.61;48.53;55.53;408675000;2571070000
17/09/2017;48.23;49.88;45.12;48.49;245262000;2554450000
16/09/2017;48.13;52.83;46.46;48.26;562278000;2548580000
15/09/2017;41.69;50.65;32.03;48.21;1554340000;2206520000
14/09/2017;61.64;62.43;41.25;41.58;749714000;3261960000
13/09/2017;64.32;64.60;58.93;61.73;501522000;3402820000
12/09/2017;66.24;70.25;63.86;64.23;481218000;3503300000
11/09/2017;61.65;67.23;61.37;66.04;412076000;3259510000
10/09/2017;65.80;65.95;57.06;61.61;529848000;3478400000
09/09/2017;67.21;69.55;64.01;66.01;467895000;3551950000
08/09/2017;78.45;80.13;63.83;67.79;930673000;4144630000
07/09/2017;79.88;81.06;75.59;78.48;526829000;4218690000
06/09/2017;71.78;80.64;71.51;80.11;830718000;3789670000
05/09/2017;65.25;72.44;59.05;71.29;1016090000;3444150000
04/09/2017;76.73;76.73;61.24;65.21;922041000;4049140000
03/09/2017;78.98;82.83;73.61;76.84;675462000;4166600000
02/09/2017;85.83;92.07;72.23;79.02;1363990000;4526680000
01/09/2017;70.86;87.41;70.01;86.04;1551740000;3735870000
31/08/2017;64.16;72.28;64.04;71.06;633147000;3381750000
30/08/2017;63.16;64.21;60.90;64.17;240309000;3328240000
29/08/2017;62.39;63.29;61.26;63.17;294799000;3286610000
28/08/2017;61.36;64.92;59.87;62.36;556637000;3231200000
27/08/2017;51.80;64.44;51.64;61.16;890546000;2726990000
26/08/2017;51.17;52.26;50.45;51.75;126024000;2692560000
25/08/2017;50.17;52.13;49.84;51.18;157619000;2639490000
24/08/2017;52.82;53.28;50.19;50.19;391342000;2778190000
23/08/2017;46.71;54.78;46.48;53.25;447188000;2456090000
22/08/2017;47.90;47.90;45.48;46.73;163104000;2517440000
21/08/2017;46.19;48.75;45.62;47.94;207172000;2427130000
20/08/2017;45.38;47.55;44.75;46.23;138850000;2383680000
19/08/2017;47.05;47.08;43.78;45.48;155404000;2471190000
18v08/2017;43.90;47.86;43.59;47.28;293350000;2304770000
17/08/2017;44.18;44.83;43.78;43.91;104020000;2318000000
16/08/2017;43.37;45.06;42.57;44.15;120765000;2275660000
15/08/2017;45.81;45.84;42.29;43.31;206081000;2403520000
14/08/2017;45.83;46.51;45.43;45.80;114402000;2403870000
13/08/2017;46.57;48.07;44.33;45.81;242565000;2441760000
12/08/2017;47.05;47.62;46.29;46.43;142065000;2466360000
11/08/2017;46.40;47.33;46.40;47.10;137644000;2431830000
10/08/2017;48.05;48.51;46.50;46.50;121661000;2517300000
09/08/2017;48.59;50.23;47.16;48.01;253103000;2544750000
08/08/2017;45.90;49.37;45.79;48.63;205565000;2403230000
07/08/2017;45.17;46.48;45.12;45.80;106560000;2364540000
06/08/2017;46.84;47.30;45.10;45.10;147891000;2451490000
05/08/2017;43.49;46.92;43.48;46.86;248320000;2275090000
04/08/2017;42.89;43.71;42.82;43.45;114810000;2243440000
03/08/2017;42.19;43.17;42.13;42.86;95497600;2206190000
02/08/2017;43.07;43.21;42.07;42.13;103557000;2251650000
01/08/2017;43.02;43.77;41.09;43.04;203656000;2248110000
