Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;2.92;3.90;2.92;3.60;21155000;162229000
21/11/2017;2.94;3.03;2.85;2.92;1828570;162935000
20/11/2017;3.05;3.08;2.93;2.94;2049500;169310000
19/11/2017;3.05;3.10;2.98;3.04;1830310;169236000
18/11/2017;2.94;3.06;2.87;3.06;1740550;162730000
17/11/2017;2.94;3.01;2.88;2.95;1761820;162705000
16/11/2017;3.05;3.12;2.90;2.94;3615170;169079000
15/11/2017;2.90;3.21;2.90;3.04;5438440;160504000
14/11/2017;2.88;2.91;2.77;2.90;2134370;159437000
13/11/2017;2.80;3.25;2.67;2.90;9818930;154526000
12/11/2017;2.60;3.11;2.17;2.82;9822060;143573000
11/11/2017;2.63;2.71;2.52;2.60;3258960;145138000
10/11/2017;2.96;2.99;2.61;2.62;3069090;163429000
09/11/2017;2.86;3.04;2.84;2.97;4630550;157591000
08/11/2017;2.64;2.92;2.59;2.84;3533310;145619000
07/11/2017;2.63;2.70;2.62;2.64;1091000;144961000
06/11/2017;2.54;2.77;2.51;2.63;2683310;140136000
05/11/2017;2.58;2.61;2.50;2.54;2172030;142084000
04/11/2017;2.60;2.70;2.55;2.58;2167010;143371000
03/11/2017;2.69;2.70;2.46;2.61;2694730;147958000
02/11/2017;2.63;3.14;2.35;2.69;5257020;144670000
01/11/2017;3.00;3.03;2.66;2.66;1105480;164986000
31/10/2017;3.09;3.20;2.98;2.98;1178160;169908000
30/10/2017;2.91;3.37;2.78;3.14;2080380;159998000
29/10/2017;3.14;3.14;2.84;2.86;1836960;172724000
28/10/2017;3.36;3.44;3.01;3.17;1359820;184532000
27/10/2017;3.45;3.58;3.30;3.35;1664830;189604000
26/10/2017;3.86;3.86;3.36;3.45;3142650;211869000
25/10/2017;3.89;4.05;3.56;3.84;6531660;213318000
24/10/2017;2.69;4.21;2.51;3.92;11567400;147394000
23/10/2017;2.99;3.09;2.63;2.72;1642920;164017000
22/10/2017;2.79;3.16;2.70;3.03;2968300;152801000
21/10/2017;2.91;2.93;2.51;2.79;1994190;159315000
20/10/2017;3.24;3.24;2.78;2.91;2621270;177358000
19/10/2017;2.80;3.53;2.65;3.26;6876370;153000000
18/10/2017;2.93;3.06;2.33;2.82;3262070;160396000
17/10/2017;3.59;3.59;2.91;2.95;3440610;196014000
16/10/2017;4.10;4.21;3.08;3.54;11446700;224092000
15/10/2017;4.00;4.24;2.54;4.18;16434800;218695000
14/10/2017;4.76;5.80;3.40;4.15;40505000;259814000
13/10/2017;3.50;6.30;3.18;4.67;89781400;191171000
12/10/2017;1.45;3.43;1.37;3.40;40889700;79330900
11/10/2017;0.761566;1.52;0.744142;1.45;2901910;41529900
10/10/2017;0.690739;0.787718;0.670104;0.761928;279882;37651800
09/10/2017;0.649278;0.785435;0.645951;0.690980;651041;35366800
08/10/2017;0.804205;0.844052;0.643864;0.655201;1929520;43800000
07/10/2017;0.527623;0.922941;0.519573;0.805991;4835920;28724300
06/10/2017;0.465222;0.556832;0.464218;0.527705;321507;25316500
05/10/2017;0.449967;0.475824;0.444760;0.465901;70712;24476100
04/10/2017;0.449407;0.473954;0.432421;0.445177;107480;24435300
03/10/2017;0.480752;0.505363;0.430897;0.455395;174019;26128600
02/10/2017;0.449160;0.693127;0.440709;0.480731;1380910;24401300
01/10/2017;0.469081;0.470838;0.437791;0.449816;94585;25472800
30/09/2017;0.479918;0.511676;0.458396;0.468827;90811;26050400
29/09/2017;0.442935;0.501408;0.429180;0.482250;110430;24032800
28/09/2017;0.470758;0.471514;0.438352;0.440120;69311;25531700
27/09/2017;0.449820;0.471343;0.439138;0.469551;60460;24385900
26/09/2017;0.461559;0.468736;0.450226;0.450980;45289;25011900
25/09/2017;0.450753;0.472835;0.450753;0.460741;65855;24416000
24/09/2017;0.466054;0.472166;0.450314;0.452316;52795;25234200
23/09/2017;0.446613;0.477223;0.444784;0.466693;69796;24171500
22/09/2017;0.457459;0.473203;0.442533;0.448218;51277;24748200
21/09/2017;0.475418;0.491299;0.446650;0.453647;82793;25709000
20/09/2017;0.454985;0.499294;0.444207;0.477590;110481;24593800
19/09/2017;0.463559;0.467062;0.436622;0.449215;64115;25046500
18/09/2017;0.422888;0.480447;0.422888;0.466362;90432;22839600
17/09/2017;0.428403;0.436171;0.404670;0.418483;27481;23127600
16/09/2017;0.427176;0.471101;0.412788;0.427467;132884;23051700
15/09/2017;0.388023;0.449133;0.351520;0.429105;142411;20930000
14/09/2017;0.478992;0.485411;0.388856;0.388856;150380;25826000
13/09/2017;0.508714;0.508714;0.465621;0.479597;131829;27417000
12/09/2017;0.514134;0.533250;0.502227;0.510081;97553;27697400
11/09/2017;0.506757;0.524352;0.486871;0.508828;158193;27288500
10/09/2017;0.511143;0.514086;0.481943;0.506391;79256;27513200
09/09/2017;0.523442;0.531647;0.504121;0.511343;80159;28163300
08/09/2017;0.562184;0.562184;0.509025;0.522640;165139;30234600
07/09/2017;0.582461;0.624885;0.540204;0.562123;427223;31311900
06/09/2017;0.508904;0.607256;0.507976;0.583702;609231;27346100
05/09/2017;0.536898;0.536898;0.474001;0.513977;315414;28838000
04/09/2017;0.513969;0.625529;0.504216;0.536666;787502;27594600
03/09/2017;0.496491;0.525381;0.486588;0.508075;165159;26644900
02/09/2017;0.501498;0.516434;0.478736;0.496026;221424;26902100
01/09/2017;0.484558;0.511737;0.476951;0.500976;177649;25982300
31/08/2017;0.471933;0.493794;0.465916;0.484205;175800;25294600
30/08/2017;0.488927;0.497681;0.468669;0.472511;189210;26194200
29/08/2017;0.491856;0.501194;0.452828;0.486759;143241;26339900
28/08/2017;0.493069;0.526332;0.429480;0.483320;298087;26393500
27/08/2017;0.501966;0.673040;0.483306;0.493588;545338;26858200
26/08/2017;0.432562;0.528340;0.424598;0.502221;299798;23134900
25/08/2017;0.415978;0.474573;0.413353;0.432432;146796;22238300
24/08/2017;0.406626;0.429625;0.405417;0.416800;109636;21729100
23/08/2017;0.393224;0.427265;0.392829;0.407242;81886;21003900
22/08/2017;0.441524;0.462859;0.390787;0.398489;143968;23573800
21/08/2017;0.390664;0.499351;0.388376;0.440440;194146;20849300
20/08/2017;0.378654;0.402772;0.373188;0.393622;73197;20199500
19/08/2017;0.379502;0.513200;0.369785;0.381807;359205;20236200
18v08/2017;0.378883;0.422384;0.369113;0.380883;122594;20194500
17/08/2017;0.410002;0.417717;0.363727;0.379808;101160;21843800
16/08/2017;0.383467;0.425439;0.380398;0.407949;99037;20421300
15/08/2017;0.368759;0.387714;0.354273;0.379704;82797;19629600
14/08/2017;0.397381;0.402701;0.356968;0.364651;52981;21144100
13/08/2017;0.367972;0.425751;0.358946;0.398281;84496;19570900
12/08/2017;0.405040;0.411501;0.362449;0.368431;88368;21533100
11/08/2017;0.420316;0.426729;0.403012;0.403012;73327;22335600
10/08/2017;0.440728;0.444092;0.405049;0.413140;154167;23410300
09/08/2017;0.411968;0.472348;0.407176;0.435192;76327;21873200
08/08/2017;0.427921;0.430823;0.396182;0.414369;95149;22710400
07/08/2017;0.481094;0.481094;0.423698;0.436437;146651;25521400
06/08/2017;0.473617;0.491749;0.468607;0.472409;57136;25114000
05/08/2017;0.476956;0.506009;0.466159;0.472301;97795;25280200
04/08/2017;0.480260;0.496088;0.474117;0.477361;56875;25444300
03/08/2017;0.470825;0.496379;0.469103;0.480495;70255;24933700
02/08/2017;0.472887;0.512983;0.466135;0.474644;93276;25032000
01/08/2017;0.454184;0.494614;0.448400;0.481340;46699;24031600
31/07/2017;0.473392;0.477749;0.446209;0.451250;50825;25037000
30/07/2017;0.496506;0.496506;0.461789;0.474444;36682;26248100
29/07/2017;0.480305;0.494315;0.456620;0.491538;43339;25380600
28/07/2017;0.490888;0.516344;0.476099;0.483032;108675;25928700
27/07/2017;0.488443;0.503047;0.469898;0.489637;71298;25788400
26/07/2017;0.506498;0.534650;0.464745;0.484917;41061;26730100
25/07/2017;0.576676;0.585296;0.494726;0.507251;85319;30420600
24/07/2017;0.569433;0.626598;0.559319;0.575091;72935;30025400
23/07/2017;0.589463;0.621150;0.543342;0.565711;81631;31068100
22/07/2017;0.549184;0.610908;0.530144;0.586583;78598;28910300
21/07/2017;0.468217;0.573053;0.459811;0.549208;153044;24648000
20/07/2017;0.421885;0.490637;0.413591;0.464771;92437;22206800
19/07/2017;0.451678;0.469520;0.419789;0.428664;59351;23764600
18/07/2017;0.467391;0.479549;0.437715;0.455533;80225;24580700
17/07/2017;0.398742;0.465680;0.387039;0.465680;98761;20961200
16/07/2017;0.406569;0.510294;0.372059;0.400116;182306;21357700
15/07/2017;0.461476;0.470461;0.371263;0.408595;130991;24220900
14/07/2017;0.554870;0.567211;0.453352;0.470811;115836;29097400
13/07/2017;0.553168;0.614866;0.547667;0.554754;133700;28983000
12/07/2017;0.498357;0.554244;0.492411;0.554124;152251;26088400
11/07/2017;0.561779;0.589478;0.473083;0.497611;254951;29382900
10/07/2017;0.703724;0.732792;0.535254;0.572371;301151;36775000
09/07/2017;0.723397;0.730082;0.700366;0.700366;108200;37769600
08/07/2017;0.704503;0.738343;0.698958;0.723202;122300;36751000
07/07/2017;0.772363;0.782315;0.692785;0.706361;243176;40255400
06/07/2017;0.800364;0.837056;0.750438;0.771647;247722;41678500
05/07/2017;0.745882;0.787616;0.698257;0.787616;172496;38807200
04/07/2017;0.692025;0.748405;0.676021;0.729557;205961;35973500
03/07/2017;0.755934;0.766478;0.689225;0.700851;179359;39260800
02/07/2017;0.753495;0.778048;0.665238;0.758823;783973;39099800
01/07/2017;0.809903;0.886090;0.735164;0.767033;853507;41989900
30/06/2017;0.736183;0.834790;0.725095;0.799141;283520;38134100
29/06/2017;0.690481;0.767210;0.688944;0.734600;258009;35735400
28/06/2017;0.688296;0.706360;0.661847;0.689670;162026;35590800
27/06/2017;0.613526;0.686930;0.589250;0.677952;306581;31693900
26/06/2017;0.635517;0.681667;0.545112;0.613526;259592;32803500
25/06/2017;0.660953;0.716831;0.616644;0.630174;410288;34086000
24/06/2017;0.635844;0.765835;0.586625;0.666047;591511;32762000
23/06/2017;0.608468;0.657521;0.538410;0.649454;291495;31323600
22/06/2017;0.682420;0.715599;0.579653;0.612054;440902;35099400
21/06/2017;0.655489;0.749040;0.614300;0.683528;1265010;33684300
20/06/2017;0.426019;0.721309;0.426019;0.652886;1151240;21872500
19/06/2017;0.365573;0.444412;0.364863;0.425677;250172;18752500
18/06/2017;0.358387;0.377807;0.350556;0.365223;96125;18367500
17/06/2017;0.363033;0.370417;0.350310;0.353563;54163;18588900
16/06/2017;0.343166;0.369484;0.320356;0.363758;135841;17556000
15/06/2017;0.344035;0.355269;0.290544;0.343330;67928;17584800
14/06/2017;0.369528;0.379231;0.332234;0.340966;129662;18870800
13/06/2017;0.326251;0.375764;0.326251;0.367054;111733;16645800
12/06/2017;0.375823;0.382546;0.320876;0.326535;116763;19157700
11/06/2017;0.394866;0.645225;0.365433;0.375883;177541;20110500
10/06/2017;0.353780;0.407402;0.352148;0.404339;217672;18001900
09/06/2017;0.347877;0.374290;0.335588;0.353310;124212;17685500
08/06/2017;0.362999;0.377912;0.332022;0.341218;153706;18437700
07/06/2017;0.302621;0.404859;0.297396;0.363892;293493;15357200
06/06/2017;0.285886;0.318140;0.272405;0.301897;67798;14494800
05/06/2017;0.265372;0.303791;0.255523;0.284725;87017;13442500
04/06/2017;0.258157;0.268936;0.249739;0.264911;43672;13065300
03/06/2017;0.269388;0.272099;0.248105;0.260412;57458;13621300
02/06/2017;0.280340;0.280536;0.248978;0.267418;31934;14162300
01/06/2017;0.256058;0.287773;0.255517;0.276558;27364;12923900
31/05/2017;0.264676;0.270487;0.241393;0.254597;38665;13346700
30/05/2017;0.256573;0.294602;0.248670;0.258313;34519;12926500
29/05/2017;0.245440;0.275357;0.223216;0.260611;24192;12354200
28/05/2017;0.254807;0.267883;0.207153;0.245938;55079;12814200
27/05/2017;0.240048;0.260720;0.163770;0.242949;84287;12061000
26/05/2017;0.270336;0.328566;0.225933;0.236443;69042;13570400
25/05/2017;0.326934;0.338795;0.260557;0.283266;69792;16396400
