Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;142.08;173.45;141.14;165.95;189472000;2184930000
21/11/2017;136.10;142.21;131.37;141.74;72701500;2093010000
20/11/2017;129.50;140.55;128.49;135.76;59945400;1990900000
19/11/2017;130.72;133.62;127.21;129.48;42133000;2009180000
18/11/2017;126.59;135.01;123.53;130.80;62156400;1945200000
17/11/2017;120.02;126.70;119.25;126.70;47127700;1843600000
16/11/2017;121.24;128.09;118.50;120.31;74944100;1861940000
15/11/2017;122.24;124.72;119.19;121.37;49976700;1876740000
14/11/2017;123.62;124.20;118.63;122.35;53544800;1896990000
13/11/2017;128.96;136.53;120.92;123.40;116200000;1978840000
12/11/2017;119.60;133.68;110.62;123.86;144948000;1834630000
11/11/2017;105.75;127.11;103.88;119.62;107708000;1621800000
10/11/2017;121.34;121.67;101.76;105.59;84614000;1860390000
09/11/2017;112.53;123.41;112.22;120.78;86864600;1724820000
08/11/2017;99.82;115.94;99.14;113.31;79822900;1529550000
07/11/2017;104.23;104.75;95.05;99.76;81253300;1596750000
06/11/2017;86.42;102.92;86.15;102.92;103722000;1323540000
05/11/2017;87.31;88.04;86.04;86.35;27619800;1336790000
04/11/2017;87.90;88.48;85.50;87.30;23011500;1345360000
03/11/2017;83.53;90.14;83.53;87.99;37321100;1278080000
02/11/2017;85.66;86.08;81.68;83.76;48608100;1310390000
01/11/2017;87.65;88.20;84.73;85.72;36899300;1340360000
31/10/2017;88.75;89.33;87.60;87.64;28704900;1356840000
30/10/2017;88.59;90.49;88.04;88.84;28179100;1354090000
29/10/2017;86.27;90.36;86.27;88.65;38368700;1318160000
28/10/2017;86.91;87.76;85.71;86.31;25397400;1327650000
27/10/2017;88.58;89.19;86.43;86.75;27939000;1352700000
26/10/2017;88.17;89.87;88.02;88.58;23132200;1346070000
25/10/2017;88.49;101.29;85.82;88.13;59952100;1350650000
24/10/2017;85.16;92.35;83.47;88.40;42191100;1299330000
23/10/2017;86.48;86.92;82.89;85.21;26261800;1319200000
22/10/2017;88.18;89.04;85.52;86.58;27130000;1344760000
21/10/2017;90.41;90.41;86.58;88.12;25267200;1378290000
20/10/2017;88.71;92.73;88.07;90.54;38260700;1351990000
19/10/2017;89.66;92.48;87.91;88.62;35302300;1366060000
18/10/2017;91.19;91.26;86.54;89.54;36277100;1389050000
17/10/2017;95.93;96.94;90.72;91.28;43866200;1460870000
16/10/2017;94.99;97.97;93.05;95.90;32185000;1446090000
15/10/2017;99.94;100.81;91.60;94.87;34188200;1520300000
14/10/2017;95.06;103.13;93.73;100.23;38886100;1446050000
13/10/2017;87.23;96.77;85.53;95.13;63578800;1326720000
12/10/2017;87.56;88.63;86.46;87.09;32783200;1331450000
11/10/2017;86.74;88.25;85.80;87.42;21103400;1318540000
10/10/2017;85.61;88.41;84.27;86.82;31695500;1301030000
09/10/2017;89.74;90.12;83.76;85.49;38063700;1363380000
08/10/2017;91.39;92.20;89.74;89.77;29220800;1388030000
07/10/2017;90.94;92.05;89.57;91.70;22617600;1380750000
06/10/2017;91.91;92.94;90.23;91.19;24504100;1394580000
05/10/2017;90.49;92.45;88.14;91.86;27697400;1373110000
04/10/2017;92.95;93.65;89.05;90.41;29568100;1410000000
03/10/2017;91.52;94.81;87.21;92.96;44289800;1387960000
02/10/2017;93.56;93.80;90.98;91.54;27534700;1418400000
01/10/2017;95.59;95.74;91.77;93.22;25936500;1448800000
30/09/2017;94.44;96.33;94.07;95.76;28498000;1430900000
29/09/2017;97.30;97.78;91.22;94.50;38972400;1473750000
28/09/2017;100.97;101.14;95.48;97.23;41822000;1528970000
27/09/2017;92.75;102.91;92.64;101.04;51634900;1404030000
26/09/2017;93.81;95.31;91.60;93.13;32540800;1419730000
25/09/2017;89.37;94.23;89.12;93.64;28114300;1352120000
24/09/2017;91.76;91.81;88.00;89.50;22224000;1387760000
23/09/2017;88.03;92.12;86.96;91.85;26372900;1329730000
22/09/2017;86.17;89.54;84.33;88.17;28179100;1301560000
21/09/2017;95.33;95.75;85.17;86.24;34290500;1439880000
20/09/2017;97.64;98.09;93.37;95.57;34198900;1474840000
19/09/2017;100.83;101.28;93.70;97.72;48249700;1522630000
18/09/2017;93.81;102.02;93.81;100.57;63732100;1416250000
17/09/2017;94.97;96.36;89.22;93.74;41008200;1433270000
16/09/2017;100.11;106.12;91.41;95.29;71163500;1510430000
15/09/2017;83.13;103.69;73.17;99.85;176154000;1253940000
14/09/2017;111.29;120.39;82.65;83.04;133553000;1678110000
13/09/2017;111.81;113.16;102.39;111.33;88162900;1685390000
12/09/2017;112.72;115.69;110.49;111.89;40402700;1698640000
11/09/2017;113.05;116.24;110.47;112.75;30605900;1702970000
10/09/2017;115.64;115.77;103.17;112.33;50725200;1741490000
09/09/2017;118.19;119.73;113.17;116.27;39220400;1779350000
08/09/2017;120.28;132.57;113.30;118.04;159066000;1810210000
07/09/2017;121.39;124.76;116.60;120.84;62655700;1826360000
06/09/2017;118.78;122.31;114.32;121.63;64604400;1786650000
05/09/2017;106.75;122.63;95.81;118.82;113378000;1605070000
04/09/2017;126.23;126.23;101.73;106.17;89194700;1897480000
03/09/2017;124.93;129.29;115.74;126.01;92631100;1877380000
02/09/2017;141.35;141.40;121.96;124.80;128849000;2123430000
01/09/2017;140.65;150.09;136.49;141.20;163961000;2112260000
31/08/2017;131.95;141.97;131.21;140.41;131974000;1980860000
30/08/2017;133.84;135.83;124.06;132.38;106543000;2008790000
29/08/2017;144.24;144.50;128.02;133.03;104869000;2163850000
28/08/2017;130.76;154.58;129.06;145.40;216036000;1961250000
27/08/2017;137.59;138.88;124.81;130.68;92742200;2057550000
26/08/2017;107.46;148.36;105.28;138.05;301843000;1606920000
25/08/2017;86.47;108.36;85.34;108.26;95835700;1293030000
24/08/2017;90.35;93.77;79.35;86.29;70187100;1351030000
23/08/2017;91.01;99.71;85.51;90.33;84961900;1360920000
22/08/2017;77.99;95.51;72.53;91.16;150286000;1166240000
21/08/2017;54.67;95.08;52.87;77.82;238775000;817490000
20/08/2017;55.79;56.05;51.80;54.71;15702600;834239000
19/08/2017;46.97;58.03;46.97;55.96;27038800;702398000
18v08/2017;47.37;48.93;46.22;46.69;14517200;708081000
17/08/2017;48.82;49.46;47.05;47.45;11176000;729528000
16/08/2017;48.77;49.09;47.03;48.78;12423400;728672000
15/08/2017;49.97;50.16;45.72;48.74;13651100;746257000
14/08/2017;47.69;49.75;46.63;49.75;14023000;711941000
13/08/2017;49.38;50.15;45.46;47.76;19587800;737066000
12/08/2017;50.85;51.57;46.34;49.37;17349200;758739000
11/08/2017;49.31;51.56;48.93;50.65;8534390;735446000
10/08/2017;50.94;51.29;49.47;49.47;9147740;759514000
09/08/2017;51.94;53.34;49.74;50.96;11466600;774178000
08/08/2017;50.40;52.64;49.93;51.94;12471600;750929000
07/08/2017;47.67;50.21;47.24;50.21;12794900;710052000
06/08/2017;48.57;49.18;47.36;47.83;8254240;723258000
05/08/2017;45.18;49.49;45.18;48.58;12131400;672541000
04/08/2017;43.36;45.32;42.97;45.12;7794340;645208000
03/08/2017;43.80;44.31;43.23;43.36;8262040;651543000
02/08/2017;44.08;44.78;42.78;43.63;8111580;655515000
01/08/2017;39.88;45.04;39.81;44.15;17363300;592886000
31/07/2017;39.67;40.68;38.94;39.84;13138500;589540000
