Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;0.203437;0.207591;0.200102;0.203891;6838830;1830930000
21/11/2017;0.212540;0.214654;0.199799;0.202712;9636650;1912860000
20/11/2017;0.201814;0.219343;0.200439;0.213041;13657600;1816320000
19/11/2017;0.195153;0.206570;0.194297;0.201947;8200280;1756380000
18/11/2017;0.193471;0.196701;0.190190;0.196271;7023070;1741240000
17/11/2017;0.196707;0.198684;0.189507;0.192635;8216410;1770370000
16/11/2017;0.194276;0.211213;0.191441;0.196787;16058700;1748490000
15/11/2017;0.195403;0.200809;0.193040;0.193879;6978990;1758620000
14/11/2017;0.192122;0.195692;0.187637;0.194469;7941780;1729090000
13/11/2017;0.180876;0.203314;0.180023;0.192662;7806090;1627880000
12/11/2017;0.191179;0.191179;0.165319;0.180406;12126100;1720610000
11/11/2017;0.192005;0.208632;0.184363;0.192428;6940500;1728040000
10/11/2017;0.221480;0.235801;0.185654;0.192903;10625300;1993320000
09/11/2017;0.193797;0.221762;0.189496;0.220927;7388760;1744180000
08/11/2017;0.179285;0.197062;0.177652;0.194292;6757370;1613560000
07/11/2017;0.186479;0.186945;0.173960;0.180246;4822430;1678310000
06/11/2017;0.181340;0.208050;0.174593;0.186642;11718500;1632060000
05/11/2017;0.170760;0.180309;0.162022;0.180309;4400860;1536840000
04/11/2017;0.171515;0.177597;0.168393;0.170845;4231960;1543630000
03/11/2017;0.166597;0.180035;0.160413;0.171728;5802310;1499370000
02/11/2017;0.166398;0.181257;0.150936;0.166887;8706750;1497580000
01/11/2017;0.186957;0.188424;0.164959;0.166645;6190340;1682610000
31/10/2017;0.199406;0.201302;0.183521;0.186771;6031700;1794650000
30/10/2017;0.200239;0.203730;0.196393;0.200415;3529450;1802150000
29/10/2017;0.197333;0.209081;0.192299;0.201337;8599400;1776000000
28/10/2017;0.197981;0.205234;0.193193;0.197236;4671300;1781830000
27/10/2017;0.199349;0.200953;0.194800;0.197940;3603110;1794140000
26/10/2017;0.205685;0.207135;0.194916;0.199005;4683120;1851170000
25/10/2017;0.212028;0.214658;0.201686;0.206495;4171090;1908250000
24/10/2017;0.197404;0.216699;0.191158;0.212616;5808170;1776640000
23/10/2017;0.211283;0.212219;0.194769;0.199053;4987880;1901550000
22/10/2017;0.213296;0.219752;0.200805;0.211949;4615270;1919670000
21/10/2017;0.216010;0.217060;0.200346;0.212676;4326590;1944090000
