Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;34.45;36.98;34.45;35.86;82378800;2239040000
21/11/2017;36.21;37.16;33.38;34.36;133333000;2353570000
20/11/2017;39.94;43.14;35.64;35.64;243906000;2596080000
19/11/2017;43.01;45.45;36.66;39.75;273035000;2795440000
18/11/2017;39.74;48.09;36.28;42.74;434827000;2583010000
17/11/2017;28.71;41.08;28.36;40.50;252834000;1866360000
16/11/2017;29.45;29.93;28.48;28.70;40895700;1913970000
15/11/2017;29.79;30.59;28.26;29.35;45103700;1936170000
14/11/2017;28.40;29.96;28.10;29.73;39436300;1845750000
13/11/2017;27.12;28.97;26.59;28.40;41299400;1762620000
12/11/2017;28.44;28.45;25.31;26.96;63588200;1848580000
11/11/2017;28.15;29.93;27.40;28.53;45994100;1829610000
10/11/2017;31.97;32.44;26.74;28.18;57756900;2078110000
09/11/2017;30.76;33.02;30.58;31.90;79919300;1999530000
08/11/2017;26.17;33.81;26.02;30.67;120273000;1700950000
07/11/2017;26.26;26.52;25.62;26.23;40146900;1706600000
06/11/2017;26.47;26.81;25.95;26.32;26798400;1720760000
05/11/2017;26.48;26.72;25.79;26.38;25229700;1721090000
04/11/2017;26.77;27.74;25.94;26.49;31870600;1739980000
03/11/2017;24.60;26.90;24.39;26.82;40142100;1598960000
02/11/2017;26.75;26.75;22.89;24.50;74455200;1738720000
01/11/2017;28.38;28.44;26.68;26.86;49782800;1844740000
31/10/2017;28.69;30.44;28.47;28.47;61688400;1864890000
30/10/2017;27.72;29.49;27.71;28.79;30968500;1801620000
29/10/2017;27.20;28.61;27.20;27.76;29736500;1360230000
28/10/2017;28.86;28.99;27.17;27.35;25368200;1443000000
27/10/2017;28.33;28.88;28.10;28.76;28919000;1416350000
26/10/2017;28.48;29.39;28.06;28.33;35987900;1423950000
25/10/2017;30.11;30.11;28.54;28.54;35558400;1505590000
24/10/2017;27.34;32.72;26.73;30.15;78225600;1367240000
23/10/2017;28.49;28.65;26.43;27.51;28154800;1424610000
22/10/2017;27.15;29.48;27.10;28.79;36184100;1357500000
21/10/2017;27.76;28.28;26.04;27.13;34058900;1387840000
20/10/2017;28.68;29.50;27.73;27.75;36933700;1433880000
19/10/2017;29.66;29.96;28.48;28.66;30401400;1482970000
18/10/2017;31.66;31.78;28.44;29.67;49659700;1583190000
17/10/2017;28.50;32.55;27.81;31.40;74210000;1425090000
16/10/2017;27.76;29.07;26.96;28.53;34713200;1388080000
15/10/2017;27.65;28.47;26.91;27.73;31189200;1382450000
14/10/2017;29.32;29.45;27.65;27.80;33551100;1465980000
13/10/2017;27.85;29.87;26.45;29.35;81365000;1392660000
12/10/2017;30.01;30.36;27.61;28.18;61080400;1500520000
11/10/2017;29.30;31.23;29.30;29.96;33627700;1464940000
10/10/2017;29.15;31.20;28.07;29.31;48223600;1457270000
09/10/2017;32.04;32.79;26.78;29.10;98290300;1601800000
08/10/2017;35.64;37.23;31.01;32.07;107725000;1781810000
07/10/2017;33.54;36.15;33.30;36.14;48058800;1677000000
06/10/2017;32.50;34.32;32.23;33.52;47267100;1625060000
05/10/2017;31.21;33.31;28.98;32.28;66785000;1560680000
04/10/2017;33.79;35.03;30.09;31.16;60565900;1689390000
03/10/2017;36.65;36.79;32.01;33.61;74199600;1832530000
02/10/2017;35.70;39.01;34.90;36.74;116098000;1785160000
01/10/2017;34.12;35.83;31.82;35.72;72169500;1705880000
30/09/2017;28.59;34.24;28.45;34.21;82181600;1429500000
29/09/2017;30.25;30.41;26.13;28.64;72558300;1512530000
28/09/2017;31.78;32.69;27.68;29.76;101195000;1589170000
27/09/2017;26.32;34.03;26.32;31.79;163163000;1316040000
26/09/2017;26.12;27.30;24.46;26.38;65868600;1305990000
25/09/2017;19.80;27.08;19.80;26.02;81225500;989892000
24/09/2017;20.17;20.43;19.28;19.79;11967200;1008660000
23/09/2017;18.58;20.59;18.30;20.18;17216800;929086000
22/09/2017;17.39;19.32;16.98;18.69;22480200;869657000
21/09/2017;19.65;19.82;16.75;17.45;21587400;982515000
20/09/2017;19.90;20.47;19.69;19.75;14058200;995012000
19/09/2017;20.99;21.71;19.04;19.94;30451900;1049420000
18/09/2017;19.91;21.38;19.54;21.22;27647600;995579000
17/09/2017;20.64;20.64;18.36;19.86;18695100;1031920000
16/09/2017;18.75;22.98;18.50;20.76;50210000;937288000
15/09/2017;15.81;19.12;13.32;18.74;50811700;790612000
14/09/2017;20.08;20.75;14.95;15.69;42221500;1004180000
13/09/2017;20.83;21.29;17.80;20.06;37258400;1041450000
12/09/2017;21.87;23.60;19.86;20.97;40702300;1093590000
11/09/2017;22.68;23.97;21.70;21.88;27835300;1133790000
10/09/2017;21.76;23.64;19.37;22.75;54002500;1088180000
09/09/2017;24.63;24.63;21.55;21.96;47199500;1231580000
08/09/2017;30.59;30.59;22.41;24.86;112252000;1529630000
