Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;2.96;3.21;2.90;3.05;1107400;162943000
21/11/2017;2.90;3.09;2.73;2.97;1458680;159339000
20/11/2017;3.04;3.11;2.85;2.90;882014;166995000
19/11/2017;3.01;3.17;2.93;3.04;700817;165143000
18/11/2017;2.94;3.17;2.82;3.01;638172;161366000
17/11/2017;3.11;3.26;2.95;2.95;741596;170045000
16/11/2017;3.23;3.43;2.96;3.08;1108260;176961000
15/11/2017;3.15;3.28;3.11;3.22;396318;172166000
14/11/2017;3.19;3.24;3.02;3.14;345885;174543000
13/11/2017;3.00;3.41;2.90;3.18;618909;164313000
12/11/2017;3.36;3.37;2.74;2.98;539335;183848000
11/11/2017;3.29;3.59;3.11;3.36;717375;180063000
10/11/2017;3.40;3.59;2.84;3.30;1215490;200714000
09/11/2017;3.37;3.43;3.15;3.39;1005160;184199000
08/11/2017;2.83;3.42;2.65;3.38;1942510;154487000
07/11/2017;2.92;2.99;2.79;2.84;1246480;159763000
06/11/2017;3.10;3.28;2.81;2.89;938248;169527000
05/11/2017;2.76;3.31;2.76;3.06;1605640;150753000
04/11/2017;2.87;2.98;2.72;2.75;686107;156637000
03/11/2017;2.72;2.95;2.41;2.84;1068960;148714000
02/11/2017;2.69;3.22;2.09;2.71;1781060;147127000
01/11/2017;2.97;3.03;2.62;2.69;1341230;162148000
31/10/2017;3.24;3.41;2.86;2.97;1143060;176950000
30/10/2017;3.27;3.38;3.21;3.28;266133;178468000
29/10/2017;3.13;3.46;3.13;3.35;368702;170603000
28/10/2017;3.31;3.41;3.10;3.18;231745;186046000
27/10/2017;3.33;3.37;3.19;3.30;157036;186751000
26/10/2017;3.45;3.53;3.22;3.33;298358;192393000
25/10/2017;3.42;3.46;3.21;3.45;397752;190229000
24/10/2017;3.16;3.60;2.99;3.45;604599;174259000
23/10/2017;3.42;3.52;3.09;3.09;294843;187088000
22/10/2017;3.25;3.77;3.25;3.42;745540;177700000
21/10/2017;3.18;3.35;2.92;3.30;499864;173598000
20/10/2017;3.50;3.56;3.21;3.21;739472;191142000
19/10/2017;3.75;3.85;3.27;3.50;1366020;204754000
18/10/2017;3.84;3.87;3.36;3.78;896628;209499000
17/10/2017;4.13;4.17;3.53;3.83;1242610;225097000
16/10/2017;4.06;4.11;3.59;4.01;1676990;220996000
15/10/2017;3.98;4.31;3.80;4.07;1131240;216975000
14/10/2017;3.66;4.00;3.59;3.98;662710;199412000
13/10/2017;3.48;3.95;3.42;3.66;1105600;189754000
12/10/2017;3.64;3.84;3.40;3.54;1731330;198147000
11/10/2017;3.26;3.62;3.17;3.59;860084;177399000
10/10/2017;3.38;3.44;3.04;3.23;942939;183949000
09/10/2017;3.22;3.50;2.99;3.36;1244400;175462000
08/10/2017;3.58;3.72;3.25;3.27;1106120;194633000
07/10/2017;3.66;3.68;3.45;3.57;914098;199436000
06/10/2017;3.43;3.69;3.29;3.66;1135960;186547000
05/10/2017;3.32;3.54;3.05;3.43;1064810;180422000
04/10/2017;3.49;3.77;3.18;3.28;3263140;190087000
03/10/2017;2.79;3.85;2.49;3.52;3239900;151842000
02/10/2017;3.00;3.06;2.75;2.77;566438;163355000
01/10/2017;3.21;3.23;2.97;2.99;327672;174436000
30/09/2017;3.05;3.28;3.04;3.21;313977;165694000
29/09/2017;3.17;3.22;2.94;3.07;475544;172125000
28/09/2017;3.23;3.29;3.13;3.19;493125;175404000
27/09/2017;2.98;3.27;2.98;3.23;555545;162203000
26/09/2017;2.97;3.08;2.89;2.99;421424;161600000
25/09/2017;2.82;3.07;2.82;2.99;457087;153411000
24/09/2017;2.97;3.01;2.81;2.83;354542;161617000
23/09/2017;2.80;3.09;2.79;2.98;377740;152248000
22/09/2017;2.93;3.04;2.61;2.80;438079;159328000
21/09/2017;3.21;3.23;2.64;2.92;958364;174230000
20/09/2017;3.28;3.39;3.16;3.19;663238;178360000
19/09/2017;3.68;3.71;3.17;3.29;850000;200145000
18/09/2017;3.25;3.68;3.24;3.68;802153;176437000
17/09/2017;3.15;3.36;2.93;3.25;622594;171105000
16/09/2017;3.30;3.51;3.02;3.15;752344;179308000
15/09/2017;2.67;3.41;2.43;3.32;1414350;144919000
14/09/2017;3.10;3.49;2.60;2.65;1677250;168180000
13/09/2017;3.08;3.18;2.70;3.07;886936;166959000
12/09/2017;3.24;3.44;3.11;3.14;841109;175994000
11/09/2017;3.39;3.56;3.21;3.24;764347;183817000
10/09/2017;3.69;3.71;3.26;3.39;856393;200148000
09/09/2017;3.71;3.74;3.35;3.69;772126;201201000
08/09/2017;4.15;4.17;3.32;3.69;1958990;225304000
07/09/2017;3.99;4.19;3.84;4.15;1830890;216429000
06/09/2017;3.61;4.11;3.52;4.01;3183150;195452000
05/09/2017;3.14;3.65;2.83;3.58;1475220;170316000
04/09/2017;3.63;3.86;2.82;3.13;2619420;196592000
03/09/2017;3.35;3.77;3.28;3.63;1463690;181543000
02/09/2017;3.98;3.98;3.31;3.33;2017250;215708000
01/09/2017;3.31;4.49;3.31;3.94;9237100;179250000
31/08/2017;2.85;3.34;2.80;3.31;1829560;154332000
30/08/2017;2.94;3.05;2.71;2.83;1363470;159196000
29/08/2017;3.09;3.17;2.72;2.94;2624790;167462000
28/08/2017;2.96;3.18;2.83;3.08;1862570;160127000
27/08/2017;3.16;3.26;2.68;2.95;2911190;171240000
26/08/2017;2.44;3.16;2.41;3.16;4648230;131976000
25/08/2017;2.14;2.44;2.12;2.44;1313110;115957000
24/08/2017;2.03;2.16;1.98;2.10;612742;109890000
23/08/2017;1.92;2.29;1.88;2.07;1609530;104087000
22/08/2017;1.88;2.03;1.66;1.92;1023270;101728000
21/08/2017;1.99;2.05;1.77;1.88;813647;107825000
20/08/2017;1.87;2.31;1.77;2.04;2125280;101012000
19/08/2017;1.69;1.91;1.62;1.88;778515;91675300
18v08/2017;1.70;1.80;1.63;1.70;701658;91976700
17/08/2017;1.90;1.94;1.70;1.72;950748;102921000
16/08/2017;1.91;2.04;1.80;1.91;776786;103296000
15/08/2017;1.77;2.12;1.58;1.92;1241080;95512400
14/08/2017;1.91;1.94;1.66;1.76;968330;103302000
13/08/2017;2.01;2.09;1.80;1.91;1095310;108692000
12/08/2017;2.08;2.29;1.94;2.01;1237300;112256000
11/08/2017;2.14;2.18;1.93;2.12;1161090;115638000
10/08/2017;1.96;2.26;1.96;2.14;1374460;106106000
09/08/2017;1.98;2.13;1.94;1.96;826578;106785000
08/08/2017;1.99;2.06;1.89;2.01;857147;107615000
07/08/2017;1.91;2.09;1.87;2.00;959104;103352000
06/08/2017;2.10;2.18;1.92;1.97;847640;113523000
05/08/2017;2.06;2.20;1.97;2.13;698568;111004000
04/08/2017;1.95;2.06;1.91;2.06;571097;105250000
03/08/2017;1.96;2.03;1.89;2.01;426579;105789000
02/08/2017;1.98;2.06;1.85;1.96;758057;107040000
01/08/2017;1.91;2.13;1.73;1.98;664847;102948000
31/07/2017;1.92;1.93;1.79;1.90;486765;103642000
30/07/2017;1.96;1.97;1.79;1.92;353030;105804000
29/07/2017;1.92;1.98;1.85;1.96;337647;103718000
28/07/2017;2.21;2.27;1.77;1.93;1029330;119215000
27/07/2017;2.00;2.29;1.99;2.22;677869;107802000
26/07/2017;1.87;2.01;1.82;1.99;470235;100864000
25/07/2017;2.16;2.17;1.78;1.88;761988;116698000
24/07/2017;2.20;2.22;2.11;2.16;481936;118367000
23/07/2017;2.31;2.38;2.11;2.20;517608;124602000
22/07/2017;2.04;2.34;2.01;2.31;838954;109979000
21/07/2017;2.14;2.26;1.99;2.06;557633;115335000
20/07/2017;1.80;2.25;1.76;2.13;1479580;97073600
19/07/2017;1.70;2.21;1.65;1.83;1241830;91405700
18/07/2017;1.66;1.76;1.58;1.69;597985;89429200
17/07/2017;1.37;1.66;1.37;1.66;421374;73696500
16/07/2017;1.50;1.57;1.35;1.36;396644;80652100
15/07/2017;1.64;1.67;1.44;1.49;354807;88187700
14/07/2017;1.86;1.88;1.52;1.64;590517;100097000
13/07/2017;1.88;2.03;1.82;1.85;874846;101043000
12/07/2017;1.72;1.96;1.52;1.90;807183;92613300
11/07/2017;1.75;2.04;1.46;1.70;1174690;94140400
10/07/2017;2.26;2.34;1.68;1.74;1188920;121443000
09/07/2017;2.41;2.42;2.23;2.25;686476;129460000
08/07/2017;2.52;2.52;2.16;2.41;900303;135424000
07/07/2017;2.76;2.87;2.40;2.52;1577910;148610000
06/07/2017;2.61;2.84;2.57;2.77;1505980;140364000
05/07/2017;2.44;2.75;2.32;2.67;1591350;131064000
04/07/2017;2.42;2.46;2.18;2.46;1642800;129909000
03/07/2017;2.38;2.60;2.31;2.42;1132170;128004000
02/07/2017;2.18;2.44;1.99;2.37;1439190;117176000
01/07/2017;2.23;2.94;2.06;2.15;6583000;119636000
30/06/2017;1.87;2.46;1.82;2.23;4201350;100511000
29/06/2017;1.87;1.89;1.79;1.87;433521;100576000
28/06/2017;1.85;1.90;1.71;1.87;552582;99334700
27/06/2017;1.71;1.85;1.59;1.84;804362;91792000
26/06/2017;1.81;1.89;1.53;1.71;743913;97110800
25/06/2017;1.96;1.97;1.73;1.80;717465;105507000
24/06/2017;1.90;2.00;1.85;1.97;977280;101826000
23/06/2017;1.68;1.92;1.65;1.89;652917;90384900
22/06/2017;1.66;1.75;1.65;1.68;528555;89122800
21/06/2017;1.74;1.79;1.55;1.66;481711;93572300
20/06/2017;1.78;1.83;1.62;1.74;637379;95662300
19/06/2017;1.75;1.90;1.63;1.78;1171960;93807500
18/06/2017;1.66;1.75;1.55;1.75;460349;89146200
17/06/2017;1.72;1.74;1.60;1.65;581214;92064300
16/06/2017;1.43;1.77;1.35;1.72;1217220;76836300
15/06/2017;1.39;1.43;1.23;1.43;452954;74745700
14/06/2017;1.52;1.60;1.32;1.39;472004;81564800
13/06/2017;1.41;1.67;1.40;1.52;810037;75370600
12/06/2017;1.68;1.70;1.36;1.42;618989;90002600
11/06/2017;1.51;1.75;1.49;1.68;779509;80699400
10/06/2017;1.63;1.66;1.51;1.51;806869;87353800
09/06/2017;1.62;1.73;1.51;1.63;1052730;86576600
08/06/2017;1.54;1.70;1.52;1.61;742229;82708500
07/06/2017;1.48;1.78;1.48;1.53;1291380;79331300
06/06/2017;1.55;1.68;1.44;1.48;1150270;83020700
05/06/2017;1.64;1.64;1.51;1.55;1415360;87591400
04/06/2017;1.63;1.70;1.49;1.62;958906;87404800
03/06/2017;1.65;1.76;1.49;1.64;1297030;88338700
02/06/2017;1.69;1.73;1.60;1.64;973967;90284900
01/06/2017;1.53;1.73;1.49;1.68;1015590;81979300
31/05/2017;1.73;1.81;1.45;1.51;2120580;92717300
30/05/2017;1.69;1.90;1.64;1.71;2994420;90331600
29/05/2017;1.34;1.80;1.24;1.66;3057780;71800200
28/05/2017;1.09;1.41;1.07;1.34;1549970;58122300
27/05/2017;1.19;1.21;0.782172;1.08;1432400;63711000
26/05/2017;1.34;1.57;1.04;1.19;3535410;71577700
25/05/2017;0.868912;1.60;0.703638;1.36;3209160;46472600
24/05/2017;0.971474;1.00;0.863947;0.903705;1612850;51951800
23/05/2017;0.887183;1.06;0.867929;0.991460;801741;47438400
22/05/2017;0.981058;1.06;0.818128;0.890556;1819780;52451600
21/05/2017;1.12;1.17;0.968088;0.977864;1194430;59833900
20/05/2017;1.19;1.23;1.09;1.13;1183880;63515300
19/05/2017;1.15;1.28;1.13;1.18;934604;61682000
18/05/2017;1.14;1.23;1.05;1.16;827424;61128000
17/05/2017;1.04;1.16;0.924889;1.15;930248;55722500
16/05/2017;1.11;1.13;0.915399;1.05;906882;59160700
15/05/2017;1.22;1.27;1.09;1.12;578196;65109000
14/05/2017;1.30;1.31;1.19;1.22;524574;69284000
13/05/2017;1.22;1.34;1.15;1.29;513229;65135900
12/05/2017;1.20;1.48;1.17;1.22;886209;63840700
11/05/2017;1.12;1.37;1.04;1.19;1055820;59582000
10/05/2017;1.24;1.32;0.935178;1.12;1549700;65928100
09/05/2017;1.35;1.43;1.10;1.24;958406;72194600
08/05/2017;1.44;1.50;1.22;1.37;1956590;76534800
07/05/2017;1.58;1.64;1.44;1.46;1441410;83973700
06/05/2017;1.54;1.67;1.53;1.56;981198;81861500
05/05/2017;1.50;1.61;1.44;1.54;1498250;79703600
04/05/2017;1.52;1.63;1.43;1.52;1700330;80983000
03/05/2017;1.70;1.73;1.49;1.52;1625630;90546600
02/05/2017;1.63;1.78;1.58;1.71;851062;86921500
01/05/2017;1.70;1.79;1.58;1.63;1355680;90482300
30/04/2017;1.71;1.95;1.60;1.69;2065690;91012000
29/04/2017;1.41;1.71;1.41;1.71;1164280;74728100
28/04/2017;1.46;1.51;1.33;1.40;1085370;77431200
