Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;10.16;10.16;9.54;10.09;750517;419084000
21/11/2017;9.59;10.56;9.23;10.16;1034350;395519000
20/11/2017;9.30;9.88;8.77;9.60;857171;383617000
19/11/2017;9.99;10.60;8.90;9.41;1100540;412303000
18/11/2017;9.27;10.12;9.21;10.02;1178710;382610000
17/11/2017;9.24;9.49;9.07;9.29;1079540;381126000
16/11/2017;8.97;9.56;8.85;9.27;1364430;369847000
15/11/2017;8.73;9.58;8.32;8.97;1501120;360301000
14/11/2017;8.51;9.51;8.44;8.70;1718440;351091000
13/11/2017;6.59;8.61;6.41;8.46;1563950;271870000
12/11/2017;6.31;7.00;5.68;6.60;668876;260111000
11/11/2017;6.14;6.48;5.79;6.31;612914;253262000
10/11/2017;6.41;7.00;5.92;6.19;716782;264378000
09/11/2017;5.08;7.77;5.05;6.40;1153120;209452000
08/11/2017;4.26;5.52;4.22;5.10;1049200;175816000
07/11/2017;4.10;4.21;3.78;4.21;468627;169330000
06/11/2017;3.74;4.26;3.59;4.10;447691;154088000
05/11/2017;3.79;3.81;3.46;3.80;297043;156422000
04/11/2017;3.65;3.86;3.37;3.79;403380;150624000
03/11/2017;3.34;3.75;3.28;3.68;313075;137824000
02/11/2017;3.67;3.72;3.10;3.26;369819;151214000
01/11/2017;3.79;3.96;3.39;3.66;446220;156431000
31/10/2017;3.49;3.91;3.42;3.80;368400;144053000
30/10/2017;3.33;3.76;3.31;3.48;326602;137266000
29/10/2017;3.37;3.66;3.28;3.34;206951;139055000
28/10/2017;3.77;3.83;3.37;3.37;188557;155476000
27/10/2017;3.60;3.78;3.24;3.74;276742;148459000
26/10/2017;4.09;4.33;3.60;3.60;398411;168695000
25/10/2017;3.26;4.54;3.21;4.09;249583;134470000
24/10/2017;3.12;3.67;2.91;3.26;330053;128527000
23/10/2017;2.85;3.25;2.59;3.12;267616;117522000
22/10/2017;3.05;3.07;2.68;2.85;284913;125973000
21/10/2017;3.00;3.26;2.74;3.05;256507;123901000
20/10/2017;3.17;3.40;2.93;3.01;339280;130887000
19/10/2017;3.16;3.17;2.95;3.16;271031;130250000
18/10/2017;3.05;3.17;2.82;3.16;316907;125730000
17/10/2017;3.24;3.73;1.93;3.05;323482;133715000
16/10/2017;3.36;4.10;3.13;3.26;320896;138715000
15/10/2017;3.12;3.39;2.91;3.36;208582;128709000
14/10/2017;3.12;3.20;2.99;3.11;265240;128523000
13/10/2017;3.14;3.29;2.94;3.11;265395;129429000
12/10/2017;3.13;3.20;2.58;3.14;317744;129079000
11/10/2017;3.10;3.26;2.87;3.13;269182;127721000
10/10/2017;2.71;3.13;2.28;3.09;400775;111928000
09/10/2017;2.57;2.79;2.15;2.71;292696;105866000
08/10/2017;2.47;2.67;2.38;2.57;224135;101938000
07/10/2017;2.74;2.80;2.49;2.49;270384;112867000
06/10/2017;2.83;3.05;2.58;2.74;336478;116669000
05/10/2017;2.35;2.91;2.31;2.83;333960;96751900
