Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;14.05;14.26;13.85;14.20;91778300;1035430000
21/11/2017;14.80;14.94;13.46;14.15;158550000;1090630000
20/11/2017;14.00;15.30;14.00;14.77;160773000;1031670000
19/11/2017;14.01;14.11;13.66;14.03;61181300;1032340000
18/11/2017;13.52;14.16;13.12;14.02;116168000;996077000
17/11/2017;12.83;13.37;12.55;13.37;109115000;945173000
16/11/2017;11.68;13.90;11.63;12.89;317008000;860619000
15/11/2017;11.54;11.74;11.50;11.72;43757700;849764000
14/11/2017;11.41;11.69;11.23;11.60;73833600;840602000
13/11/2017;11.10;11.51;11.09;11.42;73428300;817728000
12/11/2017;11.59;11.66;10.89;11.11;116105000;853805000
11/11/2017;11.30;12.17;11.30;11.65;113139000;832533000
10/11/2017;11.97;12.31;11.07;11.29;131906000;881364000
09/11/2017;11.88;12.45;11.73;11.94;116434000;874753000
08/11/2017;11.18;12.12;10.99;11.91;196034000;823231000
07/11/2017;10.32;11.45;10.32;11.21;122951000;760320000
06/11/2017;10.13;11.18;10.06;10.44;116937000;745802000
05/11/2017;10.04;10.43;9.96;10.13;49288500;739113000
04/11/2017;10.31;10.40;9.82;10.05;35477100;759110000
03/11/2017;9.77;10.42;9.70;10.38;55018600;719701000
02/11/2017;9.95;10.04;9.35;9.80;54501600;732691000
01/11/2017;10.41;10.41;9.92;9.93;26591700;766698000
31/10/2017;10.38;10.88;10.35;10.45;43306600;764029000
30/10/2017;10.39;10.48;10.29;10.39;21781900;765031000
29/10/2017;10.19;10.54;10.18;10.42;40119600;750443000
28/10/2017;10.33;10.38;10.18;10.21;23588200;760135000
27/10/2017;10.56;10.63;10.26;10.30;27344700;777594000
26/10/2017;10.66;10.79;10.45;10.57;26461700;784784000
25/10/2017;10.78;10.92;10.37;10.65;48104100;793779000
24/10/2017;9.96;11.46;9.52;10.76;118813000;733399000
23/10/2017;10.59;10.60;9.75;9.96;50654800;779244000
22/10/2017;10.97;11.06;10.56;10.63;33890300;807214000
21/10/2017;11.25;11.35;10.50;10.91;56075000;828306000
20/10/2017;12.10;15.12;11.19;11.30;304281000;890682000
19/10/2017;11.46;12.22;11.35;12.07;49308300;688986000
18/10/2017;12.04;12.04;10.78;11.49;53960300;710326000
17/10/2017;11.48;12.27;11.03;12.05;57046400;677311000
16/10/2017;10.46;11.65;10.23;11.49;37568400;616895000
15/10/2017;10.64;10.66;10.09;10.44;22057700;627948000
14/10/2017;11.26;11.45;10.62;10.63;17709400;664129000
13/10/2017;11.30;11.30;10.31;11.25;44760500;666714000
12/10/2017;12.13;12.21;11.29;11.29;31335300;715782000
11/10/2017;12.04;12.29;11.87;12.13;28771600;710230000
10/10/2017;12.04;12.54;11.55;12.08;50232800;710536000
09/10/2017;11.14;12.49;10.96;12.07;57974000;657304000
08/10/2017;11.96;12.11;11.14;11.14;34305900;705791000
07/10/2017;11.67;11.94;11.51;11.94;19498800;688284000
06/10/2017;11.87;11.91;11.50;11.69;23341500;700544000
05/10/2017;11.60;11.98;10.82;11.86;67610800;684358000
04/10/2017;12.16;12.28;11.51;11.63;77387000;717223000
03/10/2017;11.91;12.12;10.78;12.12;95756400;702872000
02/10/2017;12.36;12.38;11.43;11.88;69789000;729062000
01/10/2017;11.59;12.61;11.58;12.34;162762000;683566000
30/09/2017;9.77;11.65;9.75;11.59;141320000;576371000
29/09/2017;9.96;10.00;9.15;9.77;79526300;587845000
28/09/2017;9.95;10.10;9.06;9.93;95333300;586983000
27/09/2017;9.37;9.90;9.35;9.90;59847700;552811000
26/09/2017;9.38;10.30;9.17;9.34;104988000;553598000
25/09/2017;8.03;9.60;8.03;9.36;82385100;473818000
24/09/2017;8.10;8.28;7.79;8.04;28266800;477945000
23/09/2017;7.70;8.21;7.48;8.11;40760800;454162000
22/09/2017;7.34;7.91;7.27;7.68;42861600;433000000
21/09/2017;8.77;8.81;7.34;7.38;38239000;517612000
20/09/2017;8.92;9.05;8.47;8.79;38916900;526414000
19/09/2017;9.65;9.70;8.75;8.91;66250600;569633000
18/09/2017;8.31;10.51;8.31;9.62;167586000;490417000
17/09/2017;8.19;8.79;7.59;8.27;69847200;482927000
16/09/2017;8.49;8.97;7.44;8.25;97992200;500809000
15/09/2017;7.72;9.31;5.91;8.47;242984000;455212000
14/09/2017;11.94;12.18;7.60;7.60;137040000;704415000
13/09/2017;13.45;13.53;11.60;11.94;185348000;793825000
12/09/2017;14.38;15.31;12.86;13.51;156187000;848364000
11/09/2017;12.64;14.79;12.55;14.28;165283000;745787000
10/09/2017;13.27;13.34;11.38;12.78;172687000;783150000
09/09/2017;13.40;13.63;12.46;13.32;99008100;790322000
08/09/2017;14.74;16.07;12.44;13.50;294169000;869878000
07/09/2017;11.40;14.77;10.69;14.74;195986000;672888000
06/09/2017;11.73;12.49;10.34;11.40;141347000;691921000
05/09/2017;11.07;12.07;8.77;11.71;218917000;653177000
04/09/2017;15.29;15.44;10.22;10.98;161203000;902407000
03/09/2017;16.41;16.74;14.19;15.29;98105400;967971000
02/09/2017;18.26;19.06;15.51;16.39;123479000;1077370000
01/09/2017;17.30;18.47;16.94;18.26;73618500;1020980000
31/08/2017;16.72;18.08;16.69;17.30;76872500;986295000
30/08/2017;19.05;19.05;14.58;16.84;145512000;1124200000
29/08/2017;16.28;20.04;16.28;19.15;216784000;960486000
28/08/2017;15.66;16.35;14.86;16.24;82850200;923722000
27/08/2017;15.42;15.86;14.74;15.70;56474400;909788000
26/08/2017;13.26;15.89;12.97;15.41;88172500;782374000
25/08/2017;13.75;13.85;12.85;13.32;26327100;811035000
24/08/2017;11.87;14.13;11.64;13.78;72955500;700167000
23/08/2017;11.05;12.47;11.04;11.90;36722000;651839000
22/08/2017;11.20;11.41;10.17;11.06;25086300;660585000
21/08/2017;11.80;11.87;10.82;11.23;29380800;696434000
20/08/2017;11.54;12.35;10.82;11.79;40638800;680885000
19/08/2017;11.62;12.36;9.69;11.64;54327300;685316000
18v08/2017;13.09;13.09;11.00;11.63;43226400;772302000
17/08/2017;14.36;14.37;12.82;13.06;50489100;847017000
16/08/2017;14.67;15.42;14.15;14.35;59126000;865463000
15/08/2017;15.01;15.30;13.83;14.68;62353100;885415000
14/08/2017;15.10;17.16;14.36;15.06;103750000;890836000
13/08/2017;13.92;15.84;12.79;15.17;75650500;821280000
12/08/2017;14.73;15.47;12.85;13.90;59321200;868962000
11/08/2017;15.63;16.36;14.33;14.73;91215900;922433000
10/08/2017;12.55;16.99;12.42;15.77;133259000;740715000
09/08/2017;11.49;12.63;11.07;12.55;52016000;677866000
08/08/2017;12.64;12.74;10.84;11.50;63155600;746010000
07/08/2017;10.03;12.84;9.88;12.65;95630200;591790000
06/08/2017;9.34;10.83;9.08;10.07;54977800;550855000
05/08/2017;8.22;9.52;7.80;9.38;42482900;484803000
04/08/2017;7.68;8.71;7.68;8.22;31879600;452969000
03/08/2017;6.42;7.86;6.17;7.65;30278900;378741000
02/08/2017;6.56;6.69;6.32;6.43;11978000;387234000
01/08/2017;6.12;6.67;5.74;6.49;20864300;361165000
31/07/2017;5.53;6.36;5.43;6.12;13123400;326029000
30/07/2017;5.77;5.84;5.46;5.53;3168030;340554000
29/07/2017;5.80;5.86;5.38;5.78;5188990;342217000
28/07/2017;6.23;6.31;5.74;5.75;7599310;367403000
27/07/2017;6.29;6.42;6.02;6.21;10757800;370867000
26/07/2017;6.14;6.49;5.28;6.26;20824500;362203000
25/07/2017;7.31;7.61;5.68;6.13;22782500;372639000
24/07/2017;6.67;7.30;6.46;7.26;12601300;339927000
23/07/2017;7.55;7.62;6.14;6.64;23752700;385277000
22/07/2017;7.81;7.99;7.48;7.52;16650500;398441000
21/07/2017;7.84;9.15;7.01;7.84;48210600;399824000
20/07/2017;5.69;7.68;5.69;7.59;33148900;289993000
19/07/2017;5.18;6.62;4.79;5.62;29526300;264087000
18/07/2017;4.41;5.35;4.27;5.18;16788400;224792000
17/07/2017;3.91;4.47;3.91;4.38;7531300;199276000
16/07/2017;3.93;4.24;3.71;3.93;5467430;200412000
15/07/2017;4.54;4.55;3.86;3.88;6403170;231785000
14/07/2017;5.11;5.18;4.47;4.53;6385700;260726000
13/07/2017;5.65;6.12;5.02;5.11;8076010;288266000
12/07/2017;4.67;5.69;4.36;5.59;11808500;0
11/07/2017;5.23;5.42;3.89;4.82;11515200;0
10/07/2017;6.42;6.75;5.03;5.38;5648270;0
09/07/2017;6.91;7.58;6.35;6.36;6985260;0
08/07/2017;6.90;7.11;5.64;6.86;12481200;0
07/07/2017;8.73;8.75;6.67;6.87;7176910;0
06/07/2017;8.44;9.35;7.95;8.75;13670300;0
05/07/2017;9.33;9.33;7.96;8.30;8151290;0
04/07/2017;9.24;9.94;8.92;9.27;8178690;0
03/07/2017;9.33;10.08;8.56;9.19;15403500;0
02/07/2017;10.41;10.41;8.18;9.45;23967300;0
01/07/2017;11.96;12.12;10.37;10.39;10832000;0
30/06/2017;12.46;12.57;11.66;12.03;14022600;0
29/06/2017;14.09;14.09;12.33;12.48;18516000;0
28/06/2017;14.68;15.68;12.97;13.83;40650500;0
27/06/2017;12.27;15.19;11.94;14.47;42563100;0
26/06/2017;14.96;14.96;10.64;12.61;25803900;0
25/06/2017;16.34;16.70;14.36;14.92;22702400;0
24/06/2017;16.80;18.85;16.02;16.35;34660100;0
23/06/2017;12.13;18.58;11.97;16.99;66737400;0
22/06/2017;11.92;12.45;11.74;12.10;16740600;0
21/06/2017;11.40;12.55;11.38;11.83;10464200;0
20/06/2017;10.57;12.88;10.44;11.49;22123200;0
19/06/2017;10.49;11.30;10.26;10.59;12893100;0
18/06/2017;11.25;11.29;10.40;10.58;5475110;0
17/06/2017;11.24;11.45;11.02;11.25;6961310;0
16/06/2017;11.11;11.73;10.69;11.29;7179610;0
15/06/2017;11.80;11.80;9.80;11.11;13740900;0
14/06/2017;12.40;13.01;11.29;11.77;18671800;0
13/06/2017;11.06;12.52;10.97;12.42;16198200;0
12/06/2017;11.77;11.82;10.87;10.96;8663550;0
11/06/2017;11.36;12.23;11.10;11.76;11384700;0
10/06/2017;11.75;12.10;11.12;11.33;14370200;0
09/06/2017;12.35;13.12;11.30;11.74;14694100;0
08/06/2017;10.92;12.54;10.26;12.35;12978300;0
07/06/2017;11.57;11.86;10.93;10.97;6104140;0
06/06/2017;10.98;12.02;10.17;11.50;11135000;0
05/06/2017;12.13;12.58;10.88;11.17;10290000;0
04/06/2017;12.73;12.78;11.34;12.15;15253900;0
03/06/2017;13.17;13.70;11.39;12.54;39565100;0
02/06/2017;7.86;13.60;7.86;13.46;54232400;0
01/06/2017;4.86;8.37;4.78;7.79;28193200;0
31/05/2017;4.61;4.88;4.50;4.86;3011070;0
30/05/2017;4.62;5.07;4.53;4.65;2836480;0
29/05/2017;4.64;4.88;4.36;4.60;2205420;0
28/05/2017;4.86;5.06;4.19;4.62;4353380;0
27/05/2017;4.05;4.53;3.19;4.53;7046840;0
26/05/2017;4.66;5.33;3.39;4.10;5116020;0
25/05/2017;6.19;6.29;4.57;4.66;6211020;0
24/05/2017;6.42;6.76;5.68;6.19;11221600;0
