Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;0.232642;0.240848;0.232317;0.238859;167078000;8985300000
21/11/2017;0.237978;0.240974;0.227200;0.233271;217851000;9191390000
20/11/2017;0.231336;0.243430;0.230917;0.238759;214663000;8934850000
19/11/2017;0.228140;0.236231;0.226037;0.231016;193808000;8811410000
18/11/2017;0.226547;0.230399;0.222399;0.228627;144298000;8749900000
17/11/2017;0.224768;0.239409;0.220273;0.226581;397071000;8681190000
16/11/2017;0.212655;0.271790;0.209287;0.227107;1022580000;8213360000
15/11/2017;0.208937;0.213105;0.208058;0.212956;100294000;8069730000
14/11/2017;0.203679;0.213693;0.203679;0.209825;127361000;7866670000
13/11/2017;0.197472;0.204081;0.197456;0.203442;132567000;7608890000
12/11/2017;0.210214;0.210214;0.195389;0.197339;251175000;8099860000
11/11/2017;0.205948;0.214456;0.205459;0.210430;134503000;7935490000
10/11/2017;0.218256;0.219068;0.205260;0.206483;141033000;8409740000
09/11/2017;0.217911;0.221791;0.214866;0.217488;147917000;8396440000
08/11/2017;0.210675;0.221458;0.208060;0.217437;156959000;8117620000
07/11/2017;0.205103;0.211375;0.203978;0.210354;114073000;7902920000
06/11/2017;0.201967;0.208662;0.201410;0.205990;102233000;7782080000
05/11/2017;0.203274;0.205124;0.201117;0.202055;46959000;7832450000
04/11/2017;0.208083;0.208479;0.202133;0.203750;74013200;8017770000
03/11/2017;0.206205;0.228026;0.201728;0.208133;373402000;7945410000
02/11/2017;0.194596;0.211848;0.183815;0.205861;197770000;7498090000
01/11/2017;0.200247;0.201501;0.193613;0.194124;67921000;7715840000
31/10/2017;0.202405;0.203778;0.200461;0.200558;43875700;7798990000
30/10/2017;0.203076;0.204135;0.201946;0.202711;34835100;7824820000
29/10/2017;0.201358;0.205209;0.200075;0.202785;62511100;7758640000
28/10/2017;0.202592;0.203476;0.201401;0.201835;26864900;7806200000
27/10/2017;0.203668;0.204492;0.201771;0.202785;29623000;7847650000
26/10/2017;0.204444;0.206289;0.202660;0.203628;38193100;7877530000
25/10/2017;0.207113;0.208237;0.201803;0.204604;75017500;7980370000
24/10/2017;0.195567;0.217508;0.190455;0.206644;220081000;7535480000
23/10/2017;0.203504;0.203919;0.190729;0.196928;99914800;7841330000
22/10/2017;0.210958;0.211901;0.200722;0.204177;75849500;8128520000
21/10/2017;0.210189;0.212381;0.200774;0.211016;116807000;8098920000
20/10/2017;0.215086;0.223822;0.208754;0.210549;182704000;8287600000
19/10/2017;0.218229;0.231790;0.208317;0.215150;304542000;8408710000
18/10/2017;0.231216;0.238150;0.207265;0.218520;354225000;8909100000
17/10/2017;0.256098;0.263147;0.222939;0.232064;411265000;9867860000
16/10/2017;0.263386;0.291359;0.249010;0.256232;963158000;10148700000
15/10/2017;0.257537;0.268419;0.249048;0.263983;280211000;9923310000
14/10/2017;0.261150;0.267721;0.257320;0.257320;211160000;10062500000
13/10/2017;0.248285;0.264250;0.238867;0.260489;398689000;9583920000
12/10/2017;0.265046;0.267468;0.248414;0.248414;245004000;10230900000
11/10/2017;0.260658;0.267843;0.259080;0.264439;161206000;10061500000
10/10/2017;0.252825;0.266560;0.241193;0.260733;384049000;9758310000
09/10/2017;0.278758;0.278758;0.240430;0.251825;610110000;10759300000
08/10/2017;0.238312;0.279944;0.237532;0.279944;529838000;9198180000
07/10/2017;0.233963;0.239336;0.233478;0.238610;77950200;9030320000
06/10/2017;0.237726;0.242424;0.233533;0.234039;167492000;9115310000
05/10/2017;0.215583;0.241023;0.215583;0.237016;404299000;8266280000
04/10/2017;0.203218;0.217024;0.202647;0.214774;123573000;7792170000
03/10/2017;0.203209;0.204808;0.198730;0.203318;48703100;7791820000
02/10/2017;0.206077;0.206556;0.199444;0.202676;77412300;7901790000
01/10/2017;0.197622;0.207185;0.196170;0.206532;51345500;7577590000
