Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;3.69;3.76;3.48;3.67;4335110;180485000
21/11/2017;3.75;3.81;3.46;3.66;4021460;183684000
20/11/2017;3.63;3.85;3.53;3.74;5253100;177773000
19/11/2017;3.94;4.03;3.36;3.57;7020010;192781000
18/11/2017;3.37;4.06;3.34;3.95;4922050;164922000
17/11/2017;3.56;3.74;3.24;3.37;4069920;173996000
16/11/2017;3.82;3.90;3.50;3.59;5030580;187189000
15/11/2017;3.88;3.98;3.76;3.84;4302840;190015000
14/11/2017;3.96;4.08;3.74;3.87;4635890;194348000
13/11/2017;3.45;3.97;3.45;3.95;4445720;161456000
12/11/2017;3.88;3.89;2.92;3.42;5216980;181196000
11/11/2017;3.78;4.37;3.71;3.89;6157120;176728000
10/11/2017;4.14;4.26;3.59;3.81;6291400;193321000
09/11/2017;3.66;4.24;3.48;4.19;10186400;171178000
08/11/2017;3.13;4.09;2.94;3.67;10930800;146252000
07/11/2017;2.79;3.26;2.79;3.14;6463600;130316000
06/11/2017;2.59;3.06;2.48;2.84;6400980;121071000
05/11/2017;2.35;2.64;2.35;2.60;3216540;110083000
04/11/2017;2.57;2.68;2.34;2.34;3843900;120223000
03/11/2017;2.30;2.70;2.22;2.58;4608760;107618000
02/11/2017;2.26;2.61;2.16;2.30;4052270;105729000
01/11/2017;2.66;2.67;2.14;2.25;4220950;124172000
31/10/2017;2.68;2.90;2.59;2.65;4393950;125514000
30/10/2017;2.95;2.99;2.65;2.71;3316740;138111000
29/10/2017;2.85;3.07;2.78;2.97;3768150;133098000
28/10/2017;2.94;3.03;2.77;2.85;3545970;137541000
27/10/2017;3.04;3.10;2.89;2.92;3240800;142242000
26/10/2017;3.27;3.36;2.95;3.04;5668710;152880000
25/10/2017;3.05;3.32;2.81;3.29;6644420;142405000
24/10/2017;3.06;3.45;2.85;3.05;6991420;143132000
23/10/2017;3.56;3.84;2.75;3.07;13532400;166425000
22/10/2017;2.51;3.47;2.51;3.47;5401130;117315000
21/10/2017;2.75;2.81;2.40;2.53;5154440;150237000
20/10/2017;2.97;3.02;2.61;2.76;4634470;162640000
19/10/2017;2.96;3.04;2.89;2.98;3695910;161803000
18/10/2017;3.08;3.19;2.74;2.96;4956180;168367000
17/10/2017;3.46;3.51;2.86;3.05;6084920;189382000
16/10/2017;3.00;4.08;2.84;3.43;5613960;164118000
15/10/2017;2.94;3.17;2.70;2.96;1371840;160713000
14/10/2017;3.27;3.44;2.88;2.95;1515720;178682000
13/10/2017;3.58;3.58;2.84;3.26;2599040;195851000
12/10/2017;3.86;3.87;3.17;3.59;2160950;210884000
11/10/2017;3.33;4.04;3.27;3.83;3229530;181908000
10/10/2017;3.05;3.34;2.74;3.32;2384720;166755000
09/10/2017;3.45;3.49;3.03;3.07;2942420;188748000
08/10/2017;3.35;3.79;3.24;3.47;2501230;182975000
07/10/2017;3.98;3.98;3.09;3.33;3388420;217867000
06/10/2017;4.22;4.54;3.77;4.05;2282420;230475000
05/10/2017;4.25;4.28;3.77;4.19;3646930;232177000
04/10/2017;5.40;5.41;3.88;4.24;4136630;198035000
03/10/2017;6.52;6.60;4.94;5.41;5546400;238819000
02/10/2017;7.27;7.39;6.38;6.53;13543300;247626000
01/10/2017;5.78;7.69;4.92;7.28;15741400;191963000
30/09/2017;4.18;6.29;4.18;5.68;6410870;32679300
29/09/2017;6.91;8.48;3.52;4.34;4174650;53970200
