Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;0.887593;1.20;0.887593;1.01;17039100;219024000
21/11/2017;0.906709;0.931927;0.861888;0.891775;1054310;223686000
20/11/2017;0.909170;0.933533;0.894166;0.908268;957215;224234000
19/11/2017;0.916248;0.934246;0.891957;0.911719;923674;225894000
18/11/2017;0.898064;0.946060;0.878782;0.917951;791665;221301000
17/11/2017;0.925367;0.943445;0.872433;0.894508;994977;227969000
16/11/2017;0.956527;0.959742;0.903621;0.925460;1219280;235649000
15/11/2017;0.940384;0.979902;0.924597;0.951673;1115710;231698000
14/11/2017;0.922614;0.975690;0.906125;0.940148;1109360;227275000
13/11/2017;0.837323;0.939477;0.828150;0.922813;1651660;206137000
12/11/2017;0.931650;0.931650;0.792410;0.828760;1826970;229228000
11/11/2017;0.883401;0.942428;0.863185;0.921045;1356190;217299000
10/11/2017;0.974021;1.02;0.860292;0.880470;1659390;239643000
09/11/2017;0.940783;1.10;0.919496;0.988873;2512220;231449000
08/11/2017;0.862364;0.955340;0.862364;0.954058;1301880;212095000
07/11/2017;0.857132;0.918161;0.840616;0.863570;928998;210706000
06/11/2017;0.883579;0.906000;0.849599;0.857927;849436;217146000
05/11/2017;0.907709;0.944066;0.864680;0.873104;723016;223024000
04/11/2017;0.938682;0.965657;0.893071;0.910312;672802;230573000
03/11/2017;0.865200;0.961438;0.850508;0.941065;1158030;212338000
02/11/2017;0.884517;0.907249;0.808724;0.881441;1407280;216921000
01/11/2017;0.941229;0.960598;0.854941;0.883963;1379960;230762000
31/10/2017;0.961082;0.996804;0.942736;0.943716;820424;235556000
30/10/2017;0.966413;0.993774;0.954415;0.970985;732532;236803000
29/10/2017;0.945126;1.04;0.939054;0.972884;978812;231519000
28/10/2017;0.991652;1.01;0.927472;0.941843;643861;242821000
27/10/2017;0.974958;1.00;0.945824;0.989806;601412;238670000
26/10/2017;0.998002;1.03;0.937540;0.963551;880426;244303000
25/10/2017;0.994744;1.03;0.896649;0.998517;861748;243448000
24/10/2017;0.930480;1.07;0.898789;0.993993;1412570;227660000
23/10/2017;0.974869;0.988070;0.880831;0.926321;787480;238354000
22/10/2017;0.972041;1.03;0.939994;0.974535;789056;237509000
21/10/2017;0.999598;1.02;0.893548;0.974472;1126320;244149000
20/10/2017;1.09;1.13;0.993585;1.02;1432670;265725000
19/10/2017;1.07;1.09;1.00;1.09;1097510;260926000
18/10/2017;1.06;1.11;0.971589;1.07;2096890;258858000
17/10/2017;1.05;1.09;1.01;1.06;1075570;255345000
16/10/2017;1.07;1.08;1.01;1.05;1007190;261830000
15/10/2017;1.07;1.10;0.998666;1.08;815724;260032000
14/10/2017;1.03;1.18;1.01;1.06;1055690;252178000
13/10/2017;1.04;1.04;0.967398;1.03;1611520;253519000
12/10/2017;1.10;1.12;1.01;1.04;1717420;267692000
11/10/2017;1.03;1.12;1.03;1.10;1468260;251379000
10/10/2017;1.07;1.13;1.02;1.03;1168220;260164000
