Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;0.037669;0.042299;0.037566;0.042299;13859400;667261000
21/11/2017;0.038127;0.039060;0.036212;0.037668;9113270;675367000
20/11/2017;0.036619;0.039783;0.036174;0.038121;13726200;648715000
19/11/2017;0.036482;0.039945;0.036039;0.036566;17796700;646281000
18/11/2017;0.035494;0.036583;0.034652;0.036583;6979350;628776000
17/11/2017;0.037144;0.037293;0.034894;0.035572;11612900;658006000
16/11/2017;0.036987;0.037897;0.034634;0.037234;20597200;655235000
15/11/2017;0.036471;0.037343;0.034680;0.037053;28206500;604993000
14/11/2017;0.030610;0.037129;0.030382;0.036374;18880900;507761000
13/11/2017;0.028115;0.031968;0.028041;0.030656;11245700;466386000
12/11/2017;0.032965;0.033334;0.027469;0.028182;17002300;546827000
11/11/2017;0.033083;0.035830;0.031881;0.033053;17914400;548787000
10/11/2017;0.039833;0.039833;0.031366;0.033073;32634200;660767000
09/11/2017;0.033792;0.040380;0.033744;0.039946;32813200;560545000
08/11/2017;0.030657;0.035266;0.029160;0.033763;39618700;508549000
07/11/2017;0.028874;0.032871;0.028874;0.030699;30855800;478974000
06/11/2017;0.026694;0.029117;0.026422;0.028880;12830800;442813000
05/11/2017;0.027244;0.027869;0.026324;0.026765;8898200;451932000
04/11/2017;0.027829;0.028660;0.026961;0.027294;10822300;461640000
03/11/2017;0.027498;0.028573;0.025540;0.027779;18470900;456146000
02/11/2017;0.027025;0.028644;0.023969;0.027607;34417400;448293000
01/11/2017;0.029387;0.030124;0.027213;0.027353;14361700;487471000
31/10/2017;0.031606;0.031815;0.028622;0.029182;16918000;524277000
30/10/2017;0.030731;0.032085;0.029874;0.031804;14186100;509767000
29/10/2017;0.031104;0.033389;0.029866;0.030331;22646700;515949000
28/10/2017;0.034284;0.034615;0.030938;0.031038;8887170;568695000
27/10/2017;0.034680;0.035061;0.033246;0.034236;15974900;575271000
26/10/2017;0.035246;0.037127;0.034463;0.034546;23633200;584651000
25/10/2017;0.036433;0.037877;0.034006;0.035004;35434500;604354000
24/10/2017;0.034466;0.042909;0.033463;0.036649;73178900;571714000
23/10/2017;0.031206;0.036949;0.030019;0.033832;43494400;517635000
22/10/2017;0.036487;0.037668;0.030483;0.031269;56070400;605233000
21/10/2017;0.027343;0.038015;0.024250;0.036429;60801200;453565000
20/10/2017;0.031246;0.032652;0.025472;0.026756;35088200;518303000
19/10/2017;0.035176;0.035356;0.029638;0.031195;41683000;583492000
18/10/2017;0.045810;0.045930;0.033016;0.035133;66483500;759890000
17/10/2017;0.036511;0.046700;0.035483;0.045842;146372000;605629000
16/10/2017;0.018929;0.049123;0.018683;0.036865;291627000;313995000
15/10/2017;0.017291;0.019049;0.016837;0.018925;9059430;286809000
14/10/2017;0.018017;0.019165;0.017522;0.017522;5671720;298861000
13/10/2017;0.017650;0.018663;0.017365;0.017960;10486000;292768000
12/10/2017;0.019498;0.019869;0.017362;0.017784;14626800;323428000
11/10/2017;0.018870;0.020072;0.018239;0.019450;12189100;313004000
10/10/2017;0.017440;0.018953;0.016589;0.018953;11082800;289284000
09/10/2017;0.018800;0.022022;0.016326;0.017601;29343800;311848000
08/10/2017;0.020691;0.022042;0.018229;0.018598;23922100;343218000
07/10/2017;0.018443;0.024591;0.018443;0.020959;56853100;305922000
06/10/2017;0.014657;0.019193;0.014657;0.018403;24002100;243125000
05/10/2017;0.011881;0.015283;0.011736;0.014576;9616220;197068000
04/10/2017;0.012469;0.012537;0.011573;0.011851;1670080;206833000
03/10/2017;0.012948;0.012948;0.011327;0.012403;2577540;214765000
02/10/2017;0.013697;0.013734;0.012638;0.012962;2362700;227204000
01/10/2017;0.013813;0.013864;0.013383;0.013688;1534340;229128000
30/09/2017;0.013162;0.013945;0.013142;0.013858;1668730;218327000
29/09/2017;0.013816;0.013877;0.012906;0.013204;1967140;229178000
28/09/2017;0.014316;0.014562;0.013549;0.013863;2978100;237469000
