Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;3.48;3.75;3.46;3.73;8231210;343618000
21/11/2017;3.49;3.88;3.27;3.46;10210100;344218000
20/11/2017;3.45;3.54;3.42;3.48;6356620;340139000
19/11/2017;3.50;3.71;3.40;3.46;9062750;344757000
18/11/2017;3.37;3.53;3.29;3.50;6673990;332566000
17/11/2017;3.30;3.57;3.22;3.36;7115310;325909000
16/11/2017;3.74;3.75;3.27;3.31;9418140;369318000
15/11/2017;3.60;3.83;3.49;3.73;11132600;354607000
14/11/2017;3.24;3.71;3.24;3.61;11279900;319047000
13/11/2017;2.87;3.27;2.86;3.22;6844240;282633000
12/11/2017;3.30;3.30;2.72;2.88;7494210;325278000
11/11/2017;3.17;3.37;3.01;3.30;6948770;312651000
10/11/2017;3.75;3.84;3.00;3.20;9130380;370129000
09/11/2017;3.54;3.90;3.53;3.75;11101300;348838000
08/11/2017;3.01;3.76;2.91;3.53;16903800;297266000
07/11/2017;3.01;3.05;2.93;3.02;4708950;296727000
06/11/2017;3.04;3.14;2.97;3.01;7091170;300055000
05/11/2017;3.00;3.15;2.89;3.04;6526060;295342000
04/11/2017;3.12;3.26;2.94;2.99;7783710;307484000
03/11/2017;2.84;3.29;2.70;3.13;10273500;279668000
02/11/2017;3.04;3.16;2.41;2.88;21011000;299839000
01/11/2017;3.36;3.40;3.04;3.08;9835120;331704000
31/10/2017;3.79;3.79;3.31;3.36;13957800;373355000
30/10/2017;4.08;4.53;3.76;3.82;13256800;402732000
29/10/2017;4.26;4.51;4.03;4.04;13787600;420386000
28/10/2017;4.39;4.61;4.21;4.29;9976150;432962000
27/10/2017;4.43;4.76;4.19;4.40;14107600;436841000
26/10/2017;4.96;5.04;3.98;4.39;30372000;488616000
25/10/2017;4.04;5.04;3.81;4.92;27633500;398709000
24/10/2017;3.35;4.03;3.23;4.00;17175100;330667000
23/10/2017;3.15;3.76;3.08;3.38;21784500;310956000
22/10/2017;3.04;3.39;2.87;3.15;9563480;299843000
21/10/2017;2.99;3.18;2.67;3.02;6529230;294448000
20/10/2017;3.09;3.29;2.94;2.96;7724320;304362000
19/10/2017;3.22;3.34;3.04;3.09;7054550;317024000
18/10/2017;3.06;3.36;2.90;3.22;14079200;301767000
17/10/2017;2.98;3.07;2.87;3.06;6242700;293352000
16/10/2017;3.01;3.09;2.80;2.98;6688310;296889000
15/10/2017;2.86;3.06;2.76;3.01;6180240;282387000
14/10/2017;3.14;3.14;2.70;2.85;7843710;309165000
13/10/2017;3.13;3.34;3.00;3.14;8455320;308920000
12/10/2017;3.52;3.52;3.12;3.12;8527240;346797000
11/10/2017;3.41;3.59;3.40;3.51;4683540;335756000
10/10/2017;3.36;3.57;3.32;3.40;4880590;331471000
