Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;1.86;1.95;1.84;1.91;3539160;195042000
21/11/2017;1.98;2.05;1.70;1.87;6465280;206906000
20/11/2017;1.67;2.35;1.66;1.99;17108600;174402000
19/11/2017;1.71;1.73;1.63;1.67;2376050;178982000
18/11/2017;1.64;1.75;1.58;1.71;2325690;171429000
17/11/2017;1.64;1.67;1.56;1.64;2184110;171594000
16/11/2017;1.66;1.71;1.60;1.65;2465150;173477000
15/11/2017;1.69;1.73;1.62;1.64;2120990;177381000
14/11/2017;1.64;1.71;1.57;1.71;1972060;171936000
13/11/2017;1.54;1.69;1.53;1.64;1939190;160912000
12/11/2017;1.68;1.70;1.41;1.54;2781570;176060000
11/11/2017;1.73;1.82;1.69;1.70;1556640;181557000
10/11/2017;1.99;2.08;1.66;1.74;3848040;208425000
09/11/2017;1.90;2.04;1.83;1.98;3661920;199379000
08/11/2017;1.69;1.99;1.63;1.90;3642740;176875000
07/11/2017;1.60;1.73;1.59;1.70;1840750;167903000
06/11/2017;1.63;1.66;1.55;1.60;1778150;170162000
05/11/2017;1.64;1.67;1.55;1.61;1473870;172007000
04/11/2017;1.72;1.72;1.62;1.64;1288170;179649000
03/11/2017;1.54;1.81;1.54;1.73;3130570;161099000
02/11/2017;1.51;1.57;1.41;1.54;3165970;158432000
01/11/2017;1.78;1.79;1.52;1.52;3436630;186362000
31/10/2017;1.77;1.84;1.75;1.78;1749920;185261000
30/10/2017;1.71;1.82;1.69;1.78;1515540;178539000
29/10/2017;1.73;1.81;1.70;1.71;1600250;181261000
28/10/2017;1.81;1.83;1.72;1.73;877822;189057000
27/10/2017;1.80;1.84;1.74;1.80;1353430;187876000
26/10/2017;1.81;1.95;1.76;1.79;1999040;189557000
25/10/2017;1.88;1.92;1.75;1.82;1537370;196494000
24/10/2017;1.70;1.97;1.65;1.87;3257940;177877000
23/10/2017;1.76;1.79;1.62;1.70;1626990;184311000
22/10/2017;1.79;1.85;1.72;1.78;1364770;187671000
21/10/2017;1.80;1.82;1.66;1.79;1803770;187989000
20/10/2017;1.94;2.02;1.76;1.76;2239300;203351000
19/10/2017;1.98;2.08;1.90;1.95;2116140;207425000
18/10/2017;1.86;2.01;1.80;1.99;3166310;194536000
17/10/2017;1.93;1.95;1.79;1.85;1935210;202485000
16/10/2017;1.93;1.98;1.81;1.93;1765220;202249000
15/10/2017;1.91;1.99;1.79;1.93;2014170;199668000
14/10/2017;1.96;2.00;1.84;1.90;1953950;205649000
13/10/2017;2.07;2.07;1.93;1.97;3008780;216959000
12/10/2017;2.19;2.25;2.01;2.07;3646780;229278000
11/10/2017;2.03;2.27;1.98;2.19;3066290;212143000
10/10/2017;1.87;2.06;1.85;2.04;2615710;196224000
09/10/2017;1.87;2.03;1.81;1.88;3114140;196112000
08/10/2017;2.12;2.13;1.84;1.88;3127350;221967000
07/10/2017;2.18;2.19;2.06;2.13;1399150;228600000
06/10/2017;2.13;2.31;2.11;2.19;1841650;222831000
05/10/2017;2.19;2.20;1.95;2.12;2960440;229425000
04/10/2017;2.37;2.38;2.11;2.19;2734090;247936000
03/10/2017;2.42;2.49;2.25;2.36;2411880;252767000
02/10/2017;2.73;2.75;2.41;2.42;3960140;286130000
01/10/2017;2.70;2.80;2.57;2.73;3566410;282157000
30/09/2017;2.50;2.71;2.49;2.69;2678700;262043000
29/09/2017;2.75;2.75;2.35;2.50;4474950;288115000
28/09/2017;3.08;3.11;2.56;2.78;8056480;322714000
27/09/2017;2.50;3.10;2.50;3.09;9783940;261987000
26/09/2017;2.32;2.73;2.29;2.51;8809800;243071000
25/09/2017;2.07;2.45;2.05;2.32;5107580;216610000
24/09/2017;2.09;2.16;2.01;2.06;2556770;218457000
23/09/2017;2.01;2.24;1.95;2.08;5925450;210564000
22/09/2017;1.61;2.41;1.58;2.01;20251500;168761000
21/09/2017;1.87;1.87;1.55;1.61;3126050;195509000
20/09/2017;1.98;2.01;1.80;1.87;3408460;206955000
19/09/2017;2.19;2.20;1.92;1.98;3948150;229159000
18/09/2017;2.06;2.33;2.06;2.18;3764930;215784000
17/09/2017;2.16;2.18;1.93;2.06;1812480;226442000
16/09/2017;2.22;2.27;1.97;2.17;3924690;232609000
15/09/2017;1.73;2.22;1.34;2.22;7176660;180783000
14/09/2017;2.34;2.37;1.73;1.74;5434480;244994000
13/09/2017;2.51;2.54;2.17;2.33;4374450;262647000
12/09/2017;2.56;2.86;2.46;2.53;6993150;268266000
11/09/2017;2.60;2.65;2.48;2.55;3785740;272602000
10/09/2017;2.68;2.72;2.37;2.57;5583990;280382000
09/09/2017;2.76;2.88;2.57;2.67;5556020;288553000
08/09/2017;3.18;3.42;2.55;2.73;11828700;333047000
07/09/2017;2.96;3.21;2.86;3.18;10850500;309338000
06/09/2017;2.93;3.19;2.74;2.97;13894900;306395000
05/09/2017;2.76;3.04;2.29;2.92;15330600;288672000
04/09/2017;3.53;3.53;2.33;2.75;25177900;369749000
03/09/2017;3.62;3.64;3.27;3.53;13885000;378656000
02/09/2017;4.00;4.00;3.43;3.60;17736200;419080000
01/09/2017;4.28;4.33;3.90;4.00;19597000;447541000
31/08/2017;4.34;4.37;4.10;4.27;18249400;453775000
30/08/2017;4.21;4.55;3.77;4.35;38732600;441133000
29/08/2017;3.78;4.59;3.75;4.23;55100500;395328000
28/08/2017;3.62;3.97;3.47;3.77;19053600;379165000
27/08/2017;3.69;3.71;3.53;3.60;9396920;386403000
26/08/2017;3.52;3.79;3.40;3.70;13238500;368018000
25/08/2017;3.63;3.66;3.44;3.48;10738900;380408000
24/08/2017;3.63;3.77;3.48;3.61;13663200;379566000
23/08/2017;3.55;3.86;3.55;3.61;16820800;371462000
22/08/2017;3.64;3.72;3.21;3.53;15464100;380944000
21/08/2017;4.04;4.20;3.56;3.66;17514800;422694000
20/08/2017;4.17;4.41;3.78;4.05;21808800;436462000
19/08/2017;3.65;4.41;3.16;4.23;29938900;381713000
18v08/2017;4.28;4.28;3.43;3.64;27194300;448443000
17/08/2017;4.70;4.74;4.19;4.29;27541400;491787000
16/08/2017;4.15;4.95;4.11;4.69;38520100;434405000
15/08/2017;4.57;4.58;3.96;4.13;32234900;478360000
14/08/2017;5.10;5.37;4.31;4.58;40308400;533626000
13/08/2017;4.75;5.24;3.96;5.11;63744900;497636000
12/08/2017;4.51;6.21;4.23;4.67;144769000;471783000
11/08/2017;2.87;4.95;2.66;4.52;72243200;300417000
10/08/2017;2.14;3.11;2.09;2.81;36245500;223846000
09/08/2017;2.20;2.22;2.01;2.13;8207280;230058000
08/08/2017;2.06;2.25;1.98;2.21;11213800;215386000
07/08/2017;1.85;2.18;1.85;2.05;17232100;193476000
06/08/2017;2.14;2.53;1.81;1.81;22959900;224227000
05/08/2017;1.25;2.24;1.24;2.19;20158400;131122000
04/08/2017;1.01;1.28;1.01;1.27;6686840;105903000
03/08/2017;0.924940;1.02;0.901804;1.01;2287810;96805500
02/08/2017;0.943234;0.955962;0.885799;0.920336;1214640;98720100
01/08/2017;0.886312;0.976305;0.854581;0.948275;1974540;92762600
31/07/2017;0.891569;0.907447;0.849501;0.886032;927682;93312800
30/07/2017;0.929032;0.935459;0.854507;0.887132;761095;97233700
29/07/2017;0.897314;0.938536;0.823705;0.938536;821267;93914000
28/07/2017;0.972636;0.980121;0.852598;0.894037;1532520;101797000
27/07/2017;0.974673;0.983180;0.927986;0.978920;1375970;102011000
26/07/2017;0.850463;0.983456;0.781206;0.959473;1773700;89010600
25/07/2017;1.07;1.18;0.838666;0.871150;3183140;111822000
24/07/2017;0.903438;1.24;0.899258;1.07;6187510;94555000
23/07/2017;0.819955;0.901496;0.753651;0.897774;1372810;85817500
22/07/2017;0.670530;0.838184;0.662383;0.818033;1105650;70178600
21/07/2017;0.704276;0.728768;0.648514;0.670482;941278;73710400
20/07/2017;0.626300;0.731908;0.626300;0.700288;1104700;65549400
19/07/2017;0.708510;0.714312;0.608974;0.623537;892973;74153500
18/07/2017;0.709172;0.764586;0.630566;0.699843;1299010;74222900
17/07/2017;0.568531;0.703468;0.535821;0.701529;1064690;59503200
16/07/2017;0.598683;0.611108;0.478733;0.569964;762642;62658900
15/07/2017;0.675350;0.675350;0.600400;0.600680;658322;70683000
14/07/2017;0.719424;0.727775;0.638826;0.676471;888570;75295900
13/07/2017;0.800027;0.827761;0.700172;0.720255;1315660;83731800
12/07/2017;0.662536;0.798662;0.638905;0.790517;2263570;69341900
11/07/2017;0.699870;0.721873;0.508601;0.659714;2728010;73249300
10/07/2017;0.902474;0.905828;0.595964;0.705818;4091090;94454100
09/07/2017;1.11;1.11;0.871622;0.901177;5116090;116174000
08/07/2017;1.11;1.22;1.08;1.10;9172650;0
07/07/2017;73.06;73.06;1.05;1.10;17115200;0
06/07/2017;63.43;86.26;47.74;63.83;57748;0
05/07/2017;53.52;79.88;49.05;63.42;81559;0
04/07/2017;43.95;65.52;40.35;49.68;54173;0
03/07/2017;28.13;42.84;23.13;42.66;54180;0
02/07/2017;32.40;37.40;23.19;28.35;23087;0
01/07/2017;39.41;39.41;23.27;32.37;47037;0
30/06/2017;42.68;43.14;32.73;38.99;50486;0
29/06/2017;22.03;50.34;17.81;42.63;98292;0
28/06/2017;48.06;49.85;16.95;24.92;97388;0
27/06/2017;25.22;51.96;23.46;47.80;303595;0
