Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;0.997427;1.00;0.992789;1.00;499812000;673230000
21/11/2017;1.00;1.01;0.988572;0.996047;622649000;677308000
20/11/2017;1.00;1.00;0.996538;1.00;449595000;675897000
19/11/2017;1.00;1.01;0.996693;1.00;485753000;645545000
18/11/2017;1.00;1.01;0.996340;1.00;588136000;644435000
17/11/2017;0.995758;1.01;0.995758;1.00;639398000;611413000
16/11/2017;1.01;1.01;0.993232;1.00;650279000;597473000
15/11/2017;1.00;1.01;1.00;1.00;449671000;596738000
14/11/2017;1.01;1.01;0.996898;1.01;429858000;597132000
13/11/2017;1.00;1.03;0.975103;1.01;767884000;596722000
12/11/2017;1.01;1.11;0.967601;1.01;1466060000;597638000
11/11/2017;1.01;1.03;0.995799;1.01;746228000;567436000
10/11/2017;1.01;1.02;0.995486;1.01;756446000;537534000
09/11/2017;1.01;1.01;0.996515;1.01;358188000;499434000
08/11/2017;1.00;1.04;0.994842;1.01;526849000;516370000
07/11/2017;0.999882;1.01;0.997083;1.01;255133000;494003000
06/11/2017;1.00;1.01;0.993269;1.00;308963000;495238000
05/11/2017;1.00;1.01;0.995977;0.998800;234616000;494444000
04/11/2017;1.00;1.01;0.994864;1.00;285312000;489255000
03/11/2017;0.999063;1.01;0.996363;1.01;358886000;451638000
02/11/2017;0.999853;1.04;0.996339;1.00;425130000;451995000
01/11/2017;1.00;1.00;0.995643;1.00;246324000;452561000
31/10/2017;0.998327;1.00;0.996871;1.00;184182000;451305000
30/10/2017;1.00;1.00;0.994665;1.00;169425000;452540000
29/10/2017;1.00;1.01;0.991302;1.00;618257000;438160000
28/10/2017;0.999838;1.01;0.998318;1.00;120414000;436991000
27/10/2017;0.999916;1.01;0.996415;1.00;144634000;437025000
26/10/2017;1.00;1.01;0.997739;0.999868;162258000;438063000
25/10/2017;1.00;1.01;0.995853;1.00;171433000;438042000
24/10/2017;0.994611;1.02;0.985114;1.00;257372000;434706000
23/10/2017;1.00;1.01;0.993556;0.996536;203487000;437656000
22/10/2017;0.999920;1.01;0.996909;1.00;166215000;437026000
21/10/2017;1.00;1.01;0.992774;1.00;171818000;437391000
20/10/2017;1.00;1.01;0.997444;1.00;185163000;437496000
19/10/2017;1.00;1.01;0.996000;1.00;150674000;438120000
18/10/2017;0.998946;1.01;0.991487;1.00;253904000;436601000
17/10/2017;0.998252;1.02;0.981165;0.999335;216808000;436298000
16/10/2017;0.998000;1.01;0.984020;0.998010;204158000;436187000
15/10/2017;1.00;1.01;0.992759;0.999242;209190000;437237000
14/10/2017;1.00;1.00;0.995903;0.999709;139468000;437279000
13/10/2017;1.00;1.02;0.992697;1.00;319485000;437101000
12/10/2017;0.999843;1.00;0.990707;0.997423;216202000;436993000
11/10/2017;0.997962;1.00;0.997106;0.998625;85384600;436171000
10/10/2017;1.00;1.00;0.996522;0.999441;137687000;437230000
09/10/2017;0.998897;1.01;0.994415;0.999780;178567000;436579000
08/10/2017;0.998110;1.00;0.995330;0.998442;123005000;436235000
07/10/2017;0.999588;1.00;0.992831;0.999320;89544100;436882000
06/10/2017;1.00;1.01;0.998001;1.00;92153700;437245000
05/10/2017;1.00;1.01;0.996433;1.00;119952000;437179000
04/10/2017;1.00;1.01;0.997725;1.00;114903000;437896000
03/10/2017;1.00;1.01;0.998800;1.00;137567000;437885000
02/10/2017;0.998088;1.00;0.995807;1.00;126009000;436226000
01/10/2017;0.997266;1.00;0.994993;0.999924;103007000;435867000
30/09/2017;1.00;1.00;0.993904;0.996488;117411000;437244000
29/09/2017;0.998357;1.02;0.994503;0.999863;205406000;426360000
28/09/2017;1.00;1.01;0.995264;1.00;232499000;427100000
27/09/2017;1.00;1.00;0.991286;1.00;201224000;427609000
26/09/2017;1.00;1.01;0.995946;1.00;103839000;442851000
25/09/2017;1.00;1.01;0.984388;1.00;160337000;443879000
24/09/2017;1.00;1.01;0.999100;1.00;91337900;443272000
23/09/2017;1.00;1.01;0.997654;1.00;118296000;442840000
22/09/2017;1.01;1.01;0.998901;1.00;164432000;444763000
21/09/2017;0.997446;1.02;0.994434;1.00;231706000;441351000
20/09/2017;1.00;1.00;0.988993;1.00;137763000;444392000
19/09/2017;1.00;1.01;0.995487;1.00;163298000;443240000
18/09/2017;1.00;1.01;0.992399;1.00;214648000;443461000
17/09/2017;1.01;1.01;0.992028;1.01;119083000;445726000
16/09/2017;1.00;1.04;0.991210;1.00;233445000;443607000
15/09/2017;1.00;1.03;0.966404;1.01;540295000;420283000
14/09/2017;1.00;1.03;0.979949;1.00;356495000;414813000
13/09/2017;1.00;1.02;0.991963;1.00;257404000;404358000
12/09/2017;1.00;1.02;0.996226;1.01;162774000;404210000
11/09/2017;1.00;1.02;0.990974;1.00;125845000;405355000
10/09/2017;1.00;1.02;0.996180;1.01;163773000;405082000
09/09/2017;1.01;1.01;0.998370;1.00;119580000;398820000
08/09/2017;1.00;1.05;0.997327;1.01;319590000;394388000
07/09/2017;1.00;1.01;0.995770;1.00;166453000;386679000
06/09/2017;1.01;1.05;1.00;1.01;192689000;387469000
05/09/2017;1.03;1.04;0.999893;1.00;271614000;379945000
04/09/2017;1.00;1.05;0.997741;1.03;375473000;364943000
03/09/2017;1.01;1.03;0.999620;1.00;188687000;348836000
02/09/2017;1.00;1.04;0.998739;1.02;345971000;320966000
01/09/2017;1.00;1.01;1.00;1.00;199664000;320792000
31/08/2017;1.00;1.01;0.999514;1.00;109217000;319518000
30/08/2017;1.00;1.01;0.996119;1.00;114992000;320041000
29/08/2017;1.00;1.02;0.995690;1.00;132123000;320307000
28/08/2017;1.00;1.01;0.995565;1.00;130785000;320279000
27/08/2017;1.00;1.01;0.997090;1.00;104722000;319543000
26/08/2017;1.00;1.01;0.995768;0.998932;98081300;320776000
25/08/2017;1.00;1.02;0.998112;1.00;116308000;321015000
24/08/2017;0.999332;1.01;0.990714;1.00;132330000;319288000
23/08/2017;1.00;1.01;0.991684;1.00;195159000;320872000
22/08/2017;1.00;1.02;0.990916;1.01;241915000;319888000
21/08/2017;0.999538;1.01;0.990459;0.999263;208830000;319354000
20/08/2017;0.997167;1.02;0.983909;0.996629;133754000;318596000
19/08/2017;1.01;1.04;0.980183;1.00;281633000;322030000
18v08/2017;1.01;1.03;0.984905;1.01;255272000;322035000
17/08/2017;1.00;1.01;0.989070;1.01;166152000;319712000
16/08/2017;0.998963;1.01;0.991915;1.00;121473000;319170000
15/08/2017;1.00;1.02;0.994513;1.00;213099000;319617000
14/08/2017;0.995682;1.01;0.990626;0.998163;125445000;318122000
13/08/2017;1.00;1.02;0.980414;0.998616;198569000;319661000
12/08/2017;1.00;1.01;0.995213;1.00;130896000;319785000
11/08/2017;0.996635;1.01;0.988428;1.00;111829000;318426000
10/08/2017;0.998799;1.01;0.988217;0.992991;91695000;319118000
09/08/2017;0.999236;1.01;0.993707;1.00;140569000;319257000
08/08/2017;0.994220;1.01;0.989566;1.00;130482000;317655000
07/08/2017;0.999468;1.01;0.990056;0.996254;110170000;319331000
06/08/2017;1.00;1.01;0.993119;1.00;103532000;320093000
05/08/2017;1.00;1.03;0.991505;0.998314;173138000;320940000
04/08/2017;0.968452;1.01;0.966326;1.00;59432500;309422000
03/08/2017;1.00;1.01;0.955404;0.969304;57242700;320322000
02/08/2017;0.996581;1.01;0.985239;1.00;84592700;318409000
01/08/2017;1.00;1.02;0.988123;0.996819;170045000;320388000
31/07/2017;1.00;1.01;0.995719;1.00;75184900;319512000
30/07/2017;0.996776;1.00;0.991188;0.998868;60213000;318471000
29/07/2017;0.999755;1.01;0.993449;0.996619;73768300;319423000
28/07/2017;0.996060;1.01;0.990485;1.00;116290000;318242000
27/07/2017;0.998839;1.01;0.991769;0.997275;79850000;319130000
26/07/2017;0.998645;1.01;0.989915;0.996955;111957000;319068000
25/07/2017;0.994284;1.02;0.984754;0.999802;220992000;317675000
24/07/2017;0.999919;1.00;0.988839;0.993997;75766900;319475000
23/07/2017;0.994773;1.01;0.990375;0.997761;114229000;317831000
22/07/2017;0.999612;1.00;0.986424;0.993200;131558000;319377000
21/07/2017;0.998636;1.02;0.984893;0.997202;168919000;319065000
20/07/2017;0.990980;1.02;0.976702;0.986866;278994000;306710000
19/07/2017;1.00;1.03;0.980136;1.00;199312000;309942000
18/07/2017;0.995021;1.02;0.982123;0.998216;238396000;293035000
17/07/2017;0.988208;1.01;0.983970;0.996888;171476000;291009000
16/07/2017;1.00;1.02;0.969665;0.999161;177914000;295162000
15/07/2017;1.00;1.02;0.988486;1.00;125229000;290061000
14/07/2017;1.00;1.01;0.994217;1.00;93146700;289635000
13/07/2017;0.999669;1.02;0.999410;1.00;104236000;268892000
12/07/2017;1.01;1.02;0.995490;0.997456;131420000;260929000
11/07/2017;1.02;1.04;0.998774;1.01;173424000;239198000
10/07/2017;1.01;1.02;0.991515;1.01;132682000;221114000
09/07/2017;0.999601;1.01;0.998527;1.01;45640800;219894000
08/07/2017;1.01;1.02;0.997497;0.999725;62607300;221837000
07/07/2017;1.00;1.02;1.00;1.01;84663200;220509000
06/07/2017;0.995936;1.01;0.995936;1.00;44331000;219087000
05/07/2017;1.00;1.02;0.994445;0.996460;66727600;220126000
04/07/2017;0.999601;1.01;0.987214;0.998828;87707900;219893000
03/07/2017;1.01;1.02;0.992834;1.00;87514200;223017000
02/07/2017;1.02;1.03;1.01;1.02;76519200;219180000
