Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;89.92;97.12;86.14;92.48;432472;182179000
21/11/2017;102.84;102.84;89.73;89.79;568294;208353000
20/11/2017;109.61;114.56;97.92;102.97;634032;222071000
19/11/2017;112.11;124.49;108.88;109.62;515638;227130000
18/11/2017;104.61;113.09;98.73;112.38;527856;211951000
17/11/2017;99.31;105.36;93.66;104.47;664781;201205000
16/11/2017;83.19;111.90;82.44;99.41;775330;168550000
15/11/2017;78.95;86.59;77.21;83.19;525776;159966000
14/11/2017;72.10;80.73;72.10;78.91;443397;146071000
13/11/2017;66.04;72.34;65.27;72.08;362643;133792000
12/11/2017;71.62;75.17;62.79;65.93;302348;145102000
11/11/2017;69.28;76.14;65.46;71.62;392282;140372000
10/11/2017;75.10;79.07;67.11;69.49;268427;152162000
09/11/2017;70.32;83.37;69.86;74.41;469943;142477000
08/11/2017;57.17;74.85;57.06;70.66;428412;115831000
07/11/2017;54.12;62.20;54.11;57.22;346582;109642000
06/11/2017;63.68;64.80;53.21;54.05;407034;129021000
05/11/2017;54.24;63.64;51.43;63.60;297911;109898000
04/11/2017;54.35;58.91;50.65;54.38;337798;110119000
03/11/2017;51.19;57.05;51.19;54.36;292073;103716000
02/11/2017;48.11;59.02;44.58;50.99;319368;97472600
01/11/2017;50.72;53.17;46.86;48.08;272363;102753000
31/10/2017;48.14;52.44;45.63;50.81;589662;97524000
30/10/2017;51.96;54.45;46.98;48.13;614046;105265000
29/10/2017;51.43;55.04;46.26;52.03;386309;104205000
28/10/2017;53.78;58.21;50.65;51.47;300509;108970000
27/10/2017;54.93;55.30;49.99;53.62;806237;111288000
26/10/2017;56.45;59.52;51.73;54.85;557912;114368000
25/10/2017;57.04;60.30;54.52;56.56;457214;115574000
24/10/2017;59.70;67.80;57.15;57.15;641551;120953000
23/10/2017;66.40;68.30;57.80;59.70;470442;134532000
22/10/2017;61.95;67.97;59.98;66.34;315451;125506000
21/10/2017;61.79;64.44;57.49;62.30;338233;125183000
20/10/2017;63.40;65.88;60.83;61.57;370308;127818000
19/10/2017;71.15;73.37;61.08;63.44;359012;143441000
18/10/2017;73.62;73.65;60.27;71.26;525937;148424000
17/10/2017;79.74;82.60;69.96;73.69;356309;160763000
16/10/2017;78.01;91.15;74.88;79.03;213794;157279000
15/10/2017;84.24;85.31;74.59;78.18;224884;169825000
14/10/2017;78.62;89.09;75.74;84.14;296547;158494000
13/10/2017;80.44;88.12;67.04;78.55;380602;162171000
12/10/2017;84.58;141.16;75.23;80.53;411596;170508000
11/10/2017;63.73;84.56;63.36;84.50;283817;128482000
10/10/2017;57.96;64.57;57.41;63.72;186440;116846000
09/10/2017;56.53;63.99;54.87;57.83;260843;113957000
08/10/2017;61.79;66.12;55.61;56.42;358034;124573000
07/10/2017;67.53;68.06;58.82;61.80;280054;136143000
06/10/2017;64.35;75.52;61.28;67.57;438750;129742000
05/10/2017;67.03;68.41;63.39;64.22;345917;134813000
04/10/2017;67.94;73.78;65.80;67.02;370106;136636000
