Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;3.98;4.27;3.94;4.10;7211950;164664000
21/11/2017;4.02;4.18;3.81;3.95;6541270;166302000
20/11/2017;4.23;4.27;3.97;4.04;6888960;175003000
19/11/2017;4.30;4.55;4.07;4.22;6758010;177817000
18/11/2017;4.17;4.74;4.00;4.32;8982810;172186000
17/11/2017;4.22;4.35;4.03;4.15;6275620;174207000
16/11/2017;4.40;4.47;4.08;4.16;9180750;181508000
15/11/2017;4.36;4.67;4.07;4.42;10365300;179531000
14/11/2017;4.46;4.57;4.21;4.31;6620560;183799000
13/11/2017;3.79;4.67;3.79;4.45;21777600;155884000
12/11/2017;4.33;4.33;3.36;3.75;12602700;177986000
11/11/2017;4.11;4.68;3.89;4.32;12435700;169105000
10/11/2017;4.78;4.84;3.77;4.19;18133700;196471000
09/11/2017;4.62;5.23;4.62;4.84;25576900;189780000
08/11/2017;3.57;5.21;3.48;4.65;36091000;146433000
07/11/2017;3.65;3.69;3.34;3.61;8565110;149776000
06/11/2017;3.65;3.98;3.61;3.66;11673900;149680000
05/11/2017;3.92;3.94;3.45;3.68;13293900;160625000
04/11/2017;4.00;4.38;3.76;4.07;32196500;163640000
03/11/2017;3.38;4.32;2.88;3.74;38509400;138093000
02/11/2017;4.07;4.57;3.25;3.40;37012900;166161000
01/11/2017;5.18;5.79;4.00;4.12;35813400;211533000
31/10/2017;5.43;5.70;5.11;5.21;26259900;221629000
30/10/2017;4.40;5.49;4.29;5.45;26571300;179521000
29/10/2017;5.10;5.10;4.13;4.34;35122600;207948000
28/10/2017;4.10;5.50;4.03;5.18;51550700;166794000
27/10/2017;3.68;4.37;3.62;4.07;21945600;149820000
26/10/2017;3.07;3.78;2.92;3.68;13143100;124801000
25/10/2017;3.28;3.65;3.03;3.07;11107400;133312000
24/10/2017;3.01;3.88;2.70;3.28;23703700;122015000
23/10/2017;3.37;3.61;2.55;3.02;28920900;136733000
22/10/2017;2.75;4.66;2.69;3.34;74432200;111648000
21/10/2017;2.00;2.90;2.00;2.79;18818000;81102400
20/10/2017;2.12;2.16;1.81;2.03;4821000;85986100
19/10/2017;1.77;2.23;1.76;2.11;9962830;71457600
18/10/2017;1.66;1.80;1.47;1.77;2669740;66973500
17/10/2017;1.74;1.79;1.52;1.66;2329770;70216000
16/10/2017;1.41;1.81;1.40;1.75;5512990;57076300
15/10/2017;1.34;1.44;1.26;1.40;1851910;53889900
14/10/2017;1.22;1.40;1.12;1.34;1673440;49319900
13/10/2017;1.20;1.31;1.14;1.22;1809290;48500800
12/10/2017;1.28;1.36;1.17;1.21;2591240;51661700
11/10/2017;1.16;1.36;1.16;1.28;1790820;46530100
10/10/2017;1.11;1.38;1.01;1.15;2098980;44410000
09/10/2017;1.15;1.25;0.877993;1.13;2279770;45990500
08/10/2017;1.30;1.36;1.12;1.14;1667970;52345800
07/10/2017;1.45;1.49;1.20;1.32;1942220;58192300
06/10/2017;1.23;1.51;1.23;1.45;3158360;49462600
05/10/2017;1.15;1.25;1.10;1.23;1401590;46122100
04/10/2017;1.05;1.20;1.03;1.15;2310410;41978700
03/10/2017;0.991218;1.07;0.942849;1.05;624318;39621700
02/10/2017;1.05;1.08;0.989179;0.990215;719340;42035600
01/10/2017;1.03;1.06;0.971721;1.06;457073;41075000
30/09/2017;1.01;1.10;1.01;1.03;743053;40417700
29/09/2017;0.934447;1.05;0.880942;1.02;1031200;37241400
28/09/2017;1.02;1.05;0.918664;0.934590;875645;40621800
27/09/2017;0.982183;1.05;0.961733;1.02;1055670;39090200
26/09/2017;0.952433;1.10;0.910272;0.975175;1555330;37877700
25/09/2017;0.981920;1.02;0.929181;0.953256;1590200;39024300
24/09/2017;1.08;1.10;0.992858;0.992858;686642;42878400
23/09/2017;1.09;1.11;0.996794;1.07;1188070;43107600
22/09/2017;1.30;1.30;0.937755;1.09;4843270;51621300
21/09/2017;0.949276;1.47;0.949276;1.30;20381400;37615900
20/09/2017;0.824111;0.959077;0.806837;0.955091;1236390;32633900
19/09/2017;0.810271;0.922412;0.784926;0.811240;1909710;32061300
18/09/2017;0.688659;0.811638;0.678429;0.810876;854329;27229100
17/09/2017;0.633736;0.792006;0.587567;0.688848;1481610;25038600
16/09/2017;0.687695;0.687695;0.588681;0.629889;876655;27150000
15/09/2017;0.482116;0.707298;0.456760;0.707298;1060880;19019400
14/09/2017;0.701684;0.712925;0.467558;0.479536;922744;27663200
13/09/2017;0.784210;0.784210;0.646563;0.704781;1015460;30894600
12/09/2017;0.813576;0.922144;0.765543;0.790181;1418450;32029600
11/09/2017;0.837214;0.851464;0.748880;0.798137;958209;32935800
10/09/2017;0.859588;0.878154;0.769025;0.839306;605134;33791600
09/09/2017;0.830610;0.924105;0.785190;0.864793;936709;32627700
08/09/2017;0.954019;1.00;0.774007;0.815370;1367100;37446900
07/09/2017;0.996401;1.00;0.920185;0.955678;1499320;39083400
06/09/2017;0.876317;0.995956;0.853645;0.991602;2096340;34346800
05/09/2017;0.739811;0.927580;0.625802;0.866313;1883920;28972700
04/09/2017;0.876828;0.879365;0.640453;0.734686;1317010;34316500
03/09/2017;0.868996;0.888122;0.816412;0.876343;953190;33984100
02/09/2017;0.992606;1.00;0.830503;0.865105;1434840;38788000
01/09/2017;0.980571;1.01;0.882880;0.987379;2807710;38290800
31/08/2017;0.804951;1.01;0.804951;0.974320;4160890;31408800
30/08/2017;0.719415;0.869750;0.710806;0.801626;2659050;28049700
29/08/2017;0.810853;0.833236;0.721919;0.724871;1997400;31593400
