Date;Open;High;Low;Close;Volume;MarketCap
22/11/2017;5.20;5.57;5.16;5.29;26343100;519834000
21/11/2017;5.26;5.28;4.99;5.19;23353900;525616000
20/11/2017;5.13;5.42;5.06;5.27;22272000;512582000
19/11/2017;5.28;5.47;5.02;5.12;20869400;528278000
18/11/2017;4.77;5.42;4.65;5.30;26020400;476545000
17/11/2017;4.75;4.97;4.61;4.78;18777000;474592000
16/11/2017;5.07;5.10;4.71;4.76;24087100;506504000
15/11/2017;5.05;5.27;4.80;5.05;25851400;505269000
14/11/2017;4.40;5.09;4.38;5.03;19374900;439602000
13/11/2017;3.69;4.48;3.69;4.40;12493200;369368000
12/11/2017;4.10;4.13;3.57;3.70;12279900;410250000
11/11/2017;4.23;4.46;4.04;4.12;12304600;422815000
10/11/2017;4.92;5.03;4.09;4.24;14425500;491960000
09/11/2017;4.51;5.22;4.47;4.91;20982300;450694000
08/11/2017;3.68;4.82;3.67;4.50;20540000;368185000
07/11/2017;3.52;3.72;3.42;3.69;11312200;352178000
06/11/2017;3.46;3.65;3.36;3.52;12291000;345746000
05/11/2017;3.61;3.62;3.39;3.45;9798490;360517000
04/11/2017;3.65;3.79;3.44;3.62;11619500;365254000
03/11/2017;3.21;3.97;3.02;3.68;14090800;320550000
02/11/2017;2.92;3.95;2.65;3.19;14949200;292033000
01/11/2017;3.23;3.23;2.67;2.89;11933800;323419000
31/10/2017;3.47;3.50;3.17;3.24;9895450;347320000
30/10/2017;3.55;3.61;3.43;3.48;8523780;355140000
29/10/2017;3.46;3.64;3.45;3.54;9046840;345825000
28/10/2017;3.54;3.60;3.45;3.46;8103840;354417000
27/10/2017;3.62;3.68;3.52;3.54;6714780;362311000
26/10/2017;3.72;3.79;3.54;3.62;8321870;371705000
25/10/2017;3.76;3.77;3.48;3.70;8533500;376245000
24/10/2017;3.67;3.98;3.59;3.76;8703160;366774000
23/10/2017;3.58;3.71;3.35;3.67;8621370;358001000
22/10/2017;3.58;3.66;3.47;3.58;8491900;358200000
21/10/2017;3.64;3.76;3.43;3.58;10666600;364477000
20/10/2017;3.89;3.97;3.63;3.66;10830100;389091000
19/10/2017;4.04;4.12;3.80;3.89;8840030;404068000
18/10/2017;3.93;4.10;3.66;4.04;7283440;392635000
17/10/2017;4.04;4.05;3.84;3.92;4954490;404005000
16/10/2017;3.80;4.14;3.65;4.02;4972740;380320000
15/10/2017;4.01;4.02;3.68;3.80;4384340;401032000
14/10/2017;3.98;4.09;3.81;4.00;5190930;397686000
13/10/2017;3.69;4.03;3.59;3.97;6777070;369201000
12/10/2017;4.18;4.20;3.69;3.69;6289170;417611000
11/10/2017;4.11;4.41;4.08;4.18;7296340;410915000
10/10/2017;4.11;4.26;3.92;4.12;5675270;410737000
09/10/2017;4.44;4.63;4.01;4.13;6698160;443937000
08/10/2017;5.01;5.04;4.44;4.44;7717430;501163000
07/10/2017;4.96;5.04;4.91;5.02;6760300;495816000
06/10/2017;4.97;5.10;4.91;4.97;6574960;497017000
05/10/2017;4.92;5.04;4.76;4.97;6804000;491795000
04/10/2017;4.74;5.08;4.71;4.91;8679860;474477000
03/10/2017;4.87;5.00;4.67;4.73;6975040;486590000
02/10/2017;4.97;4.98;4.81;4.85;7422400;497344000
01/10/2017;5.03;5.05;4.84;4.97;8233020;502985000
30/09/2017;4.93;5.20;4.93;5.04;7480680;493143000
29/09/2017;4.77;5.04;4.39;4.93;8515820;476743000
28/09/2017;5.17;5.17;4.73;4.78;8795790;516674000
27/09/2017;4.77;5.19;4.77;5.17;11447500;477461000
26/09/2017;4.23;4.86;4.23;4.79;7713420;422807000
25/09/2017;3.97;4.30;3.92;4.23;5218940;396943000
24/09/2017;3.97;3.98;3.80;3.97;5012110;396513000
23/09/2017;3.76;3.99;3.71;3.97;4950050;375579000
22/09/2017;3.65;3.84;3.56;3.77;2723740;365050000
21/09/2017;4.05;4.08;3.57;3.64;2914710;405445000
20/09/2017;4.14;4.29;3.96;4.07;3910370;413510000
19/09/2017;4.36;4.38;4.00;4.16;3403370;435701000
18/09/2017;3.64;4.40;3.64;4.34;4080300;363799000
17/09/2017;3.77;3.81;3.49;3.64;3406720;376569000
16/09/2017;3.77;3.90;3.49;3.76;4499490;377410000
15/09/2017;3.12;3.94;2.80;3.78;6270110;311752000
14/09/2017;3.95;4.05;3.09;3.09;4470510;394740000
13/09/2017;4.36;4.36;3.75;3.95;4928930;436202000
12/09/2017;4.35;4.61;4.26;4.38;5306860;434806000
11/09/2017;4.44;4.57;4.16;4.35;4908140;443783000
10/09/2017;4.45;4.58;3.99;4.41;5469690;444828000
09/09/2017;4.51;4.59;4.37;4.46;5406880;451034000
08/09/2017;4.99;5.03;4.28;4.50;5899500;498706000
07/09/2017;5.10;5.13;4.90;4.98;6353830;510327000
06/09/2017;4.99;5.41;4.93;5.16;6069650;499259000
05/09/2017;4.68;5.10;4.32;4.98;6194560;467862000
04/09/2017;5.20;5.21;4.24;4.66;8324540;519570000
03/09/2017;5.27;5.50;4.99;5.20;5174780;526827000
02/09/2017;5.78;5.87;5.07;5.23;6608910;577688000
01/09/2017;5.95;6.10;5.72;5.74;9556080;595498000
31/08/2017;5.47;5.94;5.38;5.94;9471090;546851000
30/08/2017;5.44;5.49;5.13;5.48;6659820;544366000
29/08/2017;5.27;5.47;5.13;5.45;7581710;527066000
28/08/2017;5.22;5.41;5.02;5.26;7208780;522486000
27/08/2017;5.34;5.51;5.18;5.23;7212980;534242000
26/08/2017;5.28;5.74;5.11;5.32;9123230;528242000
25/08/2017;5.02;5.46;4.94;5.27;9306450;502380000
24/08/2017;4.63;5.02;4.55;5.02;3537820;463403000
23/08/2017;4.49;4.82;4.44;4.60;2989630;449053000
22/08/2017;4.38;4.74;3.81;4.46;3358640;437971000
21/08/2017;4.85;4.88;4.33;4.39;4064960;485218000
20/08/2017;4.43;4.92;4.29;4.86;4519570;442870000
19/08/2017;4.30;4.45;4.10;4.43;3801000;429611000
18v08/2017;4.57;4.73;4.10;4.30;2588840;456631000
17/08/2017;4.81;4.95;4.46;4.58;2609230;481390000
16/08/2017;4.80;4.96;4.58;4.83;2607640;479668000
15/08/2017;4.73;5.16;4.31;4.79;5107560;473033000
14/08/2017;4.83;5.04;4.54;4.72;5089710;483469000
13/08/2017;5.05;5.28;4.63;4.79;5823330;504705000
12/08/2017;5.58;5.58;4.89;5.05;6782250;557670000
11/08/2017;5.60;5.78;5.13;5.54;7567900;560241000
10/08/2017;5.24;5.63;5.15;5.60;7501860;524375000
09/08/2017;5.38;5.45;4.90;5.27;4960110;538244000
08/08/2017;5.64;5.83;5.04;5.41;6867910;564066000
07/08/2017;5.18;5.75;4.62;5.64;7792050;518233000
06/08/2017;4.32;5.37;4.29;5.21;7075590;432028000
05/08/2017;3.67;4.57;3.65;4.32;4831480;367228000
04/08/2017;3.87;4.13;3.59;3.67;4324800;386797000
03/08/2017;3.54;3.96;3.46;3.84;4766700;354471000
02/08/2017;3.02;3.60;2.96;3.51;3739710;302169000
01/08/2017;2.77;3.11;2.61;3.01;3257400;277390000
31/07/2017;2.74;2.87;2.62;2.78;2651760;273812000
30/07/2017;2.87;2.93;2.72;2.72;1530680;286809000
29/07/2017;2.98;3.06;2.69;2.87;2116910;297597000
28/07/2017;2.76;3.11;2.45;3.00;3030820;276459000
27/07/2017;2.74;2.84;2.60;2.75;1889170;274372000
26/07/2017;2.92;2.99;2.50;2.74;3013790;291623000
25/07/2017;3.52;3.56;2.76;2.91;2462600;351753000
24/07/2017;3.65;3.71;3.39;3.52;1813130;364582000
23/07/2017;3.90;3.97;3.50;3.65;2608730;390012000
22/07/2017;3.24;4.17;3.23;3.90;3246480;324151000
21/07/2017;3.26;3.44;3.13;3.24;2167520;326154000
20/07/2017;2.61;3.43;2.61;3.25;2164540;260970000
19/07/2017;2.83;2.87;2.53;2.64;2096680;282847000
18/07/2017;2.52;2.95;2.38;2.83;2325000;252329000
17/07/2017;1.97;2.52;1.94;2.52;1909110;196939000
16/07/2017;2.01;2.06;1.77;1.97;1677160;201211000
15/07/2017;2.43;2.43;1.98;2.04;2860750;242705000
14/07/2017;2.89;2.89;2.33;2.43;2439500;289495000
13/07/2017;3.05;3.09;2.72;2.90;1734160;305263000
12/07/2017;2.59;3.05;2.42;3.05;1930340;258727000
11/07/2017;2.79;2.96;2.49;2.59;3152450;278827000
10/07/2017;3.74;3.76;2.73;2.82;2638830;373806000
09/07/2017;3.92;3.94;3.75;3.75;1225380;392118000
08/07/2017;3.79;3.93;3.50;3.93;1412280;379403000
07/07/2017;4.33;4.36;3.71;3.77;2631630;432714000
06/07/2017;4.58;4.65;4.24;4.34;2939230;457740000
