Strategy Name,Strategy Filename,Results Filename,Exchange,Strategy Type,BT Start Date,BT Start Date TS,BT End Date,BT End Date TS,Timerange,Start Balance,Total Pairs,Stake Type,Stake Amount,Timeframe,End Balance,Net Profit,Profit %,CAGR,Sortino,Sharpe,Profit Factor,Expectancy,Drawdown %,Calmar Ratio,Wins,Draws,Losses,Total Trades,Winrate %,Draws %,Loss %,Risk per Trade,Pairs with Profit,Pairs with Profit %,Trade Count Long,Trade Count Short,Profit Mean,Profit Median,Profit Total,Profit Total Long,Profit Total Short,Profit Total Abs,Profit Total Long Abs,Profit Total Short Abs,Calmar,Stoploss,Total Volume,Trades per Day,Market Change,Stake Currency,Rejected Signals,Max Open Trades,Trailing Stop,Trailing Stop Positive,Trailing Stop Positive Offset,Trailing Only Offset is Reached,Use Custom Stoploss,Use Exit Signal,Exit Profit Only,Exit Profit Offset,Ignore ROI if Entry Signal,Backtest Best Day,Backtest Worst Day,Backtest Best Day Abs,Backtest Worst Day Abs,Winning Days,Draw Days,Losing Days,Holding Avg,Holding Avg S,Winner Holding Avg,Winner Holding Avg S,Loser Holding Avg,Loser Holding Avg S,Max Drawdown,Max Relative Drawdown,Max Drawdown Abs,Drawdown Start,Drawdown Start Ts,Drawdown End,Drawdown End Ts,Max Drawdown Low,Max Drawdown High,Csum Min,Csum Max,H Timestamp,U Timestamp,Strategy Remark,Hyperopt,Highest win streak,Average win streak,Highest lose streak,Average lose streak,Timeframe average trades amount,Difference perc. from trades
ADXMomentumHopt,ADXMomentumHopt.py,ADXMomentumHopt-spot-1d-2023-03-12_18-10-49.json,binance,spot,2017-09-06 00:00:00,1504656000000.0,2023-01-01 00:00:00,1672531200000.0,-20230101,1000,50,compounding,unlimited,1d,146.70497280000302,-853.2950271999999,-0.8532950272,-0.3027099529876831,-1.402083564903276,-2.323981401160083,0.7330300470431498,-0.014487731131055614,0.8610586068550166,-0.35155557424054973,3956,0,227,4183,0.945732727707387,0.0,0.05426727229261296,59.061641278972026,17,0.34,4183,0,-0.0040871814739263605,0.00999000999000999,-0.8532950272,-0.8532950272,0.0,-853.2950271999999,-853.2950271999999,0.0,-0.97440641426104,-0.25,247054.84546994,2.15,7.62046276829005,USDT,6294,10,0,,0.0,0,0,1,0,0.0,0,0.09990009995426545,-2.0115010968124993,8.48691019,-130.41933905,1047,730,129,20:30:00,73800,12:58:00,46680,"6 days, 7:56:00",546960,17.646130655006704,0.8610586068550166,909.1716776299971,2017-12-21 00:00:00,1513814400000.0,2023-01-01 00:00:00,1672531200000.0,-853.2950271999971,55.876650430000005,146.70497280000302,1054.85874221,2023-03-12 18:10:01,1678641001,manually tested,0,,,,,,
ADXMomentumHopt,ADXMomentumHopt.py,ADXMomentumHopt-spot-4h-2023-03-12_18-11-39.json,binance,spot,2017-08-20 12:00:00,1503230400000.0,2023-01-01 00:00:00,1672531200000.0,-20230101,1000,50,compounding,unlimited,4h,319.83951647000015,-680.1604835300001,-0.68016048353,-0.19135263630164034,-0.8395302670610933,-1.560205609497236,0.9379158462874355,-0.003466552024383951,0.7609595028084688,-0.25146231250863715,11769,0,696,12465,0.9441636582430806,0.0,0.05583634175691937,87.22927472420699,19,0.38,12465,0,-0.000489610024254253,0.00999000999000999,-0.68016048353,-0.68016048353,0.0,-680.1604835300001,-680.1604835300001,0.0,-0.8716895663607017,-0.25,1087312.90943724,6.36,6.874541178909492,USDT,80153,10,0,,0.0,0,0,1,0,0.0,0,0.5394605394802949,-2.0233707118768445,39.08031909,-254.84913969,1156,460,335,17:16:00,62160,10:47:00,38820,"5 days, 6:48:00",456480,11.952825619154526,0.7609595028084688,1018.1744193599991,2021-05-10 16:00:00,1620662400000.0,2023-01-01 00:00:00,1672531200000.0,-680.1604835299994,338.01393582999975,319.83951647000015,1338.0139358299996,2023-03-12 18:10:01,1678641001,manually tested,0,,,,,,
ADXMomentumHopt,ADXMomentumHopt.py,ADXMomentumHopt-spot-1h-2023-03-12_18-13-10.json,binance,spot,2017-08-18 00:00:00,1503014400000.0,2023-01-01 00:00:00,1672531200000.0,-20230101,1000,50,compounding,unlimited,1h,68.67267355000547,-931.3273264500001,-0.93132732645,-0.3924227548383561,-2.773422441234683,-5.655005344630409,0.8060797078960437,-0.022950117621346355,0.9405664013298877,-0.41721961818272574,11465,0,1539,13004,0.8816517994463242,0.0,0.11834820055367579,33.83592164002614,5,0.1,13004,0,-0.0017761132477592215,0.00999000999000999,-0.93132732645,-0.93132732645,0.0,-931.3273264500001,-931.3273264500001,0.0,-0.964184874345019,-0.25,440002.3250069,6.63,6.778835728356005,USDT,69097,10,0,,0.0,0,0,1,0,0.0,0,0.7792207793925656,-1.5511714586514713,41.51325462,-76.98868735,909,557,490,10:44:00,38640,6:44:00,24240,"1 day, 16:32:00",145920,24.58951198388349,0.9405664013298877,1032.8314621599955,2017-12-27 06:00:00,1514354400000.0,2022-06-07 02:00:00,1654567200000.0,-934.7362498499955,98.09521231000004,65.26375015000451,1098.09521231,2023-03-12 18:10:01,1678641001,manually tested,0,,,,,,
ADXMomentumHopt,ADXMomentumHopt.py,ADXMomentumHopt-spot-30m-2023-03-12_18-15-31.json,binance,spot,2019-01-01 00:00:00,1546300800000.0,2023-01-01 00:00:00,1672531200000.0,20190101-20230101,1000,50,compounding,unlimited,30m,68.6535478400026,-931.34645216,-0.93134645216,-0.4878881662189054,-5.160874204294968,-9.338759903900788,0.7940515755781353,-0.03374455231482465,0.9348211877679876,-0.5219053361250878,11625,0,2278,13903,0.8361504711213407,0.0,0.16384952887865928,31.33261529275696,4,0.08,13903,0,-0.0017423951010965564,0.00999000999000999,-0.93134645216,-0.93134645216,0.0,-931.34645216,-931.34645216,0.0,-1.3028035511222573,-0.25,435617.3504152,9.52,5.307637838539848,USDT,125416,10,0,,0.0,0,0,1,0,0.0,0,0.8491508491880679,-1.1896632969731582,68.63113665,-98.32501661,673,278,511,7:48:00,28080,5:05:00,18300,21:37:00,77820,24.767957516835494,0.9348211877679876,984.6572672699974,2019-01-10 05:30:00,1547098200000.0,2023-01-01 00:00:00,1672531200000.0,-931.3464521599974,53.31081510999999,68.6535478400026,1053.31081511,2023-03-12 18:10:01,1678641001,manually tested,0,,,,,,
ADXMomentumHopt,ADXMomentumHopt.py,ADXMomentumHopt-spot-15m-2023-03-12_18-18-49.json,binance,spot,2019-01-01 00:00:00,1546300800000.0,2023-01-01 00:00:00,1672531200000.0,20190101-20230101,1000,50,compounding,unlimited,15m,48.87437901999408,-951.1256209800001,-0.9511256209800001,-0.5295704091034135,-7.3180311791947625,-11.063928902970487,0.7698300897728936,-0.05418082790982359,0.9530838327700333,-0.5556388545216168,9816,0,3022,12838,0.7646050786726905,0.0,0.23539492132730955,32.73449185179155,1,0.02,12838,0,-0.002256737558476002,0.00999000999000999,-0.9511256209800001,-0.9511256209800001,0.0,-951.1256209800001,-951.1256209800001,0.0,-1.3049774114615211,-0.25,420245.4063933,8.79,5.180321030498543,USDT,83231,10,0,,0.0,0,0,1,0,0.0,0,1.0189810188420068,-0.8682227595574071,80.81861079,-66.14611946,577,189,696,5:36:00,20160,3:38:00,13080,11:59:00,43140,29.38623370512317,0.9530838327700333,991.8226811200057,2019-01-02 23:00:00,1546470000000.0,2022-12-28 22:00:00,1672264800000.0,-951.1768879400057,40.64579318,48.82311205999429,1040.64579318,2023-03-12 18:10:01,1678641001,manually tested,0,,,,,,
ADXMomentumHopt,ADXMomentumHopt.py,ADXMomentumHopt-spot-5m-2023-03-12_18-24-42.json,binance,spot,2020-01-01 00:00:00,1577836800000.0,2023-01-01 00:00:00,1672531200000.0,20200101-20230101,1000,50,compounding,unlimited,5m,42.81335137999861,-957.18664862,-0.95718664862,-0.649832425377989,-17.97922563443296,-21.366423379063093,0.7081076852840228,-0.1049138329590551,0.9574927672886292,-0.6786812888604324,7774,0,4362,12136,0.6405735003295979,0.0,0.35942649967040213,31.360890622165453,0,0.0,12136,0,-0.002496395034041973,0.009990009990009988,-0.95718664862,-0.95718664862,0.0,-957.18664862,-957.18664862,0.0,-1.7425971852542135,-0.25,380595.76859059994,11.07,4.116587803989328,USDT,259644,10,0,,0.0,0,0,1,0,0.0,0,0.8723506854859722,-1.504790847643525,58.31970484,-49.67715061,156,6,346,2:33:00,9180,1:50:00,6600,3:50:00,13800,30.368910951489,0.9574927672886292,964.3882152500014,2020-01-01 15:35:00,1577892900000.0,2021-05-22 03:25:00,1621653900000.0,-957.1866486200014,7.201566630000001,42.81335137999861,1007.20156663,2023-03-12 18:10:01,1678641001,manually tested,0,,,,,,
ADXMomentumHopt,ADXMomentumHopt.py,ADXMomentumHopt-spot-1d-2023-03-12_18-42-41.json,binance,spot,2017-09-06 00:00:00,1504656000000.0,2023-01-01 00:00:00,1672531200000.0,-20230101,1000,50,compounding,unlimited,1d,146.70497280000302,-853.2950271999999,-0.8532950272,-0.3027099529876831,-1.402083564903276,-2.323981401160083,0.7330300470431498,-0.014487731131055614,0.8610586068550166,-0.35155557424054973,3956,0,227,4183,0.945732727707387,0.0,0.05426727229261296,59.061641278972026,17,0.34,4183,0,-0.0040871814739263605,0.00999000999000999,-0.8532950272,-0.8532950272,0.0,-853.2950271999999,-853.2950271999999,0.0,-0.97440641426104,-0.25,247054.84546994,2.15,7.62046276829005,USDT,6294,10,0,,0.0,0,0,1,0,0.0,0,0.09990009995426545,-2.0115010968124993,8.48691019,-130.41933905,1047,730,129,20:30:00,73800,12:58:00,46680,"6 days, 7:56:00",546960,17.646130655006704,0.8610586068550166,909.1716776299971,2017-12-21 00:00:00,1513814400000.0,2023-01-01 00:00:00,1672531200000.0,-853.2950271999971,55.876650430000005,146.70497280000302,1054.85874221,2023-03-12 18:40:22,1678642822,In original league optimized for 1d,1,,,,,,
ADXMomentumHopt,ADXMomentumHopt.py,ADXMomentumHopt-spot-4h-2023-03-12_18-48-35.json,binance,spot,2017-08-20 12:00:00,1503230400000.0,2023-01-01 00:00:00,1672531200000.0,-20230101,1000,50,compounding,unlimited,4h,319.83951647000015,-680.1604835300001,-0.68016048353,-0.19135263630164034,-0.8395302670610933,-1.560205609497236,0.9379158462874355,-0.003466552024383951,0.7609595028084688,-0.25146231250863715,11769,0,696,12465,0.9441636582430806,0.0,0.05583634175691937,87.22927472420699,19,0.38,12465,0,-0.000489610024254253,0.00999000999000999,-0.68016048353,-0.68016048353,0.0,-680.1604835300001,-680.1604835300001,0.0,-0.8716895663607017,-0.25,1087312.90943724,6.36,6.874541178909492,USDT,80153,10,0,,0.0,0,0,1,0,0.0,0,0.5394605394802949,-2.0233707118768445,39.08031909,-254.84913969,1156,460,335,17:16:00,62160,10:47:00,38820,"5 days, 6:48:00",456480,11.952825619154526,0.7609595028084688,1018.1744193599991,2021-05-10 16:00:00,1620662400000.0,2023-01-01 00:00:00,1672531200000.0,-680.1604835299994,338.01393582999975,319.83951647000015,1338.0139358299996,2023-03-12 18:47:21,1678643241,maybe 4hr is better,1,,,,,,
ADXMomentumHopt,ADXMomentumHopt.py,ADXMomentumHopt-spot-4h-2023-03-12_18-50-39.json,binance,spot,2017-08-20 12:00:00,1503230400000.0,2023-01-01 00:00:00,1672531200000.0,-20230101,1000,50,compounding,unlimited,4h,14226.657759530004,13226.657759529988,13.226657759529989,0.6400066588032023,0.5149240661546602,0.2885478754673889,1.0753908487789678,0.038750668079118755,0.7489663409781843,0.8545199213723335,592,14,1023,1629,0.3634131368937999,0.008594229588704727,0.6279926335174953,1379.7792970978394,28,0.56,1629,0,0.024988805497823147,-0.040665262672236704,13.226657759529989,13.226657759529989,0.0,13226.657759529988,13226.657759529988,0.0,17.222643494401197,-0.345,2247660.4749723803,0.83,6.874541178909492,USDT,133726,10,0,,0.0,0,0,1,0,0.0,0,1.6083916083884222,-2.105023297780682,4211.83475196,-8578.25300687,351,1204,393,"7 days, 12:25:00",649500,"10 days, 2:13:00",871980,"5 days, 19:57:00",503820,12.561793073400786,0.7489663409781843,42445.65389368003,2021-11-25 04:00:00,1637812800000.0,2023-01-01 00:00:00,1672531200000.0,13226.657759529997,55672.311653210025,985.9791913399999,56866.49537721003,2023-03-12 18:49:27,1678643367,this time I used json file. forgot last two times.,1,,,,,,
ASDTSRockwellTrading,ASDTSRockwellTrading.py,ASDTSRockwellTrading-spot-1d-2023-03-12_18-52-18.json,binance,spot,2017-08-17 00:00:00,1502928000000.0,2023-01-01 00:00:00,1672531200000.0,-20230101,1000,50,compounding,unlimited,1d,1179.6603833299998,179.66038332999983,0.17966038332999984,0.031199010356844914,0.1054930672131388,0.14284270716145422,1.0125988460043367,0.002307964380457328,0.6083051411302624,0.05128842129934254,3197,0,717,3914,0.8168114460909556,0.0,0.18318855390904445,145.89337121498724,28,0.56,3914,0,0.0012016384016419195,0.00999000999000999,0.17966038332999984,0.17966038332999984,0.0,179.66038332999983,179.66038332999983,0.0,0.28744646206668806,-0.3,571026.6549354601,1.99,7.62046276829005,USDT,12290,10,0,,0.0,0,0,1,0,0.0,0,0.44955044955044954,-3.0133534483536932,83.82523335,-656.52672195,904,676,335,"1 day, 8:08:00",115680,20:08:00,72480,"3 days, 13:37:00",308220,8.00441747446685,0.6083051411302624,1832.0216865700004,2021-04-16 00:00:00,1618531200000.0,2022-12-29 00:00:00,1672272000000.0,179.66038333000026,2011.6820699000007,760.2146351500002,3011.682069900001,2023-03-12 18:51:56,1678643516,,0,,,,,,
ASDTSRockwellTrading,ASDTSRockwellTrading.py,ASDTSRockwellTrading-spot-4h-2023-03-12_18-53-08.json,binance,spot,2017-08-17 04:00:00,1502942400000.0,2023-01-01 00:00:00,1672531200000.0,-20230101,1000,50,compounding,unlimited,4h,79.75239598999747,-920.24760401,-0.92024760401,-0.3752787603603426,-3.9010562793194965,-4.7308055675099245,0.903780764146348,-0.02666037607109517,0.927662610606917,-0.4045422937923724,11733,0,4497,16230,0.7229205175600739,0.0,0.2770794824399261,41.73925979287677,16,0.32,16230,0,-0.001340508899699361,0.00999000999000999,-0.92024760401,-0.92024760401,0.0,-920.24760401,-920.24760401,0.0,-0.9659665146987625,-0.3,677428.18643839,8.27,6.874541178909492,USDT,60830,10,0,,0.0,0,0,1,0,0.0,0,0.9360149806678251,-1.5720813294371365,54.84565511,-86.32709603,840,393,724,8:50:00,31800,5:46:00,20760,16:49:00,60540,22.77450150447206,0.927662610606917,1014.5648555400026,2018-01-07 20:00:00,1515355200000.0,2022-10-25 12:00:00,1666699200000.0,-920.8861366400025,93.67871890000004,79.11386335999794,1093.6787189000001,2023-03-12 18:51:56,1678643516,,0,,,,,,
ASDTSRockwellTrading,ASDTSRockwellTrading.py,ASDTSRockwellTrading-spot-1h-2023-03-12_18-54-27.json,binance,spot,2017-08-17 04:00:00,1502942400000.0,2023-01-01 00:00:00,1672531200000.0,-20230101,1000,50,compounding,unlimited,1h,54.26949177999768,-945.7305082200002,-0.9457305082200002,-0.41845475117252773,-7.401324454169763,-8.144968080860709,0.8360993491436711,-0.06698848000774382,0.9512573227018467,-0.439896483512994,10124,0,6998,17122,0.5912860647120664,0.0,0.40871393528793365,35.829735643768245,1,0.02,17122,0,-0.0016422751398305056,0.009990009990009988,-0.9457305082200002,-0.9457305082200002,0.0,-945.7305082200002,-945.7305082200002,0.0,-0.9680924103398474,-0.3,613476.7336925999,8.73,6.778835728356005,USDT,13053,10,0,,0.0,0,0,1,0,0.0,0,0.776227099839208,-0.6099171418507202,56.57335036,-43.98927594,658,286,1017,3:48:00,13680,2:32:00,9120,5:39:00,20340,29.27259368152575,0.9512573227018467,1059.1180935600023,2018-02-17 06:00:00,1518847200000.0,2023-01-01 00:00:00,1672531200000.0,-945.7305082200023,113.38758533999993,54.26949177999768,1113.38758534,2023-03-12 18:51:56,1678643516,,0,,,,,,
