Strategy,TF,Profit % ,Winrate %,CAGR,Drawdown %,Calmar,Sortino,Sharpe,Profit fact.,Pairs %,Best Score,Timestamp,HO
SMAOffsetProtectOptV1,15m,4631.73,71.5,1.62,19.99,8.11,4.39,5.29,1.61,94.0,359.0,1690878696,0
skz_f,1d,5864.09,29.87,2.54,17.12,14.82,5.92,1.29,2.09,64.44,315.0,1685711439,0
BB_RPB_TSL_BI,5m,218.64,72.54,0.47,8.17,5.76,3.87,5.11,1.63,88.0,293.0,1689487947,0
BBRSITV,15m,3451.29,60.42,1.44,33.0,4.36,3.32,3.2,1.26,72.0,292.0,1689158594,0
DoubleEMACrossoverWithTrend,4h,14722.35,30.55,1.53,28.09,5.46,3.65,0.86,1.5,64.0,290.0,1690460537,0
ClucMay72018,5m,2589.1,66.16,1.99,23.18,8.6,6.56,8.5,1.4,76.0,275.0,1679656879,1
ATEEZ_s_h,4h,5095.77,36.1,1.09,35.28,3.09,3.22,1.35,1.2,58.0,269.0,1684492789,0
ATEEZ_f_h,4h,2414.42,38.47,1.66,29.62,5.59,5.0,2.03,1.23,60.0,268.0,1684520048,0
skz_s,1d,6448.88,27.98,1.2,38.34,3.14,2.05,0.39,1.72,54.0,258.0,1685711439,0
kijun_cross_strong_f,4h,3026.12,30.12,1.84,43.16,4.26,6.07,2.15,1.16,55.56,255.0,1683379425,0
CombinedBinHAndCluc,5m,579.45,74.2,0.89,47.19,1.89,6.81,5.72,1.08,64.0,240.0,1680777780,0
keltnerhopt,1d,5518.26,41.07,1.12,37.17,3.0,1.11,0.53,1.41,64.0,220.0,1678972730,1
AverageStrategy,1d,697.97,49.63,0.47,27.11,1.74,0.84,0.41,1.65,68.0,215.0,1678647958,1
kijun_cross_strong_s,1d,3265.85,30.05,0.94,43.11,2.19,1.33,0.32,1.47,48.0,215.0,1683379425,0
smart_money_strategy_hyperopt,30m,3284.63,78.57,1.41,33.97,4.15,0.26,0.12,2.87,52.0,213.0,1687777280,0
GodStra,15m,1362.05,86.52,0.95,35.62,2.68,0.68,1.21,1.21,34.0,210.0,1678811210,1
NostalgiaForInfinityX,15m,376.57,92.41,0.48,36.89,1.29,0.59,1.42,1.35,68.0,210.0,1678825128,0
ts_ks_crossover,1d,906.96,36.67,0.54,29.89,1.8,1.81,0.69,1.5,60.0,205.0,1679032373,1
MACDStrategy_crossed,1d,61.75,47.7,0.09,7.54,1.24,3.17,0.47,1.56,60.0,205.0,1680527643,1
kijun_cross_neutral_f,1d,1314.73,35.65,1.27,34.67,3.66,2.81,1.08,1.47,55.56,205.0,1683379425,0
smamacdcrossover,1d,2728.96,31.61,0.86,50.01,1.72,1.31,0.65,1.22,60.0,200.0,1678980851,1
Low_BB,15m,148.45,28.9,0.26,18.0,1.42,14.77,2.78,1.19,60.0,195.0,1681415299,1
